seed,arm,area_m,rcs_m2,scenario,looks,penalty,g_hw_db,kappa_dc,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050166666666666665,15.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
20260917,mask_only,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050166666666666665,1.675,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
20260917,sparse,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.04875,1.025,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
101,uncoordinated,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.051333333333333335,15.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
101,mask_only,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.051333333333333335,1.7,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
101,sparse,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.051833333333333335,1.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
202,uncoordinated,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050416666666666665,15.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
202,mask_only,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050416666666666665,1.6,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
202,sparse,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050916666666666666,1.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
303,uncoordinated,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050333333333333334,15.0,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
303,mask_only,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.050333333333333334,1.675,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
303,sparse,600.0,0.1,compact-small-uav,16,0.2,15.0,40.0,1.0,1.0,0.05075,1.025,10.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
