method,P_D,P_FA,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_lagrangian,0.705,0.059166666666666666,0.059166666666666666,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,3.1220773238991373,2.4474170980802232,2.5355747568409464,0.9844453930574557,0.9360405570367221,0.955748399533468,1.055239221161805,1.0,1.0,7955.435822179789,21.90143329661185,0.1097787500982215,2860.8940929750784,0.1,106.32321938334329,0.65,0.705,0.55,0.8,0.07038738019169329,0.042232428115015964,794.2727458246595,476.56364749479565
all_neighbor,0.835,0.05683333333333333,0.05683333333333333,656192.0,1093.6533333333548,1025.3,1.0,1.0,1025.3,0.8704602613969019,2.1677538061920814,0.9633415847301292,1.1283973893135915,0.6116161910959096,0.10000004772419406,0.10978555267368581,-2.48894609917821,1.0,0.6337384837384836,217183.636672649,421.59847240214344,0.3722162410214484,85885.65491631915,0.4,2266.7077198463767,0.75,0.835,0.75,0.95,0.0012724934165610064,0.0007634960499365889,330.9757459290101,198.58544755740218
random,0.255,0.05333333333333334,0.05333333333333334,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,2.1688199488872906,0.9743307838692754,1.151790062276689,0.6123919616384821,0.10289405719544702,0.17257833961456998,-2.515883273054337,1.0,0.6403409090909091,920.8264636918831,0.02354751893559344,0.0,28.99662889513158,0.0,2.251212536374434,0.1,0.255,0.15,0.35,0.02545926517571885,0.015275559105431309,91.9355494900043,55.161329694002575
nearest,0.29,0.06233333333333333,0.06233333333333333,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,2.620926539011601,1.4940784895010855,1.7111209752245808,0.8671291448119767,0.6729765795471265,0.736938672527013,-0.19462694485319276,1.0,0.9016666666666667,14647.153776515359,0.10745733298230875,0.00021453462886104728,102.69706161569437,0.0,6.179659733536314,0.1,0.29,0.15,0.45,0.02895367412140575,0.017372204472843447,1462.3755767287698,877.4253460372619
shortest_bistatic,0.52,0.059,0.059,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,2.2409826651557263,1.0206264383643355,1.2313094808849065,0.6199761270972324,0.1716210279238392,0.24327262261791463,-2.330560053954435,1.0,0.6400992063492064,31899.797979161813,6.401332330240068,0.0,16897.06151244575,0.05,901.8759045001719,0.4,0.5199999999999999,0.35,0.6,0.051916932907348244,0.031150159744408944,3184.8839835425133,1910.9303901255078
raw_sense_sinr,0.425,0.05433333333333333,0.05433333333333333,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,0.8155225794709768,0.06260715040793693,0.17163308274133177,0.4078833473406336,0.00242441135018433,0.026393029861350236,-29.32895241856541,0.706665417915418,0.4295820845820845,34279.35325492504,0.0011608808456255728,0.0,8712.394576403196,0.0,94.23496598570748,0.3,0.425,0.35,0.5,0.04243210862619808,0.025459265175718847,3422.4593904677554,2053.475634280653
sense_sinr,0.495,0.05728643216080402,0.057,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,2.1892468931129976,1.0015563251449424,1.191533789900323,0.5694839068396604,0.10000004830144174,0.12203522298541196,-2.6856403694828206,1.0,0.588829365079365,31187.623914210537,1.5256645188807534,0.0,9415.007438933244,0.0,104.39913176627249,0.3,0.495,0.3,0.6,0.049420926517571885,0.029652555910543128,3113.780342872458,1868.2682057234745
single_best,0.755,0.06283333333333334,0.06283333333333334,6400.0,10.666666666666668,10.0,1.0,1.0,1025.3,0.8704602613969019,3.1353916144769274,2.462278494978529,2.549562705765352,0.9957102994241837,0.9819580461616837,0.9879142163753043,1.1127225970623769,1.0,1.0,33764.64322794507,97.08597805147389,0.07563173639988419,21767.132723532184,0.1,1098.674448750242,0.65,0.755,0.55,0.9,0.11796875,0.07078124999999999,5275.725504366416,3165.4353026198496
topk_deflection,0.775,0.06,0.06,10016.0,16.693333333333335,15.65,1.0,1.0,1025.3,0.8704602613969019,3.136601192792779,2.453350099388639,2.541618108493649,0.9945765953236846,0.9760682546392075,0.9841219415148883,1.115141312061801,1.0,1.0,33765.63669595563,98.67526293793594,0.18666720743236573,21767.132723532184,0.1,1099.1133847857654,0.65,0.775,0.65,0.85,0.07737619808306709,0.04642571884984025,3371.169797918893,2022.7018787513357
global_topk_deflection,0.4,0.06451612903225806,0.03,10016.0,16.693333333333335,15.65,0.465,1.0,1025.3,0.8704602613969019,3.1988484909750583,2.5289230444717123,2.6095755092968025,0.9969824064636091,0.9842241499188106,0.9915247754912617,1.385799825100671,1.0,1.0,171189.06382654785,0.0,0.0,40686.19622756498,0.0,71.00325632664871,0.25,0.4,0.2,0.6,0.03993610223642173,0.023961661341853034,17091.559886835847,10254.935932101507
