method,P_D,P_FA,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_lagrangian,0.817,0.05989214694978092,0.05923333333333333,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.0626825241705165,3.567081307109122,3.6270121393476473,0.9899270106534217,0.9474384204514066,0.9712500325898317,2.9333043538363466,1.0,1.0,2596.618078308347,61.65073913075052,0.8748198808044082,1719.5730270526485,0.51,518.6092800171656,0.8,0.817,0.76,0.86,0.0,0.0,0.0,0.07648666866387058,0.045892001198322326,243.09261518015532,145.8555691080931
all_neighbor,0.889,0.05563333333333333,0.05563333333333333,387968.0,646.6133333333315,606.2,1.0,1.0,606.2,0.5314911618169282,4.023680531502285,3.501387139896409,3.566702803054193,0.9750763068683603,0.8412384632085353,0.9269890013836214,2.7585309207707707,1.0,1.0,4373723.322170254,762.2886527781789,1.2532474971102796,77645.77649011626,0.65,36520.88438730195,0.84,0.889,0.86,0.91,-0.07200000000000001,-0.0943005063130455,-0.04969949368695452,0.0022914260969976903,0.0013748556581986181,11273.412555082516,6764.047533049529
random,0.37,0.05946127946127946,0.058866666666666664,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.029950127767852,3.51430810286966,3.5797219716034707,0.9734884407707679,0.8546901740454088,0.9254749949265579,2.786725361663219,1.0,1.0,797.9053220746706,0.33579999458490356,0.005667735130665592,68.32483876367392,0.0,23.189689703117146,0.2,0.37,0.3,0.43,0.447,0.40076415470764065,0.49323584529235937,0.03463900539245057,0.020783403235470333,74.69904528110682,44.81942716866407
nearest,0.349,0.060477632021527075,0.05993333333333333,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,3.988598032464343,3.6345019546017157,3.696812998973816,0.9747348901904982,0.9292606878665443,0.9511990099893288,2.6368285779019494,1.0,1.0,3777885.752999745,0.20142504373090053,0.0031222559595738826,127.43057560948277,0.0,251.2597910615469,0.21,0.34900000000000003,0.27,0.45,0.468,0.4212280363698703,0.5147719636301298,0.032673007789095265,0.01960380467345715,353681.6350546496,212208.98103278966
shortest_bistatic,0.809,0.0595959595959596,0.059,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.046103492197964,3.534602995109994,3.603106826068176,0.9717493278637752,0.8675367731627375,0.9199914181540286,2.8352116317657576,1.0,1.0,3510038.258820355,169.15946478205512,0.7814380136745971,21326.726185399883,0.47,13194.008210754573,0.79,0.8089999999999999,0.77,0.84,0.007999999999999997,-0.0186741613710438,0.034674161371043795,0.07573771719592572,0.0454426303175554,328606.0383107732,197163.62298646383
raw_sense_sinr,0.389,0.05504896994258696,0.05433333333333333,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,0.7496046793688989,0.05860357577748779,0.13669355199356722,0.3635883339485264,0.00048489029676509923,0.007742746630461844,-32.22712470856957,0.6350186202686202,0.375728465978466,200371.37708507763,4.409808504766429e-08,0.0,6876.769767070074,0.0,8506.30692550351,0.33,0.389,0.28,0.43,0.428,0.3951461845765398,0.46085381542346016,0.036417765128819654,0.021850659077291782,18758.55462525068,11255.132775150401
sense_sinr,0.803,0.05801346801346801,0.057433333333333336,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.021293006227705,3.520780047471555,3.5837702505201334,0.9712691415289515,0.8609246709045629,0.9170379779852393,2.7342908288114036,1.0,1.0,3536907.3764811135,139.22318196407156,0.8748198808044082,17622.09407378921,0.48,13677.675063494382,0.8,0.8030000000000002,0.77,0.85,0.013999999999999999,-0.011075499410920429,0.03907549941092042,0.07517600359496705,0.04510560215698021,331121.4964500743,198672.8978700445
single_best,0.807,0.061556446225784905,0.06143333333333333,6400.0,10.666666666666666,10.0,1.0,1.0,606.2,0.5314911618169282,4.0080556173198385,3.5676159203854887,3.618365788448937,0.994630496981321,0.9739532959391195,0.9842824082490401,2.796866186561451,1.0,1.0,3537399.8880505855,173.25325388071235,0.27501197074147415,20618.668892582333,0.29,12425.97755751428,0.74,0.807,0.75,0.88,0.009999999999999998,-0.01575944663437262,0.03575944663437262,0.12609375,0.07565625000000001,552718.732507904,331631.23950474244
topk_deflection,0.825,0.05936026936026936,0.05876666666666667,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.054625906239727,3.563422216529936,3.619910986445795,0.9938787132395188,0.9689017118673162,0.9826320099809817,2.9055079738223726,1.0,1.0,3537400.7729459265,174.5947554777206,0.9063584748765727,20618.668892582333,0.51,12428.503762761979,0.8,0.825,0.78,0.87,-0.007999999999999998,-0.032074408559188895,0.016074408559188902,0.07723562013181545,0.046341372079089255,331167.6877008994,198700.61262053953
global_topk_deflection,0.452,0.05585034013605442,0.027366666666666668,10681.6,17.802666666666674,16.69,0.49199999999999994,1.0,606.2,0.5314911618169282,4.073844694696349,3.5746346921668324,3.633175058313769,0.9868858783055798,0.9261977112393562,0.9622505947610961,2.9932237347182467,1.0,1.0,3768923.540373696,0.0,0.0,55650.5196748929,0.0,27227.501056046673,0.38,0.45199999999999996,0.38,0.51,0.365,0.31835306477745223,0.41164693522254775,0.04231575793888556,0.025389454763331328,352842.6022668604,211705.56136011615
cost_aware_greedy,0.826,0.061813279406808225,0.06113333333333333,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.0626825241705165,3.567081307109122,3.6270121393476473,0.9899270106534217,0.9474384204514066,0.9712500325898317,2.9333043538363466,1.0,1.0,2596.618078308347,61.65073913075052,0.8748198808044082,1719.5730270526485,0.51,518.6092800171656,0.8,0.826,0.77,0.86,-0.009000000000000001,-0.031988523794768256,0.013988523794768254,0.07732923906530857,0.04639754343918512,243.09261518015532,145.8555691080931
exact_marginal_greedy,0.832,0.06056622851365015,0.0599,10681.6,17.802666666666674,16.69,0.9919999999999999,1.0,606.2,0.5314911618169282,4.0626825241705165,3.567081307109122,3.6270121393476473,0.9899270106534217,0.9474384204514066,0.9712500325898317,2.9333043538363466,1.0,1.0,2596.618078308347,61.65073913075052,0.8748198808044082,1719.5730270526485,0.51,518.6092800171656,0.8,0.8320000000000001,0.81,0.88,-0.015,-0.036646218789404945,0.0066462187894049465,0.07789095266626722,0.04673457159976031,243.09261518015532,145.8555691080931
