trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,4,6,2560.0,4.266666666666667,1039.570384182245,142.79646131091695,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4716.0,4716.0,0.0,0.0,"2,0,4,10,12,6,11,7,9,13",0:1-6;1:0-2;2:2-10;3:0-8;4:0-12;5:1-6;6:9-11;7:6-7;8:0-9;9:0-13
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,4,6,2560.0,4.266666666666667,352.42148130482497,207.42527326022056,1.0,7,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,10612.0,10612.0,0.0,0.0,"5,3,1,9,10,2,0,11,7,13",0:1-5;1:0-3;2:0-1;3:0-9;4:2-13;5:1-2;6:14-11;7:11-0;8:2-7;9:2-3
2,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,10,4,6,2560.0,4.266666666666667,629.468118111749,117.66517116208951,1.0,8,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,5137.0,5137.0,0.0,0.0,"11,3,8,4,7,6,0,14,10,5",0:2-8;1:8-10;2:10-8;3:4-9;4:0-6;5:4-6;6:1-0;7:10-14;8:8-10;9:14-5
3,proposed_c2f_adaptive_pd,7,10,0.7,14,300,0.04666666666666667,11,4,7,2560.0,4.266666666666667,402.908374314149,183.9999101930448,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7400.0,7400.0,0.0,0.0,"11,10,0,6,12,1,3,4,8,5","0:2-10;1:1-10;2:6-0,0-12;3:2-6;4:0-12;5:1-3;6:0-1;7:2-4;8:3-8;9:2-5"
4,proposed_c2f_adaptive_pd,9,10,0.9,12,270,0.044444444444444446,9,4,5,2560.0,4.266666666666667,369.90605065147145,92.61836419843856,1.0,8,0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,5993.0,5993.0,0.0,0.0,"5,2,7,9,3,13,12,1,6,0",0:0-5;1:2-7;2:1-7;3:3-9;4:0-4;5:1-6;6:0-6;7:2-1;8:;9:8-0
5,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,4,6,2560.0,4.266666666666667,265.6849244798217,81.53506762345413,1.0,4,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4372.0,4372.0,0.0,0.0,"14,8,9,13,7,11,6,10,5,4",0:6-7;1:1-4;2:1-13;3:11-9;4:6-7;5:13-11;6:14-6;7:4-10;8:4-5;9:10-4
6,proposed_c2f_adaptive_pd,9,10,0.9,14,270,0.05185185185185185,9,4,5,2560.0,4.266666666666667,960.5905796373042,303.6647643326294,1.0,9,0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,6191.0,6191.0,0.0,0.0,"2,1,8,6,11,3,5,7,9,4",0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:3-4;6:3-5;7:3-7;8:3-7;9:
7,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,10,4,6,2560.0,4.266666666666667,565.7361159354343,324.48097578467156,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4906.0,4906.0,0.0,0.0,"14,3,7,8,12,10,4,0,6,2",0:4-3;1:3-4;2:6-0;3:2-12;4:4-12;5:2-10;6:3-4;7:6-0;8:8-6;9:4-2
8,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,10,4,6,2560.0,4.266666666666667,339.7945301156557,122.91100034002744,1.0,0,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,5479.0,5479.0,0.0,0.0,"11,13,1,0,2,4,14,3,9,5",0:3-11;1:0-1;2:2-3;3:0-1;4:3-2;5:0-4;6:0-6;7:0-3;8:1-9;9:0-5
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,4,6,2560.0,4.266666666666667,716.2836828173533,210.29506930735488,0.9,3,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,5799.0,5799.0,0.0,0.0,"7,6,4,1,5,3,2,13,0,8",0:7-14;1:0-6;2:0-6;3:1-3;4:0-5;5:3-11;6:0-2;7:1-13;8:1-0;9:2-8
