trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,2,8,1280.0,2.1333333333333333,1705.5881961617226,134.66480418859172,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,3370.0,3370.0,0.0,0.0,"10,0,7,1,12,6,11,4,8,13",0:2-10;1:0-2;2:0-6;3:8-1;4:0-12;5:1-6;6:9-11;7:6-4;8:0-8;9:0-13
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,2,8,1280.0,2.1333333333333333,766.667501700984,207.42527326022056,1.0,7,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,3153.0,3153.0,0.0,0.0,"12,4,8,9,13,5,11,0,7,2",0:1-5;1:0-3;2:0-8;3:0-9;4:2-13;5:2-5;6:14-11;7:11-0;8:2-7;9:3-2
2,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,10,2,8,1280.0,2.1333333333333333,1720.2743320231816,83.2115923106659,1.0,8,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,2805.0,2805.0,0.0,0.0,"4,3,10,12,6,11,0,14,8,9",0:2-8;1:8-10;2:4-10;3:4-12;4:0-6;5:4-11;6:1-0;7:10-14;8:10-8;9:14-9
3,proposed_c2f_adaptive_pd,8,10,0.8,10,270,0.037037037037037035,9,2,7,1280.0,2.1333333333333333,747.0816991277582,351.3054718259706,1.0,2,0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,2263.0,2263.0,0.0,0.0,"12,11,0,6,10,3,9,4,13,5",0:2-10;1:1-10;2:6-0;3:2-6;4:;5:1-3;6:0-9;7:2-4;8:3-13;9:2-5
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,2,8,1280.0,2.1333333333333333,819.114500190443,121.16757730416637,1.0,8,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,2733.0,2733.0,0.0,0.0,"8,2,7,9,4,6,12,13,1,10",0:0-5;1:2-7;2:1-7;3:3-9;4:0-4;5:1-6;6:0-12;7:1-13;8:6-1;9:0-10
5,proposed_c2f_adaptive_pd,9,10,0.9,9,300,0.03,10,2,8,1280.0,2.1333333333333333,232.38610029527126,109.02556021744088,1.0,4,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4981.0,4981.0,0.0,0.0,"7,8,13,11,6,9,1,14,4,10",0:6-7;1:1-4;2:1-13;3:4-11;4:7-6;5:9-13;6:7-1;7:4-14;8:1-4;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,2,8,1280.0,2.1333333333333333,1101.0169155335325,520.7035431185207,1.0,9,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4467.0,4467.0,0.0,0.0,"2,1,8,6,11,5,3,7,4,9",0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:3-5;6:4-3;7:3-7;8:3-4;9:4-9
7,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,10,2,8,1280.0,2.1333333333333333,286.1585228571992,131.12172374807005,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,2984.0,2984.0,0.0,0.0,"3,13,0,14,12,2,11,6,8,4",0:1-4;1:3-13;2:0-6;3:2-14;4:4-12;5:0-2;6:4-11;7:0-6;8:1-8;9:2-4
8,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,10,2,8,1280.0,2.1333333333333333,931.9689729401147,258.153257927832,1.0,0,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,3657.0,3657.0,0.0,0.0,"11,1,2,0,3,4,14,8,9,5",0:3-11;1:0-1;2:2-3;3:0-1;4:2-3;5:0-4;6:0-14;7:3-8;8:1-9;9:0-5
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,2,8,1280.0,2.1333333333333333,870.6778845304465,210.29506930735488,0.9,3,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4267.0,4267.0,0.0,0.0,"14,6,4,1,5,11,10,13,0,8",0:7-14;1:0-6;2:0-6;3:1-3;4:0-5;5:3-11;6:0-10;7:1-13;8:1-0;9:2-8
