trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,5,5,3200.0,5.333333333333334,1455.069930478121,186.3872722333465,1.0,6,1,1.0,1.0,0.5,0.0,0.625,0.0,1.0,1.0,9222.0,9222.0,0.0,0.0,"10,0,7,1,12,6,11,4,8,13",0:1-10;1:0-2;2:0-6;3:0-8;4:0-1;5:1-6;6:9-11;7:6-4;8:0-8;9:0-2
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,5,5,3200.0,5.333333333333334,285.9269877913495,144.02451825649638,1.0,7,1,1.0,1.0,0.5,0.0,0.625,0.0,1.0,1.0,12036.0,12036.0,0.0,0.0,"12,4,8,9,13,5,11,0,7,2",0:1-5;1:0-3;2:0-1;3:0-9;4:2-13;5:0-2;6:0-11;7:11-0;8:1-7;9:2-3
2,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,12,7,5,4480.0,7.466666666666669,723.8388296574078,72.83087504157245,1.0,8,1,1.0,1.0,1.0,1.0,0.875,0.0,1.0,1.0,10091.0,10091.0,0.0,0.0,"4,3,10,12,6,11,0,14,8,9","0:2-8;1:8-10;2:3-10;3:1-12;4:0-6;5:4-6;6:0-1;7:10-14,10-5;8:10-8,8-11;9:12-14"
3,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,11,5,6,3200.0,5.333333333333334,582.4429408006017,307.9488630338776,1.0,2,1,1.0,1.0,1.0,1.0,0.625,0.0,1.0,1.0,8163.0,8163.0,0.0,0.0,"12,11,0,6,10,3,9,4,13,5","0:1-12;1:1-10;2:6-0,0-12;3:2-6;4:2-11;5:1-3;6:0-1;7:2-4;8:1-8;9:2-5"
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,6,4,3840.0,6.400000000000001,811.2633153217869,144.14595359582842,1.0,8,1,1.0,1.0,0.5,0.0,0.75,0.0,1.0,1.0,8061.0,8061.0,0.0,0.0,"8,2,7,9,4,6,12,13,1,10",0:0-5;1:2-7;2:1-7;3:3-9;4:0-4;5:1-5;6:0-6;7:2-1;8:1-6;9:0-10
5,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,4,6,2560.0,4.266666666666667,285.07345884229125,93.91627593399552,1.0,4,1,1.0,1.0,0.5,0.0,0.5,0.0,1.0,1.0,8847.0,8847.0,0.0,0.0,"7,8,13,11,6,9,1,14,4,10",0:5-7;1:1-4;2:1-13;3:4-11;4:7-6;5:9-13;6:6-14;7:4-11;8:1-4;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,11,6,5,3840.0,6.400000000000001,1087.810615616721,383.4493245542875,1.0,9,1,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,8598.0,8598.0,0.0,0.0,"2,1,8,6,11,5,3,7,4,9","0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:2-3;6:3-4;7:3-7;8:3-5;9:4-8,4-9"
7,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,11,6,5,3840.0,6.400000000000001,327.88186920290997,144.084451030791,1.0,6,1,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,11624.0,11624.0,0.0,0.0,"3,13,0,14,12,2,11,6,8,4","0:1-4;1:3-11;2:0-6;3:2-12;4:2-3;5:0-2;6:4-11,4-13;7:0-6;8:0-8;9:2-4"
8,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,11,4,7,2560.0,4.266666666666667,458.16351453681307,143.70831682398864,1.0,0,1,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,10456.0,10456.0,0.0,0.0,"11,1,2,0,3,4,14,8,9,5","0:3-11,2-13;1:0-1;2:2-3;3:0-1;4:2-3;5:0-4;6:0-6;7:1-8;8:1-9;9:0-5"
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,4,6,2560.0,4.266666666666667,1133.9568075192494,364.17034896633413,0.9,3,1,1.0,1.0,0.5,0.0,0.5,0.0,1.0,1.0,8923.0,8923.0,0.0,0.0,"14,6,4,1,5,11,10,13,0,8",0:7-14;1:0-6;2:0-6;3:1-3;4:0-5;5:3-11;6:0-2;7:1-13;8:0-2;9:0-8
