trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,7,270,0.025925925925925925,9,8,1,5120.0,8.533333333333335,1427.783425082181,194.1683983380151,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,8054.0,8054.0,0.0,0.0,"2,0,4,10,12,7,11,6,9,13",0:1-6;1:0-2;2:2-10;3:0-8;4:0-1;5:1-6;6:9-11;7:;8:0-8;9:0-2
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,5,5,3200.0,5.333333333333334,231.7108914094499,119.33110952936075,1.0,7,1,1.0,1.0,0.5,0.0,0.625,0.0,1.0,1.0,12061.0,12061.0,0.0,0.0,"5,3,1,9,10,2,0,11,7,13",0:1-2;1:0-3;2:0-1;3:0-9;4:2-13;5:0-2;6:0-11;7:11-0;8:1-7;9:2-3
2,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,11,8,3,5120.0,8.533333333333335,676.5196071719931,44.704977205409,1.0,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9999.0,9999.0,0.0,0.0,"11,3,8,4,7,6,0,14,10,5","0:2-8;1:8-10;2:10-4;3:1-12;4:0-6;5:4-6;6:0-1;7:10-14,10-8;8:8-10;9:12-14"
3,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,11,4,7,2560.0,4.266666666666667,550.6497356718417,234.8178195614858,1.0,2,1,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,7968.0,7968.0,0.0,0.0,"11,10,0,6,12,1,3,4,8,5","0:2-4;1:1-10;2:6-0,0-12;3:2-6;4:0-12;5:1-3;6:0-1;7:2-4;8:1-8;9:2-5"
4,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,6,4,3840.0,6.400000000000001,806.6005627340082,144.14595359582842,1.0,8,1,1.0,1.0,0.5,0.0,0.75,0.0,1.0,1.0,8272.0,8272.0,0.0,0.0,"5,2,7,9,3,13,12,1,6,0",0:0-5;1:2-7;2:1-7;3:3-9;4:0-4;5:1-5;6:0-6;7:1-2;8:1-6;9:0-10
5,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,8,2,5120.0,8.533333333333335,377.9026520718855,139.71441527745762,1.0,4,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,7280.0,7280.0,0.0,0.0,"14,8,9,13,7,11,6,4,5,10",0:6-7;1:1-4;2:1-13;3:11-9;4:7-6;5:9-13;6:6-14;7:10-4;8:4-3;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,11,3,8,1920.0,3.2,1170.2337452235856,583.3419743674331,1.0,9,1,1.0,1.0,1.0,1.0,0.375,0.0,1.0,1.0,8621.0,8621.0,0.0,0.0,"2,1,14,6,9,3,5,7,4,8","0:0-2;1:0-1;2:4-0;3:0-6;4:1-9;5:2-3;6:3-4;7:3-7;8:1-4;9:4-8,8-5"
7,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,10,8,2,5120.0,8.533333333333335,486.74445126849605,209.68813162194954,1.0,6,1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,8138.0,8138.0,0.0,0.0,"14,3,7,8,12,10,4,0,6,2",0:4-3;1:3-4;2:6-0;3:2-6;4:2-3;5:2-1;6:3-4;7:0-6;8:0-8;9:4-2
8,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,11,5,6,3200.0,5.333333333333334,453.6748736718397,113.61184558885836,1.0,0,1,1.0,1.0,1.0,1.0,0.625,0.0,1.0,1.0,11088.0,11088.0,0.0,0.0,"11,13,1,0,2,4,14,3,9,5","0:3-11,2-13;1:0-1;2:2-3;3:0-1;4:1-2;5:0-4;6:0-6;7:0-3;8:1-9;9:0-5"
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,5,5,3200.0,5.333333333333334,1133.9568075192494,364.17034896633413,0.9,3,1,1.0,1.0,0.5,0.0,0.625,0.0,1.0,1.0,9068.0,9068.0,0.0,0.0,"7,6,4,1,5,3,2,13,0,8",0:7-14;1:0-6;2:0-6;3:1-3;4:0-5;5:3-11;6:0-2;7:1-13;8:0-2;9:0-8
