experiment,local_processing_budget_per_target,local_processing_budget_label,remote_report_budget,uses_scalar_price,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,K_remote_min_for_weak_requirement,weak_pd_marginal_per_remote_report,weak_pd_marginal_per_local_observation,remote_to_local_marginal_ratio
resource_budget_surface,0,0,0,False,proposed_c2f_adaptive_pd,0.0,0.0,0.6576280471103807,0.32881402355519035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,nan
resource_budget_surface,0,0,1,False,proposed_c2f_adaptive_pd,0.5,0.09452865480086614,0.9054713451991339,0.40547134519913386,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1.0666666666666667,1.0,1.0,0.5,1.0,18.0,1.0,6.544106433073075,6.544106433073075,6.544106433073075,1.0,1.0,1.0,9.830676995781259,1.0,1.0,77.98476049650455,77.98476049650455,15.59695209930091,140.3725688937082,18.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.78125,0.46875,121.85118827578836,73.11071296547301,2,0.0,nan,nan
resource_budget_surface,0,0,2,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1280.0,2.1333333333333333,2.0,2.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,87.89441508506509,87.89441508506509,33.43433035870989,142.3544998114203,18.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,1.0,19.81930917712109,1.0,1.0,1.0,1.0,0.78125,0.46875,68.6675117852071,41.200507071124264,2,1.0,nan,nan
resource_budget_surface,0,0,4,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1920.0,3.2,3.0,3.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,97.04662938056167,97.04662938056167,49.90831609060373,144.1849426705196,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,1.0,38.123737768114246,1.0,1.0,1.0,1.0,0.5208333333333334,0.3125,50.54511946904254,30.32707168142552,2,0.0,nan,nan
resource_budget_surface,0,0,8,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1920.0,3.2,3.0,3.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,97.04662938056167,97.04662938056167,49.90831609060373,144.1849426705196,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,1.0,38.123737768114246,1.0,1.0,1.0,1.0,0.5208333333333334,0.3125,50.54511946904254,30.32707168142552,2,0.0,nan,nan
resource_budget_surface,1,1,0,False,proposed_c2f_adaptive_pd,0.5,0.09452865480086614,0.9054713451991339,0.40547134519913386,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,86.57041351535347,86.57041351535347,24.754953435252506,148.38587359545443,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,9.301088415227266,0.0,0.5,0.0,1.0,500000000000.0,500000000000.0,86570413515353.47,86570413515353.47,2,nan,0.0,nan
resource_budget_surface,1,1,1,False,proposed_c2f_adaptive_pd,0.5,0.09452865480086614,0.9054713451991339,0.40547134519913386,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1.0666666666666667,1.0,2.0,1.0,1.0,18.0,1.0,6.544106433073075,6.544106433073075,6.544106433073075,1.0,1.0,1.0,9.830676995781259,1.0,1.0,82.63530470411818,82.63530470411818,23.96793167300545,141.30267773523093,18.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,9.301088415227266,0.0,0.5,0.0,1.0,0.78125,0.46875,129.11766360018467,77.4705981601108,2,0.0,0.0,nan
resource_budget_surface,1,1,2,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1280.0,2.1333333333333333,2.0,3.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,92.544959292675,92.544959292675,41.80530993240773,143.28460865294227,18.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,1.0,29.12039759234091,1.0,1.0,1.0,1.0,0.78125,0.46875,72.30074944740234,43.38044966844141,2,1.0,0.0,nan
resource_budget_surface,1,1,4,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1920.0,3.2,3.0,3.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,97.04662938056167,97.04662938056167,49.90831609060373,144.1849426705196,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,1.0,38.123737768114246,1.0,1.0,1.0,1.0,0.5208333333333334,0.3125,50.54511946904254,30.32707168142552,2,0.0,0.0,nan
resource_budget_surface,1,1,8,False,proposed_c2f_adaptive_pd,1.0,0.34237195288961925,1.0,0.3288140235551904,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1920.0,3.2,3.0,3.0,1.0,1.0,18.0,1.0,4.663546820593858,2.782987208114642,3.159099130610485,1.0,1.0,1.0,6.106926398940517,1.0,1.0,97.04662938056167,97.04662938056167,49.90831609060373,144.1849426705196,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,1.0,38.123737768114246,1.0,1.0,1.0,1.0,0.5208333333333334,0.3125,50.54511946904254,30.32707168142552,2,0.0,0.0,nan
resource_budget_surface,2,2,0,False,proposed_c2f_adaptive_pd,0.5,0.09452865480086614,0.9054713451991339,0.40547134519913386,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.52342142566272,87.52342142566272,26.470367673809157,148.57647517751627,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,1.0,11.207104235845769,1.0,0.5,0.0,1.0,500000000000.0,500000000000.0,87523421425662.72,87523421425662.72,2,nan,0.0,nan
resource_budget_surface,2,2,1,False,proposed_c2f_adaptive_pd,0.5,0.09452865480086614,0.9054713451991339,0.40547134519913386,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1.0666666666666667,1.0,3.0,1.0,1.0,18.0,1.0,6.544106433073075,6.544106433073075,6.544106433073075,1.0,1.0,1.0,9.830676995781259,1.0,1.0,83.58831261442744,83.58831261442744,25.6833459115621,141.49327931729277,18.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,1.0,11.207104235845769,1.0,0.5,0.0,1.0,0.78125,0.46875,130.60673846004286,78.36404307602572,2,0.0,0.0,nan
