trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,798.6182955534608,138.30414158050232,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"10,0,7,1,12,6,11,4,8,13",0:2-10;1:1-0;2:1-7;3:8-1;4:0-12;5:1-6;6:9-11;7:6-4;8:0-8;9:0-13
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,0,10,0.0,0.0,19212.246945443832,246.26513325844172,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1152.0,1152.0,0.0,0.0,"12,4,8,9,13,5,11,0,7,2",0:1-12;1:0-4;2:0-8;3:0-9;4:2-13;5:2-5;6:14-11;7:11-0;8:2-7;9:3-2
2,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,10,0,10,0.0,0.0,2035.86134624532,472.04926028215294,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"4,3,10,12,6,11,0,14,8,9",0:8-4;1:10-3;2:4-10;3:4-12;4:0-6;5:4-11;6:1-0;7:10-14;8:10-8;9:14-9
3,proposed_c2f_adaptive_pd,9,10,0.9,12,300,0.04,10,0,10,0.0,0.0,1110.0134468637675,656.8918579253792,1.0,2,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"12,11,0,6,10,3,9,4,13,5",0:2-12;1:1-11;2:6-0;3:2-6;4:12-10;5:1-3;6:0-9;7:2-4;8:3-13;9:2-5
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,836.5070095813346,121.16757730416637,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"8,2,7,9,4,6,12,13,1,10",0:0-8;1:7-2;2:1-7;3:3-9;4:0-4;5:1-6;6:0-12;7:1-13;8:6-1;9:0-10
5,proposed_c2f_adaptive_pd,9,10,0.9,9,300,0.03,10,0,10,0.0,0.0,521.6462097220657,113.23814895126128,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1140.0,1140.0,0.0,0.0,"7,8,13,11,6,9,1,14,4,10",0:6-7;1:4-8;2:1-13;3:4-11;4:7-6;5:13-9;6:7-1;7:4-14;8:1-4;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,1842.7084417798292,877.5736702105842,1.0,9,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"2,1,8,6,11,5,3,7,4,9",0:0-2;1:0-1;2:1-8;3:0-6;4:9-11;5:3-5;6:4-3;7:3-7;8:3-4;9:4-9
7,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,10,0,10,0.0,0.0,385.64897831794826,153.49177064154628,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"3,13,0,14,12,2,11,6,8,4",0:4-3;1:3-13;2:6-0;3:2-14;4:4-12;5:0-2;6:4-11;7:0-6;8:1-8;9:2-4
8,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,10,0,10,0.0,0.0,934.0865592146345,258.153257927832,1.0,0,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1140.0,1140.0,0.0,0.0,"11,1,2,0,3,4,14,8,9,5",0:3-11;1:0-1;2:3-2;3:1-0;4:2-3;5:0-4;6:0-14;7:3-8;8:1-9;9:0-5
9,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,10,0,10,0.0,0.0,1139.2691485724667,297.7826422531386,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"14,6,4,1,5,11,10,13,0,8",0:7-14;1:0-6;2:1-4;3:3-1;4:0-5;5:3-11;6:0-10;7:1-13;8:1-0;9:2-8
10,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,1040.2457238897061,143.20094862883087,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1149.0,1149.0,0.0,0.0,"13,7,14,4,1,5,8,12,0,3",0:0-13;1:0-7;2:7-14;3:1-4;4:0-1;5:0-5;6:7-8;7:2-12;8:1-0;9:4-3
11,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,324.4552194152703,168.9708523922006,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"6,11,4,3,7,2,10,8,14,1",0:0-6;1:0-11;2:1-4;3:0-3;4:1-7;5:0-2;6:1-10;7:2-8;8:1-14;9:4-1
12,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,10,0,10,0.0,0.0,19727.166902495876,270.72973256034993,1.0,2,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1145.0,1145.0,0.0,0.0,"11,7,13,1,8,2,0,3,10,5",0:3-11;1:0-7;2:7-13;3:0-1;4:3-8;5:0-2;6:1-0;7:5-3;8:0-10;9:10-5
13,proposed_c2f_adaptive_pd,9,10,0.9,23,300,0.07666666666666666,10,0,10,0.0,0.0,2432.982589158348,314.5035636734137,1.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"1,4,11,10,6,0,7,3,5,8",0:13-1;1:3-4;2:0-11;3:0-10;4:0-6;5:1-0;6:14-7;7:4-3;8:14-5;9:10-8
14,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,10962.249188261778,228.08861340031746,1.0,5,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"4,2,12,9,8,7,6,5,0,10",0:2-4;1:3-2;2:0-12;3:4-9;4:0-8;5:4-7;6:1-6;7:2-5;8:2-0;9:2-10
15,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,2339.624244721983,245.4042212892428,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"1,4,9,8,10,6,11,7,14,0",0:0-1;1:8-4;2:0-9;3:1-8;4:0-10;5:1-6;6:0-11;7:2-7;8:6-14;9:10-0
16,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,10,0,10,0.0,0.0,858.0344420526742,163.5399032353736,1.0,1,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1119.0,1119.0,0.0,0.0,"14,6,8,9,2,7,5,12,4,0",0:2-14;1:2-6;2:14-8;3:2-9;4:0-2;5:1-7;6:2-5;7:0-12;8:2-4;9:9-0
17,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,543.811987182941,136.40688180545854,1.0,9,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"0,3,4,5,12,9,7,1,6,11",0:1-0;1:1-3;2:3-4;3:3-5;4:0-12;5:6-9;6:4-7;7:0-1;8:0-6;9:5-11
18,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,10,0,10,0.0,0.0,1856.3761429045014,149.50730623812714,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"8,6,5,12,1,13,2,10,9,14",0:9-8;1:0-6;2:0-5;3:3-12;4:6-1;5:0-13;6:1-2;7:2-10;8:8-9;9:10-14
19,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,10,0,10,0.0,0.0,1690.4533069149907,288.2812928315707,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"6,13,9,8,7,3,2,14,10,11",0:5-6;1:0-13;2:0-9;3:11-8;4:3-7;5:5-3;6:0-2;7:3-14;8:6-10;9:7-11
20,proposed_c2f_adaptive_pd,9,10,0.9,10,300,0.03333333333333333,10,0,10,0.0,0.0,2082.3337735599844,213.99842642835685,1.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1140.0,1140.0,0.0,0.0,"14,1,8,6,13,12,10,3,5,9",0:6-14;1:0-1;2:0-8;3:0-6;4:6-13;5:1-12;6:2-10;7:1-3;8:1-5;9:12-9
21,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,10,0,10,0.0,0.0,5167.299550160456,407.30271581620644,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"5,0,10,1,9,13,3,6,12,2",0:3-5;1:1-0;2:13-10;3:2-1;4:2-9;5:0-13;6:0-3;7:0-6;8:1-12;9:13-2
22,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,302.56696337825815,175.35282510224076,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"6,2,9,3,14,1,4,10,5,12",0:1-6;1:1-2;2:2-9;3:1-3;4:2-14;5:3-1;6:0-4;7:0-10;8:1-5;9:3-12
23,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,10,0,10,0.0,0.0,3708.5078470395943,101.68966492506996,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1131.0,1131.0,0.0,0.0,"6,5,8,7,1,2,10,0,3,4",0:0-6;1:0-5;2:7-8;3:8-7;4:0-1;5:10-2;6:2-10;7:2-0;8:2-3;9:2-4
24,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,10,0,10,0.0,0.0,1157.1736846901754,85.55642486388464,1.0,7,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"8,3,10,6,14,4,7,12,13,5",0:10-8;1:5-3;2:4-10;3:0-6;4:7-14;5:6-4;6:0-7;7:4-12;8:4-13;9:10-5
25,proposed_c2f_adaptive_pd,9,10,0.9,20,300,0.06666666666666667,10,0,10,0.0,0.0,7891.53471815239,259.7392083734651,1.0,5,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1152.0,1152.0,0.0,0.0,"0,2,4,12,9,13,14,8,11,7",0:8-0;1:7-2;2:13-4;3:1-12;4:1-9;5:12-13;6:0-14;7:0-8;8:0-11;9:0-7
26,proposed_c2f_adaptive_pd,9,10,0.9,19,300,0.06333333333333334,10,0,10,0.0,0.0,604.4907294575169,94.6891188225751,1.0,9,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"13,12,1,0,4,5,11,6,9,14",0:12-13;1:6-12;2:3-1;3:2-0;4:1-4;5:1-5;6:4-11;7:1-6;8:0-9;9:6-14
27,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,10,0,10,0.0,0.0,893.7901343158723,77.16964499966825,1.0,1,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"5,9,14,2,13,3,11,7,12,8",0:0-5;1:1-9;2:0-14;3:4-2;4:0-13;5:0-3;6:1-11;7:0-7;8:7-12;9:12-8
28,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,1479.8140530509531,203.9003114996313,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1140.0,1140.0,0.0,0.0,"6,2,7,11,14,10,13,3,1,5",0:0-6;1:1-2;2:0-7;3:13-11;4:7-14;5:1-10;6:0-13;7:0-3;8:3-1;9:0-5
29,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,10,0,10,0.0,0.0,384.116875004646,292.2517806400083,1.0,3,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"11,3,4,12,5,0,6,13,9,14",0:0-11;1:0-3;2:11-4;3:5-12;4:11-5;5:2-0;6:5-6;7:5-13;8:0-9;9:0-14
30,proposed_c2f_adaptive_pd,10,10,1.0,7,300,0.023333333333333334,10,0,10,0.0,0.0,5019.09946099673,1305.9238796184572,1.0,0,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"12,0,7,8,3,1,13,5,2,9",0:1-12;1:1-0;2:3-7;3:0-8;4:1-3;5:0-1;6:0-13;7:7-5;8:0-2;9:5-9
31,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,10,0,10,0.0,0.0,4903.738623609896,140.64838731195857,1.0,1,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"13,7,10,3,12,8,4,0,9,11",0:0-13;1:9-7;2:8-10;3:5-3;4:0-12;5:1-8;6:0-4;7:7-0;8:0-9;9:0-11
