trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,1107.0342134149728,53.3315407991077,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"7,13,10,12,8,6,11,4,9,2",0:2-7;1:0-13;2:6-10;3:1-12;4:1-8;5:7-6;6:9-11;7:6-4;8:1-9;9:0-2
1,proposed_c2f_adaptive_pd,9,10,0.9,19,300,0.06333333333333334,10,0,10,0.0,0.0,6713.158388624957,280.22318589407365,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"5,4,8,9,10,7,11,0,13,2",0:6-5;1:0-4;2:0-8;3:1-9;4:13-10;5:2-7;6:14-11;7:11-0;8:7-13;9:5-2
2,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,10,0,10,0.0,0.0,610.6632392625007,165.8557939947118,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1151.0,1151.0,0.0,0.0,"11,8,4,9,7,6,0,14,10,12",0:4-11;1:10-8;2:10-4;3:4-9;4:1-7;5:11-6;6:1-0;7:10-14;8:8-10;9:14-12
3,proposed_c2f_adaptive_pd,9,10,0.9,12,300,0.04,10,0,10,0.0,0.0,379.9875844283993,290.21966474402393,1.0,2,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"12,11,0,6,13,3,9,4,8,5",0:2-12;1:2-11;2:6-0;3:2-6;4:11-13;5:1-3;6:0-9;7:7-4;8:13-8;9:2-5
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,524.7738644223646,110.0019580029363,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1134.0,1134.0,0.0,0.0,"5,7,13,3,4,6,12,2,1,0",0:0-5;1:2-7;2:7-13;3:9-3;4:0-4;5:1-6;6:1-12;7:1-2;8:6-1;9:10-0
5,proposed_c2f_adaptive_pd,9,10,0.9,9,300,0.03,10,0,10,0.0,0.0,203.37460587583257,67.03750676926637,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"7,8,9,13,6,11,14,4,5,10",0:6-7;1:4-8;2:4-9;3:11-13;4:7-6;5:13-11;6:6-14;7:10-4;8:4-5;9:4-10
6,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,10,0,10,0.0,0.0,948.6906210832946,419.4171637677762,1.0,9,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"2,1,7,6,11,8,3,9,5,4",0:0-2;1:9-1;2:3-7;3:0-6;4:9-11;5:3-8;6:4-3;7:4-9;8:4-5;9:8-4
7,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,10,0,10,0.0,0.0,97.0966744976661,58.2927561285949,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"14,12,0,8,3,10,4,6,1,2",0:4-14;1:3-12;2:6-0;3:3-8;4:4-3;5:2-10;6:3-4;7:10-6;8:8-1;9:4-2
8,proposed_c2f_adaptive_pd,9,10,0.9,20,300,0.06666666666666667,10,0,10,0.0,0.0,2805.900750031551,146.91872447792525,1.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1134.0,1134.0,0.0,0.0,"11,1,3,14,2,10,0,13,9,6",0:3-11;1:0-1;2:2-3;3:0-14;4:3-2;5:4-10;6:6-0;7:3-13;8:2-9;9:0-6
9,proposed_c2f_adaptive_pd,9,10,0.9,11,300,0.03666666666666667,10,0,10,0.0,0.0,954.9391207816607,128.94898114936828,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1131.0,1131.0,0.0,0.0,"7,6,4,1,5,11,2,13,0,8",0:14-7;1:1-6;2:2-4;3:3-1;4:0-5;5:3-11;6:0-2;7:1-13;8:2-0;9:2-8
10,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,10,0,10,0.0,0.0,638.9227699860328,144.7013281612411,1.0,2,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1149.0,1149.0,0.0,0.0,"6,13,14,3,1,4,7,12,0,5",0:0-6;1:7-13;2:7-14;3:4-3;4:0-1;5:3-4;6:11-7;7:2-12;8:1-0;9:3-5
11,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,12123.013295394743,342.8333230526541,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1119.0,1119.0,0.0,0.0,"0,11,14,3,7,2,10,8,12,4",0:6-0;1:1-11;2:4-14;3:0-3;4:1-7;5:1-2;6:4-10;7:2-8;8:10-12;9:1-4
12,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,10,0,10,0.0,0.0,1028.4021801400977,59.66466491047999,1.0,2,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"8,4,7,1,11,9,14,3,10,5",0:3-8;1:3-4;2:13-7;3:10-1;4:3-11;5:2-9;6:0-14;7:5-3;8:0-10;9:10-5
13,proposed_c2f_adaptive_pd,9,10,0.9,23,300,0.07666666666666666,10,0,10,0.0,0.0,1716.587360247134,187.7065208015883,1.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1154.0,1154.0,0.0,0.0,"2,4,11,10,0,6,7,3,5,8",0:1-2;1:3-4;2:6-11;3:0-10;4:6-0;5:0-6;6:14-7;7:4-3;8:14-5;9:10-8
14,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,4506.756990433465,260.650820319279,1.0,5,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1142.0,1142.0,0.0,0.0,"12,7,4,13,8,2,9,5,0,10",0:4-12;1:2-7;2:12-4;3:5-13;4:0-8;5:4-2;6:1-9;7:2-5;8:2-0;9:2-10
15,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,10,0,10,0.0,0.0,731.6558160018146,67.26993867453328,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"8,4,9,14,0,1,5,7,6,10",0:1-8;1:8-4;2:0-9;3:4-14;4:10-0;5:6-1;6:7-5;7:2-7;8:0-6;9:9-10
16,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,10,0,10,0.0,0.0,1673.6361606362552,251.43270512293955,1.0,1,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1134.0,1134.0,0.0,0.0,"6,2,12,14,11,1,5,4,13,9",0:14-6;1:6-2;2:14-12;3:6-14;4:2-11;5:7-1;6:2-5;7:14-4;8:4-13;9:0-9
17,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,513.7164600108819,135.70880887014334,1.0,9,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1148.0,1148.0,0.0,0.0,"1,3,14,5,12,6,4,10,0,11",0:0-1;1:4-3;2:4-14;3:3-5;4:2-12;5:9-6;6:6-4;7:0-10;8:6-0;9:5-11
18,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,10,0,10,0.0,0.0,1024.4721602609654,101.57090523071804,1.0,4,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1119.0,1119.0,0.0,0.0,"8,1,5,3,6,4,2,10,9,14",0:9-8;1:8-1;2:0-5;3:14-3;4:1-6;5:0-4;6:9-2;7:2-10;8:8-9;9:10-14
19,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,10,0,10,0.0,0.0,1804.06993785585,273.21815746998004,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1145.0,1145.0,0.0,0.0,"10,13,11,8,7,9,2,14,6,3",0:6-10;1:2-13;2:9-11;3:11-8;4:3-7;5:3-9;6:0-2;7:3-14;8:10-6;9:7-3
20,proposed_c2f_adaptive_pd,9,10,0.9,10,300,0.03333333333333333,10,0,10,0.0,0.0,2071.8728785204994,153.37447274349944,1.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1155.0,1155.0,0.0,0.0,"2,1,0,6,13,14,10,3,5,12",0:14-2;1:3-1;2:4-0;3:3-6;4:6-13;5:12-14;6:2-10;7:1-3;8:1-5;9:5-12
