trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,11,0,11,0.0,0.0,9426.379760066957,189.21772985298878,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9118.0,9118.0,0.0,0.0,"7,10,7,10,10,12,7,1,3,12","0:0-7;1:0-10;2:0-7;3:3-10;4:3-10,9-10;5:4-12;6:0-7;7:0-1;8:2-3;9:0-12"
1,proposed_c2f_adaptive_pd,9,10,0.9,4,270,0.014814814814814815,13,0,13,0.0,0.0,1034.5491984985279,199.37617340691136,0.9230769230769231,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10122.0,10122.0,0.0,0.0,"7,8,5,12,3,6,14,4,2,1","0:5-7;1:1-8;2:6-5;3:1-12;4:2-3;5:8-6,4-6;6:0-14,1-14;7:0-4;8:3-2;9:12-1,3-1"
2,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,15,4,11,2560.0,4.266666666666667,496.7567286675609,76.19425169957827,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15207.0,15207.0,0.0,0.0,"12,14,12,11,13,14,6,4,8,14","0:2-12;1:0-14;2:7-12;3:0-11;4:1-13;5:0-14;6:6-9,0-9,10-9,0-10,0-6,9-6;7:0-4;8:0-8;9:0-14"
3,proposed_c2f_adaptive_pd,9,10,0.9,23,300,0.07666666666666666,11,0,11,0.0,0.0,2103.287880188306,99.42853266194268,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13280.0,13280.0,0.0,0.0,"14,13,1,14,4,11,5,4,10,0","0:4-14;1:0-13;2:5-1;3:0-14;4:10-4,6-4;5:2-11;6:0-5;7:1-4;8:1-10;9:1-0"
4,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,15,3,12,1920.0,3.2,2056.5954929191093,132.36269839387953,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.0,13863.0,0.0,0.0,"2,11,6,13,2,11,13,7,10,10","0:3-2;1:4-11;2:0-6;3:10-13;4:2-13,8-13,13-2,8-2,13-8,10-2;5:2-11;6:0-13;7:0-7;8:4-10;9:0-10"
5,proposed_c2f_adaptive_pd,10,10,1.0,10,300,0.03333333333333333,16,1,15,640.0,1.0666666666666667,198.36664090698292,115.42008464671582,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.0,18416.0,0.0,0.0,"12,12,8,11,7,13,1,11,0,7","0:0-12;1:10-12,0-12;2:12-8;3:13-11;4:1-7;5:11-13;6:2-1;7:11-13,13-11,5-11,6-11,1-11,3-11;8:1-0;9:0-7"
6,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,2226.4110344444202,810.2592476491702,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11121.0,11121.0,0.0,0.0,"11,12,11,7,0,7,13,9,13,10",0:0-11;1:0-12;2:0-11;3:0-7;4:1-0;5:5-7;6:0-13;7:7-9;8:0-13;9:2-10
7,proposed_c2f_adaptive_pd,9,10,0.9,13,270,0.04814814814814815,10,0,10,0.0,0.0,133756.28278992622,720.8045418560021,0.9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9581.0,9581.0,0.0,0.0,"10,4,2,8,6,11,9,1,0,7",0:3-10;1:0-4;2:0-2;3:1-8;4:0-6;5:1-11;6:0-9;7:0-1;8:1-0;9:2-7
8,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,20,5,15,3200.0,5.333333333333334,6191.155889544598,299.88690787135954,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17378.0,17378.0,0.0,0.0,"12,14,13,13,11,4,8,3,10,12","0:0-12;1:2-14;2:1-13;3:2-13;4:0-11;5:0-4;6:0-8;7:3-12,12-3,8-12,9-3,8-3,3-9;8:10-14,14-10,13-10,13-14,3-10,2-10;9:0-12"
9,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,11,0,11,0.0,0.0,798.6083090890235,298.0957583060133,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12972.0,12972.0,0.0,0.0,"9,13,0,2,14,9,0,5,0,4","0:0-9;1:11-13,5-13;2:1-0;3:5-2;4:5-14;5:10-9;6:1-0;7:0-5;8:3-0;9:0-4"
