trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,28,4,24,2560.0,4.266666666666667,13754.601626591782,48.49443610210429,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33712.0,33712.0,0.0,0.0,"7,10,7,3,3,7,12,13,3,10","0:5-7;1:3-10;2:4-7;3:10-3;4:10-3,3-10,7-3,12-3,12-10,8-3;5:12-7;6:7-12;7:1-13,3-13,2-13,9-13,13-1,10-13;8:13-3,10-3,3-10,2-3,9-3,0-3;9:12-10,3-10,0-10,8-10"
1,proposed_c2f_adaptive_pd,9,10,0.9,5,300,0.016666666666666666,36,12,24,7680.0,12.800000000000004,18.537539679746217,12.925481843812033,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35869.0,35869.0,0.0,0.0,"5,3,13,14,5,5,14,1,7,1","0:7-5,8-5,10-5,1-5;1:2-3;2:6-13;3:1-14,3-14;4:7-5,5-7,3-5,8-5,5-4,1-5;5:5-4,4-5,8-5,1-5,5-8,1-4;6:1-14,0-14,4-14;7:14-1;8:2-7,5-7,7-5,2-5,3-7,3-5;9:1-14,14-1,4-14,1-4,4-1,14-4"
2,proposed_c2f_adaptive_pd,7,10,0.7,12,270,0.044444444444444446,27,10,17,6400.0,10.66666666666667,45.60853811934198,8.45666326272909,0.9629629629629629,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36800.0,36800.0,0.0,0.0,"6,6,6,11,1,13,0,6,10,8","0:0-6;1:2-6;2:2-6,0-6,6-2,12-6,6-0,6-10;3:4-11;4:13-1,4-1;5:3-13;6:0-10,6-10,0-9,0-6,9-10,10-0;7:3-6,9-6,6-11,11-6,6-9,2-6;8:8-10,9-10;9:1-8"
3,proposed_c2f_adaptive_pd,5,10,0.5,25,300,0.08333333333333333,28,5,23,3200.0,5.333333333333334,43.363332206692995,1.9259204207073726,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32736.0,32736.0,0.0,0.0,"5,12,3,7,4,10,5,14,12,0","0:3-5;1:3-0,3-12;2:0-3;3:3-7;4:14-4,11-4;5:10-14,6-14,14-10,6-10,13-10,5-14;6:14-5,5-11,11-5,10-5,6-5,13-5;7:5-14;8:3-12,1-12;9:12-0,3-0,1-0,9-0,13-0,6-0"
4,proposed_c2f_adaptive_pd,7,10,0.7,12,300,0.04,35,9,26,5760.0,9.600000000000003,40.35041538589452,5.110502096867619,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43830.0,43830.0,0.0,0.0,"2,4,4,2,2,11,13,4,13,4","0:8-2,2-7,14-2,8-7,7-2,6-2;1:4-1,7-4,1-4,11-4,13-4,8-4;2:7-4,10-4,13-4,2-4;3:8-2,12-2,2-7,8-7,13-2,10-2;4:2-13;5:6-11;6:10-13,0-13,13-12,4-13,13-10,12-13;7:10-4,13-4;8:13-12,10-13;9:7-4"
5,proposed_c2f_adaptive_pd,8,10,0.8,9,300,0.03,42,18,24,11520.0,19.200000000000006,73.14992143019569,24.283278420323562,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47859.0,47859.0,0.0,0.0,"8,2,8,11,5,13,10,11,2,5","0:2-8,11-8,1-8,8-11,2-11,1-11;1:0-2,2-1,1-2,0-1,10-2,4-2;2:12-8,0-8,10-8,13-8,8-13,6-8;3:8-11;4:5-7,3-7,9-7,1-7,2-7,14-7;5:6-13;6:0-10;7:13-11,11-8,1-11,5-11,7-11,8-11;8:0-2,1-2,3-2;9:5-7,7-5,9-7,3-7,1-7,14-7"
6,proposed_c2f_adaptive_pd,6,10,0.6,18,300,0.06,38,12,26,7680.0,12.800000000000004,34.905895510569124,2.9882582631991466,0.8947368421052632,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38149.0,38149.0,0.0,0.0,"8,10,5,6,3,9,13,6,6,10","0:7-8;1:3-10;2:0-5;3:7-6,6-7,5-6,14-6,2-6,3-6;4:3-2,6-3,2-3,10-3,4-2,10-2;5:0-9;6:13-4,4-13,9-13,1-13,0-13,1-4;7:6-4,4-6,7-6,2-6;8:6-4,4-6,2-6,10-6,1-6,0-6;9:10-2,10-3,3-2,2-3,3-10,2-10"
7,proposed_c2f_adaptive_pd,9,10,0.9,15,270,0.05555555555555555,25,8,17,5120.0,8.533333333333335,1285888.1882956882,29.450734516326953,0.76,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29803.0,29803.0,0.0,0.0,"10,4,5,8,7,10,9,13,1,2","0:4-10,8-10,10-3,10-4,3-10,11-10;1:11-4,4-11,4-9,8-4,4-10,9-4;2:12-5;3:1-8;4:2-7;5:3-10;6:14-9;7:0-13;8:1-11,11-1,1-4,4-1,1-9,0-1;9:6-2"
8,proposed_c2f_adaptive_pd,5,10,0.5,13,300,0.043333333333333335,37,18,19,11520.0,19.200000000000006,45.311750559306695,1.0438078674386042,1.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36699.0,36699.0,0.0,0.0,"5,2,10,2,6,13,7,9,10,5","0:0-5;1:0-2;2:10-13,2-10,14-10,10-14,0-10,13-10;3:1-0,2-0,14-0,10-0,0-1,10-2;4:4-6,11-6,1-6;5:7-13;6:3-7;7:9-12,8-12,9-5,9-0,8-9,8-0;8:10-13,14-10,14-13,10-14,2-10,0-10;9:9-5,5-12,12-5,5-9,0-5,9-12"
9,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,42,15,27,9600.0,16.000000000000004,14.093916114655698,5.968249205143612,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43951.0,43951.0,0.0,0.0,"0,11,4,2,8,6,0,14,0,11","0:1-0;1:11-13,13-11;2:11-4,4-11,6-4,0-4,1-4,13-4;3:2-7,5-7,5-2,0-2,7-2,14-7;4:8-14,5-14,14-8,5-8,13-8,2-8;5:1-6,6-1,4-6,6-4,0-6,7-6;6:5-0,11-0,0-11,0-4,0-13,4-0;7:8-14,5-14;8:11-4,0-4,4-11,4-0,11-0,1-0;9:0-11"
