trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
0,0,0.4929278740055975,0.4929278740055975,0.4929278740055975,0.0,0.0,0.0,144,5184,0,0,"[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]","[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]"
0,1,0.7242235728454343,0.7172960082348205,0.7172960082348205,0.006927564610613723,0.0,0.006927564610613723,864,5184,1,1,"[0, 0]","[[[0, 1], [1, 0], [2, 0]], [[1, 0]]]","[0, 1]","[[[1, 0], [0, 1], [2, 0]], [[0, 1]]]"
0,2,0.8460221573688962,0.8460221573688962,0.8460221573688962,0.0,0.0,0.0,2048,5184,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 1]","[[[1, 0], [0, 1]], [[0, 1], [1, 0]]]"
0,4,0.8460221573688962,0.8460221573688962,0.8460221573688962,0.0,0.0,0.0,2888,5184,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 1]","[[[1, 0], [0, 1]], [[0, 1], [1, 0]]]"
1,0,1.0529657840463784,1.0529657840463784,1.0529657840463784,0.0,0.0,0.0,144,5184,0,0,"[0, 2]","[[[1, 0], [2, 0]], [[0, 2], [1, 2]]]","[0, 2]","[[[1, 0], [2, 0]], [[1, 2], [0, 2]]]"
1,1,1.405886468671992,1.405886468671992,1.405886468671992,0.0,0.0,0.0,864,5184,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[0, 2]","[[[1, 0]], [[1, 2], [2, 1], [0, 2]]]"
1,2,1.405886468671992,1.405886468671992,1.405886468671992,0.0,0.0,0.0,2048,5184,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[0, 2]","[[[1, 0]], [[1, 2], [2, 1], [0, 2]]]"
1,4,1.405886468671992,1.405886468671992,1.405886468671992,0.0,0.0,0.0,2888,5184,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[0, 2]","[[[1, 0]], [[1, 2], [2, 1], [0, 2]]]"
2,0,0.5550059959468503,0.5550059959468503,0.5550059959468503,0.0,0.0,0.0,144,5184,0,0,"[1, 0]","[[[2, 1]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2]], [[2, 0], [1, 0]]]"
2,1,0.7174421126641407,0.7174421126641407,0.7174421126641407,0.0,0.0,0.0,864,5184,1,1,"[1, 0]","[[[2, 1]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[1, 2]], [[2, 0], [1, 0], [0, 2]]]"
2,2,0.7174421126641407,0.7174421126641407,0.7174421126641407,0.0,0.0,0.0,2048,5184,1,1,"[1, 0]","[[[2, 1]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[1, 2]], [[2, 0], [1, 0], [0, 2]]]"
2,4,0.7174421126641407,0.7174421126641407,0.7174421126641407,0.0,0.0,0.0,2888,5184,1,1,"[1, 0]","[[[2, 1]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[1, 2]], [[2, 0], [1, 0], [0, 2]]]"
3,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,144,15876,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[1, 2]","[[[0, 1]], [[1, 2]]]"
3,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,1224,15876,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[1, 2]","[[[0, 1]], [[1, 2]]]"
3,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,3888,15876,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[1, 2]","[[[0, 1]], [[1, 2]]]"
3,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,6876,15876,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[1, 2]","[[[0, 1]], [[1, 2]]]"
4,0,-0.6289159732314019,-0.6289159732314019,-0.6289159732314019,0.0,0.0,0.0,144,5184,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[2, 1], [0, 1]]]"
4,1,-0.5691627262628501,-0.5691627262628501,-0.5691627262628501,0.0,0.0,0.0,864,5184,1,1,"[1, 1]","[[[0, 1], [2, 1]], [[1, 2], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[2, 1], [1, 2]]]"
4,2,-0.5088371426939269,-0.5088371426939269,-0.5088371426939269,0.0,0.0,0.0,2048,5184,2,2,"[1, 1]","[[[1, 2], [2, 1]], [[1, 2], [2, 1]]]","[1, 1]","[[[2, 1], [1, 2]], [[2, 1], [1, 2]]]"
4,4,-0.5088371426939269,-0.5088371426939269,-0.5088371426939269,0.0,0.0,0.0,2888,5184,2,2,"[1, 1]","[[[1, 2], [2, 1]], [[1, 2], [2, 1]]]","[1, 1]","[[[2, 1], [1, 2]], [[2, 1], [1, 2]]]"
5,0,0.9337938534997325,0.9337938534997325,0.9337938534997325,0.0,0.0,0.0,144,15876,0,0,"[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]"
5,1,1.3784186988871678,1.3776354571046276,1.3776354571046276,0.0007832417825401894,0.0,0.0007832417825401894,1224,15876,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[1, 1]","[[[0, 1]], [[2, 1], [1, 2], [0, 1]]]"
5,2,1.3784186988871678,1.3776354571046276,1.373532390587553,0.0007832417825401894,0.004103066517074705,0.004886308299614894,3888,15876,2,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[1, 1]","[[[0, 1]], [[2, 1], [1, 2], [2, 0]]]"
5,4,1.3784186988871678,1.3776354571046276,1.373532390587553,0.0007832417825401894,0.004103066517074705,0.004886308299614894,6876,15876,2,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[1, 1]","[[[0, 1]], [[2, 1], [1, 2], [2, 0]]]"
6,0,0.04864335769533584,0.04864335769533584,0.04864335769533584,0.0,0.0,0.0,144,15876,0,0,"[0, 0]","[[[1, 0], [2, 0]], [[1, 0], [2, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[1, 0], [2, 0]]]"
6,1,0.0769272935564376,0.0769272935564376,0.0769272935564376,0.0,0.0,0.0,1224,15876,1,1,"[0, 0]","[[[1, 0], [2, 0]], [[0, 1], [1, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[1, 0], [0, 1]]]"
6,2,0.09933153982333469,0.09933153982333469,0.09933153982333469,0.0,0.0,0.0,3888,15876,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 0]","[[[1, 0], [0, 1]], [[1, 0], [0, 1]]]"
6,4,0.09933153982333469,0.09933153982333469,0.09933153982333469,0.0,0.0,0.0,6876,15876,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 0]","[[[1, 0], [0, 1]], [[1, 0], [0, 1]]]"
7,0,-0.7222900012580521,-0.7222900012580521,-0.7222900012580521,0.0,0.0,0.0,144,15876,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]"
7,1,-0.7201148120194464,-0.7201148120194464,-0.7201148120194464,0.0,0.0,0.0,1224,15876,1,1,"[1, 1]","[[[0, 1], [1, 0], [2, 1]], [[2, 1]]]","[1, 1]","[[[0, 1], [2, 1], [1, 0]], [[2, 1]]]"
7,2,-0.7201148120194464,-0.7201148120194464,-0.7201148120194464,0.0,0.0,0.0,3888,15876,1,1,"[1, 1]","[[[0, 1], [1, 0], [2, 1]], [[2, 1]]]","[1, 1]","[[[0, 1], [2, 1], [1, 0]], [[2, 1]]]"
7,4,-0.7201148120194464,-0.7201148120194464,-0.7201148120194464,0.0,0.0,0.0,6876,15876,1,1,"[1, 1]","[[[0, 1], [1, 0], [2, 1]], [[2, 1]]]","[1, 1]","[[[0, 1], [2, 1], [1, 0]], [[2, 1]]]"
8,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,144,5184,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
8,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,864,5184,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
8,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,2048,5184,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
8,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,2888,5184,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
9,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,144,15876,0,0,"[0, 0]","[[[1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0]], [[0, 2]]]"
9,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,1224,15876,0,0,"[0, 0]","[[[1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0]], [[0, 2]]]"
9,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,3888,15876,0,0,"[0, 0]","[[[1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0]], [[0, 2]]]"
9,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,6876,15876,0,0,"[0, 0]","[[[1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0]], [[0, 2]]]"
