family,area_side_m,rcs_m2,report_budget,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms
compact_600m,600.0,0.05,0,v1,0.461,0.047766666666666666,0.0,48.65,10.0,0.982391955339509,0.0,0.0
compact_600m,600.0,0.05,0,joint,0.463,0.04716666666666667,0.0,45.82,10.0,0.9814829645976895,0.0,0.0
compact_600m,600.0,0.05,0,balanced,0.494,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,0.05,0,robust,0.508,0.04956666666666667,0.0,60.0,10.0,0.9831666666666666,0.0,0.0
compact_600m,600.0,0.05,8,v1,0.475,0.048566666666666654,7.66,44.67,10.0,0.9798031669455693,4902.4,8.170666666666666
compact_600m,600.0,0.05,8,joint,0.48700000000000004,0.04743333333333332,7.25,44.4,10.0,0.9795072402978264,4640.0,7.733333333333333
compact_600m,600.0,0.05,8,balanced,0.5219999999999999,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
compact_600m,600.0,0.05,8,robust,0.457,0.05006666666666667,7.46,46.84,10.0,0.9819154263293279,4774.4,7.957333333333333
compact_600m,600.0,0.1,0,v1,0.5650000000000001,0.0483,0.0,42.32,10.0,0.9808124669775787,0.0,0.0
compact_600m,600.0,0.1,0,joint,0.5730000000000001,0.048100000000000004,0.0,40.18,10.0,0.9795393720303991,0.0,0.0
compact_600m,600.0,0.1,0,balanced,0.632,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,0.1,0,robust,0.642,0.04956666666666667,0.0,60.0,10.0,0.9831666666666666,0.0,0.0
compact_600m,600.0,0.1,8,v1,0.5800000000000001,0.04843333333333333,7.26,40.24,10.0,0.9793288515547897,4646.4,7.743999999999999
compact_600m,600.0,0.1,8,joint,0.5890000000000001,0.04833333333333333,6.72,40.01,10.0,0.9786859895199953,4300.8,7.167999999999999
compact_600m,600.0,0.1,8,balanced,0.6509999999999999,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
compact_600m,600.0,0.1,8,robust,0.614,0.0495,7.9,52.73,10.0,0.9810424155308055,5056.0,8.426666666666666
compact_600m,600.0,0.2,0,v1,0.68,0.048333333333333346,0.0,35.55,10.0,0.9825691257569636,0.0,0.0
compact_600m,600.0,0.2,0,joint,0.6929999999999998,0.04850000000000001,0.0,33.6,10.0,0.9815275753994308,0.0,0.0
compact_600m,600.0,0.2,0,balanced,0.7570000000000001,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,0.2,0,robust,0.7680000000000001,0.04953333333333333,0.0,59.97,10.0,0.9831609195402298,0.0,0.0
compact_600m,600.0,0.2,8,v1,0.7020000000000001,0.048866666666666676,6.75,34.36,10.0,0.9816490220330659,4320.0,7.2
compact_600m,600.0,0.2,8,joint,0.71,0.04826666666666666,6.11,33.91,10.0,0.9811696153500352,3910.4,6.517333333333335
compact_600m,600.0,0.2,8,balanced,0.784,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
compact_600m,600.0,0.2,8,robust,0.7710000000000002,0.049633333333333335,7.95,56.38,10.0,0.9811669495708969,5088.0,8.479999999999997
compact_600m,600.0,1.0,0,v1,0.9050000000000001,0.049766666666666674,0.0,20.67,10.0,0.9835776323249646,0.0,0.0
compact_600m,600.0,1.0,0,joint,0.9120000000000001,0.04973333333333334,0.0,19.67,10.0,0.9827978445400928,0.0,0.0
compact_600m,600.0,1.0,0,balanced,0.9610000000000001,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,1.0,0,robust,0.95,0.048933333333333336,0.0,45.84,10.0,0.9807605302145498,0.0,0.0
compact_600m,600.0,1.0,8,v1,0.907,0.050333333333333334,3.8,19.78,10.0,0.9832859174546119,2432.0,4.053333333333333
