condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
k0,0,v1,0.9,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.3178796999854967,0.0,0,0
k0,0,joint,0.9,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.3604338000295684,0.0,271,0
k0,0,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.32704089989420027,0.0,0,0
k0,0,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.3161734000314027,0.0,0,0
k0,1,v1,1.0,0.04666666666666667,0,11,10,1.0,0.0,0.0,0.4541724999435246,0.0,0,0
k0,1,joint,1.0,0.04666666666666667,0,11,10,1.0,0.0,0.0,0.4997623999370262,0.0,270,0
k0,1,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.40428969997446984,0.0,0,0
k0,1,robust,1.0,0.04666666666666667,0,15,10,1.0,0.0,0.0,0.5911778000881895,0.0,0,0
prior500,0,v1,1.0,0.05,0,10,10,1.0,0.0,0.0,0.46058590000029653,0.0,0,0
prior500,0,joint,1.0,0.05,0,10,10,1.0,0.0,0.0,0.5451581000816077,0.0,624,0
prior500,0,balanced,1.0,0.04666666666666667,8,60,10,0.95,5120.0,8.533333333333335,0.37564549990929663,0.0,0,0
prior500,0,robust,0.9,0.05333333333333334,3,20,10,0.95,1920.0,3.2,1.864593500038609,0.0,0,0
prior500,1,v1,0.9,0.03,3,16,10,0.9375,1920.0,3.2,0.7258465000195429,0.0,0,0
prior500,1,joint,0.9,0.03,3,16,10,0.9375,1920.0,3.2,0.8241758999647573,0.0,625,0
prior500,1,balanced,1.0,0.05,8,60,10,0.9666666666666667,5120.0,8.533333333333335,0.3816213000100106,0.0,0,0
prior500,1,robust,1.0,0.06333333333333334,8,38,10,0.9736842105263158,5120.0,8.533333333333335,2.5025209999876097,0.0,0,0
