condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
rcs0.05_k0,0,v1,0.2,0.04666666666666667,0,55,10,1.0,0.0,0.0,2.629845399991609,0.0,0,0
rcs0.05_k0,0,joint,0.2,0.05333333333333334,0,54,10,1.0,0.0,0.0,2.7134143001167104,0.004285043307625358,317,3
rcs0.05_k0,0,balanced,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.2455632999772206,0.0,0,0
rcs0.05_k0,0,robust,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,2.836659000022337,0.0,0,0
rcs0.05_k0,1,v1,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,2.8255834000883624,0.0,0,0
rcs0.05_k0,1,joint,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,2.894849000032991,0.0,310,0
rcs0.05_k0,1,balanced,0.1,0.05333333333333334,0,60,10,0.9666666666666667,0.0,0.0,0.25509260001126677,0.0,0,0
rcs0.05_k0,1,robust,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,2.877554400009103,0.0,0,0
rcs0.2_k8,0,v1,0.3,0.04666666666666667,3,46,10,1.0,1920.0,3.2,2.4441259999293834,0.0,0,0
rcs0.2_k8,0,joint,0.3,0.04666666666666667,3,46,10,1.0,1920.0,3.2,2.676778799854219,0.0008484393253915812,873,1
rcs0.2_k8,0,balanced,0.3,0.04,8,60,10,1.0,5120.0,8.533333333333335,0.24986470001749694,0.0,0,0
rcs0.2_k8,0,robust,0.3,0.05,5,55,10,1.0,3200.0,5.333333333333334,2.9139161000493914,0.0,0,0
rcs0.2_k8,1,v1,0.3,0.043333333333333335,8,55,10,0.9818181818181818,5120.0,8.533333333333335,2.893173799966462,0.0,0,0
rcs0.2_k8,1,joint,0.3,0.043333333333333335,8,55,10,0.9818181818181818,5120.0,8.533333333333335,2.9855791999725625,0.0,437,0
rcs0.2_k8,1,balanced,0.2,0.056666666666666664,8,60,10,0.9833333333333333,5120.0,8.533333333333335,0.25825109996367246,0.0,0,0
rcs0.2_k8,1,robust,0.2,0.03333333333333333,8,50,10,0.98,5120.0,8.533333333333335,2.7355414000339806,0.0,0,0
