condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
rcs1_k0,0,v1,0.3,0.04,0,45,10,1.0,0.0,0.0,1.6589285999070853,0.0,0,0
rcs1_k0,0,joint,0.3,0.04,0,45,10,1.0,0.0,0.0,1.7244132000487298,0.0,298,0
rcs1_k0,0,balanced,0.4,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.29899119993206114,0.0,0,0
rcs1_k0,0,robust,0.4,0.05,0,53,10,1.0,0.0,0.0,3.3272671999875456,0.0,0,0
rcs1_k0,1,v1,0.6,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,3.653582700062543,0.0,0,0
rcs1_k0,1,joint,0.6,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,3.749455200158991,0.0,310,0
rcs1_k0,1,balanced,0.6,0.05333333333333334,0,60,10,0.9666666666666667,0.0,0.0,0.40551279997453094,0.0,0,0
rcs1_k0,1,robust,0.6,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,4.067270200001076,0.0,0,0
rcs1_k0,2,v1,0.5,0.04666666666666667,0,45,10,1.0,0.0,0.0,3.3207104000030085,0.0,0,0
rcs1_k0,2,joint,0.5,0.04666666666666667,0,45,10,1.0,0.0,0.0,3.4145169999683276,0.0,317,0
rcs1_k0,2,balanced,0.5,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.5619018999859691,0.0,0,0
rcs1_k0,2,robust,0.5,0.056666666666666664,0,60,10,1.0,0.0,0.0,4.6947618999984115,0.0,0,0
rcs1_k0,3,v1,0.6,0.08333333333333333,0,51,10,1.0,0.0,0.0,3.325338499969803,0.0,0,0
rcs1_k0,3,joint,0.6,0.08333333333333333,0,51,10,1.0,0.0,0.0,3.417756500071846,0.0,320,0
rcs1_k0,3,balanced,0.7,0.07,0,60,10,1.0,0.0,0.0,0.5926924000959843,0.0,0,0
rcs1_k0,3,robust,0.6,0.07333333333333333,0,58,10,1.0,0.0,0.0,4.729466199991293,0.0,0,0
rcs1_k0,4,v1,0.6,0.06,0,50,10,1.0,0.0,0.0,3.2344030999811366,0.0,0,0
