experiment,variant,use_otfs_bin_validity,enable_dd_fractional_penalty,enable_dd_collision_penalty,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
dd_ablation,full_dd,True,True,True,proposed_lagrangian,0.6123,0.602708991525755,0.6218047592717385,0.00954788387299177,0.043937422862670536,0.04390666666666666,17626.88,28.434031152810917,27.542,0.9993,1.0,430.98,0.3195214631023853,1.145531611271594,0.24172464519247722,0.3079208378481666,0.7746778314248431,0.5441229155111573,0.6016827264896999,-4.656170120268536,1.0,1.0,42.38360382811984,5.307472033804658,0.2031469564906917,96.35325835631001,0.018,29.919578498819142,0.617,0.6123,0.593,0.642,0.0347367202817515,0.021534055326498068,2.4044870009961965,1.4905942671421004
dd_ablation,full_dd,True,True,True,sense_sinr,0.5898,0.5801266559632859,0.5994043753957071,0.00963885971621059,0.04556856466193002,0.04553666666666667,17626.88,40.119956732766425,27.542,0.9993,1.0,430.98,0.3195214631023853,0.857203088225612,0.2166927299763923,0.2487000862922054,0.7216058974040508,0.519405705754298,0.5536699301351979,-6.192574044433144,1.0,1.0,39.09682639099926,4.564177986257171,0.2000270447791864,85.52173339849934,0.011,26.809026013389815,0.586,0.5897999999999999,0.573,0.626,0.033460260692760146,0.01470091316220946,2.2180230642631744,0.9744982192133931
dd_ablation,full_dd,True,True,True,single_best,0.5659,0.556162018012863,0.5755873691425673,0.009712675564852113,0.042366666666666664,0.042366666666666664,6400.0,8.665434555144383,10.0,1.0,1.0,430.98,0.3195214631023853,1.3362030502558089,0.3593388798736904,0.46085232692922135,0.8135596208681733,0.6307418575247227,0.683811088701946,-3.5723525023339864,1.0,1.0,40.867460695939194,3.769228844022372,0.08661869985223332,93.05988352804263,0.002,28.605372311086416,0.512,0.5659000000000001,0.545,0.591,0.08842187499999998,0.06530543810570281,6.385540733740498,4.716146713228309
dd_ablation,full_dd,True,True,True,all_neighbor,0.6641,0.654781385707694,0.673292581397103,0.009255597844704533,0.046046666666666666,0.046046666666666666,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.08636258568296,7.9365071611593905,0.22163701635683375,169.93134499869404,0.018,54.38664636761846,0.635,0.6641,0.649,0.672,0.0024076668290871966,0.000983286946749421,0.28309884806749647,0.11561707732215694
dd_ablation,w/o_dd_validity,False,True,True,proposed_lagrangian,0.6123,0.602708991525755,0.6218047592717385,0.00954788387299177,0.043937422862670536,0.04390666666666666,17626.88,28.434031152810917,27.542,0.9993,1.0,431.01,0.3195214631023853,1.145531611271594,0.24172464519247722,0.3079208378481666,0.7746778314248431,0.5441229155111573,0.6016827264896999,-4.656170120268536,1.0,1.0,42.38360382811984,5.307472033804658,0.2031469564906917,96.35325835631001,0.018,29.919578498819142,0.617,0.6123,0.593,0.642,0.0347367202817515,0.021534055326498068,2.4044870009961965,1.4905942671421004
dd_ablation,w/o_dd_validity,False,True,True,sense_sinr,0.5898,0.5801266559632859,0.5994043753957071,0.00963885971621059,0.04556856466193002,0.04553666666666667,17626.88,40.119956732766425,27.542,0.9993,1.0,431.01,0.3195214631023853,0.857203088225612,0.2166927299763923,0.2487000862922054,0.7216058974040508,0.519405705754298,0.5536699301351979,-6.192574044433144,1.0,1.0,39.09682639099926,4.564177986257171,0.2000270447791864,85.52173339849934,0.011,26.809026013389815,0.586,0.5897999999999999,0.573,0.626,0.033460260692760146,0.01470091316220946,2.2180230642631744,0.9744982192133931
dd_ablation,w/o_dd_validity,False,True,True,single_best,0.5659,0.556162018012863,0.5755873691425673,0.009712675564852113,0.042366666666666664,0.042366666666666664,6400.0,8.665434555144383,10.0,1.0,1.0,431.01,0.3195214631023853,1.3362030502558089,0.3593388798736904,0.46085232692922135,0.8135596208681733,0.6307418575247227,0.683811088701946,-3.5723525023339864,1.0,1.0,40.867460695939194,3.769228844022372,0.08661869985223332,93.05988352804263,0.002,28.605372311086416,0.512,0.5659000000000001,0.545,0.591,0.08842187499999998,0.06530543810570281,6.385540733740498,4.716146713228309
dd_ablation,w/o_dd_validity,False,True,True,all_neighbor,0.6647,0.6553852471824592,0.6738882591073644,0.00925150596245261,0.04606,0.04606,275846.4,675.4001601722117,431.01,1.0,1.0,431.01,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.08636259187881,7.9365071611593905,0.22163701635683375,169.93134499869404,0.018,54.38664639344621,0.635,0.6647000000000001,0.65,0.673,0.0024096743695041873,0.0009841573028802903,0.2830791432908996,0.11561496013262502
dd_ablation,w/o_dd_fractional_loss,True,False,True,proposed_lagrangian,0.6946,0.6854993931604164,0.7035511491832368,0.009025878011410193,0.04403547376141895,0.044026666666666665,15511.68,24.465843599109565,24.237,0.9997999999999999,1.0,430.98,0.3195214631023853,1.1891519972259226,0.2548641750499662,0.32764531483717063,0.7819019097065115,0.5539249509575906,0.6136109264940213,-4.4367739599956515,1.0,1.0,61.496275783855666,9.984320807632741,0.5434216071662915,150.83082278238854,0.069,45.8340717850047,0.734,0.6946,0.674,0.704,0.04477915996204151,0.02839060084669551,3.9645142101858513,2.513556319230857
dd_ablation,w/o_dd_fractional_loss,True,False,True,sense_sinr,0.6619,0.6525673699526932,0.6711082868070061,0.009270458427156458,0.04503233980129359,0.04502333333333333,15511.68,35.06097025064617,24.237,0.9997999999999999,1.0,430.98,0.3195214631023853,0.8686095521079538,0.22092543438215836,0.25597832754401917,0.7238808193421216,0.5224001436154133,0.5584253945658582,-6.128478779082726,1.0,1.0,55.97266923617654,8.23048261493213,0.5246847085358443,137.5381623896421,0.026,40.32161941114336,0.703,0.6618999999999999,0.633,0.686,0.042671071089656315,0.018878542016041364,3.608420831023883,1.5964381144057178
