experiment,robustness_type,condition_value,comm_error_model,soft_error_sigma_scale,residual_direct_factor,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
robustness,error_sigma,1.0,erasure,1.0,0.0001,proposed_lagrangian,0.6452,0.6357682039504206,0.6545202788260359,0.009376037437807683,0.05003167616951752,0.05001666666666667,15069.44,27.148782900579846,23.546,0.9997,1.0,430.98,0.3195214631023853,1.0592092795584407,0.23524999678386024,0.2901439913806798,0.7604016694572916,0.5385255270368621,0.5886737323254922,-5.089628594778576,1.0,1.0,74.09377748976598,11.025861073662881,0.527934829728199,186.1827719263444,0.07,54.63327981565001,0.734,0.6452,0.619,0.662,0.04281512783487641,0.02376533792924543,4.9168235508264395,2.729174923277444
robustness,error_sigma,1.0,erasure,1.0,0.0001,sense_sinr,0.6352,0.6257148193238514,0.6445813437021605,0.009433262189154523,0.05010836584308626,0.05009333333333333,15069.44,33.71428637752943,23.546,0.9997,1.0,430.98,0.3195214631023853,0.8763796589178017,0.218852490633513,0.25270216600177525,0.724312048069751,0.5218708514445926,0.5569016684651076,-6.103827529516332,1.0,1.0,71.95222438594767,10.46818016088745,0.5256155250843063,182.2576826779407,0.056,52.18213856057174,0.732,0.6352,0.618,0.648,0.042151533169115775,0.018840677595458783,4.774711229212743,2.134176105056277
robustness,error_sigma,1.0,erasure,1.0,0.0001,single_best,0.6272,0.6176752766105179,0.6366270306151381,0.009475877002310118,0.05059333333333333,0.05059333333333333,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,69.2057340453717,8.966273986018454,0.20793961615885032,175.6169657569641,0.012,51.014233553275695,0.63,0.6272000000000001,0.597,0.65,0.09799999999999999,0.07263398765368365,10.813395944589328,8.014490485037694
robustness,error_sigma,1.0,erasure,1.0,0.0001,all_neighbor,0.7553,0.7467767891455867,0.7636271340832655,0.008425172468839448,0.050113333333333336,0.050113333333333336,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,157.1515759376322,21.256042130766485,0.5772164732236481,376.6191932769918,0.079,112.2550711463688,0.744,0.7552999999999999,0.742,0.768,0.002738308622209847,0.0011183204801684047,0.569746478728828,0.23268347128530964
robustness,error_sigma,2.0,erasure,2.0,0.0001,proposed_lagrangian,0.6365,0.6270215093834035,0.645873655210166,0.009426072913381267,0.04794063698515925,0.04791666666666667,16559.36,27.874140551817792,25.874,0.9995,1.0,430.98,0.3195214631023853,1.1105376463477943,0.2394601055739646,0.30199897996602193,0.7698258890962368,0.5424078091607007,0.5977669854416706,-4.816442472118579,1.0,1.0,55.98583364321805,7.248261431936532,0.30952127501098625,134.2146556312317,0.02,40.31496742661431,0.672,0.6365000000000001,0.616,0.654,0.03843747584447708,0.022834784764637024,3.3809177192366158,2.008522326962543
robustness,error_sigma,2.0,erasure,2.0,0.0001,sense_sinr,0.6157,0.6061232817678753,0.6251878577447695,0.009532287988447075,0.04804735701183925,0.048023333333333335,16559.36,37.393813250276935,25.874,0.9995,1.0,430.98,0.3195214631023853,0.8622860854665255,0.21734660887657076,0.25022673629196596,0.7223107942713498,0.5201829431190408,0.5548400128367662,-6.168762516155324,1.0,1.0,52.75241064186268,6.5612747393716155,0.30682796289300773,124.40429260664459,0.013,36.97961284934208,0.654,0.6157,0.6,0.637,0.03718138865270155,0.016465290551651354,3.1856551606984014,1.4107256269584114
robustness,error_sigma,2.0,erasure,2.0,0.0001,single_best,0.6058,0.5961830322687206,0.6153357106909839,0.009576339211131657,0.04678,0.04678,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,53.49979201301504,5.888529310095656,0.13141700532388703,130.1209192407806,0.006,38.47300920428166,0.565,0.6057999999999999,0.58,0.624,0.09465625,0.07015572340657135,8.359342502033599,6.195636531485933
robustness,error_sigma,2.0,erasure,2.0,0.0001,all_neighbor,0.7102,0.7012287005967268,0.7190098605576203,0.008890579980446733,0.04825666666666667,0.04825666666666667,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,109.07782010032712,12.722935658129519,0.3395200660668092,248.7436484480429,0.025,76.67122505693935,0.689,0.7102,0.701,0.718,0.002574800454777484,0.0010515440288833592,0.3954570836390578,0.16150398537047622
robustness,error_sigma,3.0,erasure,3.0,0.0001,proposed_lagrangian,0.6105,0.6009016244030568,0.6200135088393569,0.009555942218150038,0.04373165198825727,0.04369666666666667,17674.88,28.63651587004717,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,1.1395552621457885,0.24208671658984568,0.3070993558580414,0.7740660725089772,0.5444384347771881,0.6015396075757468,-4.68023002834258,1.0,1.0,42.49310816112856,5.196935284516016,0.1962497325156318,95.24415855632158,0.01,30.07934690875542,0.613,0.6105,0.592,0.625,0.0345405456783865,0.021318934285527467,2.4041525691336267,1.483878428296332
robustness,error_sigma,3.0,erasure,3.0,0.0001,sense_sinr,0.5855,0.5758133091427999,0.5951210247235019,0.009653857790350995,0.04519282092340539,0.045156666666666664,17674.88,40.26250124064411,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,0.8521409433331235,0.2163122335002957,0.24863815855811428,0.7207043786685927,0.5190247739100176,0.5534223305770684,-6.218523037717575,1.0,1.0,39.20081508766884,4.469711731580425,0.19114030619573744,86.02084087233145,0.004,26.717051870434577,0.575,0.5855,0.563,0.605,0.033126108918419814,0.014542067232746847,2.2178829552262216,0.9736308942499697
robustness,error_sigma,3.0,erasure,3.0,0.0001,single_best,0.5656,0.5558613536751225,0.5752882638877945,0.009713455106336033,0.042396666666666666,0.042396666666666666,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,40.9415184750418,3.8031592581349134,0.08429035622187087,93.44229799578099,0.003,28.70074585798675,0.51,0.5656,0.548,0.58,0.088375,0.06550029243769685,6.397112261725281,4.741303806503901
robustness,error_sigma,3.0,erasure,3.0,0.0001,all_neighbor,0.6631,0.6537749870881907,0.6722997480415619,0.009262380476685594,0.04607666666666667,0.04607666666666667,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.13090025301666,7.891735373903742,0.21598592165822705,169.8602983173712,0.01,53.891057271718104,0.625,0.6631,0.653,0.672,0.0024040413708292727,0.0009818063159005286,0.2832603175213201,0.11568302116634892
robustness,error_sigma,4.0,erasure,4.0,0.0001,proposed_lagrangian,0.5789,0.5691942955258714,0.588545107305137,0.009675405889632782,0.04190028033640369,0.04185,18633.6,29.446166073354025,29.115,0.9987999999999999,1.0,430.98,0.3195214631023853,1.153287528630012,0.242663661655384,0.3092289907326379,0.7760034565296502,0.5448509727889095,0.6025881125859642,-4.616527603986049,1.0,1.0,33.07731258602698,3.952009390406669,0.1302934813068461,69.95610634414746,0.006,23.022927018851934,0.551,0.5789,0.556,0.604,0.0310675339172248,0.019659605211689996,1.7751434283244774,1.1233147467696583
robustness,error_sigma,4.0,erasure,4.0,0.0001,sense_sinr,0.5471,0.5373273474422702,0.5568364785823243,0.009754565570027074,0.04407288746495795,0.04402,18633.6,42.62536401199205,29.115,0.9987999999999999,1.0,430.98,0.3195214631023853,0.8454964895471926,0.21569621091985539,0.2476532262765511,0.7199914737414171,0.5183402485616804,0.5524842928997487,-6.244651267798019,1.0,1.0,30.090490762010404,3.273425912850932,0.12671255166033102,60.94488214212476,0.004,20.027490989159404,0.498,0.5471,0.528,0.567,0.029360939378327327,0.012835081005902521,1.614851170037481,0.7059292385994608
robustness,error_sigma,4.0,erasure,4.0,0.0001,single_best,0.5231,0.5133034694672204,0.5328787891563068,0.009787659844543217,0.04004666666666667,0.04004666666666667,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,31.923484411519166,2.5689095752906868,0.05608650266721009,67.76959277817149,0.003,21.843570585722066,0.455,0.5231,0.507,0.537,0.081734375,0.06057850596562805,4.98804443929987,3.6969546757156335
robustness,error_sigma,4.0,erasure,4.0,0.0001,all_neighbor,0.6157,0.6061232817678753,0.6251878577447695,0.009532287988447075,0.04443,0.04443,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,58.455487027600476,5.318109450429084,0.14396751428585236,122.20611102837246,0.006,39.557275983826905,0.57,0.6157,0.589,0.629,0.0022321946494036848,0.0009116244136630305,0.2119279281651718,0.08655099738009284
