experiment,R_min_bps,R_min_mbps,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
comm_sweep,100000.0,0.1,proposed_lagrangian,0.6889,0.6797552175638137,0.6978997025220859,0.009072242479136072,0.042425151697006065,0.042416666666666665,16341.76,35.98354544384114,25.534,0.9997999999999999,1.0,732.25,0.539983018909127,1.0046240476012762,0.15328007496491516,0.22251716334085792,0.8334587491994959,0.5932364418836188,0.6780538416667357,-5.715870091874705,1.0,1.0,57.68437952338601,7.871885943483933,0.4110707876263905,139.04489851094306,0.038,41.68589485983367,0.696,0.6889000000000001,0.676,0.706,0.04215580206783112,0.019144861672264996,3.5298755778683577,1.6030765954792578
comm_sweep,100000.0,0.1,sense_sinr,0.6606,0.6512591932153219,0.6698174619768195,0.009279134380748788,0.04371540974861639,0.043706666666666665,16341.76,60.80879672974292,25.534,0.9997999999999999,1.0,732.25,0.539983018909127,0.6604438012304841,0.11324285732060273,0.14059923252450493,0.7594582741091469,0.5296381677089341,0.5801156720699279,-8.116702652359647,1.0,1.0,53.629864062889965,6.614529101801032,0.3873159445885476,127.90700173583454,0.015,37.62818145509631,0.655,0.6606,0.635,0.704,0.04042404245319965,0.010863559805926664,3.2817679407169096,0.8819425304736941
comm_sweep,100000.0,0.1,single_best,0.6363,0.6268204753075298,0.6456748428910309,0.00942718379175056,0.040143333333333336,0.040143333333333336,6400.0,10.267718734459848,10.0,1.0,1.0,732.25,0.539983018909127,1.2207863706487356,0.29334522064292656,0.3876798687243161,0.8770694716220252,0.7283126706811222,0.779047253506045,-4.2347183520972465,1.0,1.0,55.12305025255034,6.503275821192365,0.15643270564202624,135.39803117058094,0.006,39.784694689016355,0.576,0.6363000000000001,0.616,0.66,0.09942187499999999,0.06197092231057045,8.612976601960991,5.368578130948402
comm_sweep,100000.0,0.1,all_neighbor,0.7517,0.743136694099065,0.7600699940196273,0.008466649960281125,0.04627666666666667,0.04627666666666667,468640.0,2086.030946802153,732.25,1.0,1.0,732.25,0.539983018909127,0.5277788261360954,0.10216259446392287,0.1195818623832279,0.7260770856950479,0.5053779278266406,0.5449045953815271,-9.124287651422303,1.0,1.0,119.57826386230313,15.729947644573816,0.4777757112637047,277.54117236221487,0.047,84.71738656642704,0.717,0.7517,0.734,0.771,0.0016040030727210654,0.00036034939997047616,0.2551601738270381,0.057323341269512045
comm_sweep,200000.0,0.2,proposed_lagrangian,0.6105,0.6009016244030568,0.6200135088393569,0.009555942218150038,0.04373165198825727,0.04369666666666667,17674.88,28.63651587004717,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,1.1395552621457885,0.24208671658984568,0.3070993558580414,0.7740660725089772,0.5444384347771881,0.6015396075757468,-4.68023002834258,1.0,1.0,42.49310816112856,5.196935284516016,0.1962497325156318,95.24415855632158,0.01,30.07934690875542,0.613,0.6105,0.592,0.625,0.0345405456783865,0.021318934285527467,2.4041525691336267,1.483878428296332
comm_sweep,200000.0,0.2,sense_sinr,0.5855,0.5758133091427999,0.5951210247235019,0.009653857790350995,0.04519282092340539,0.045156666666666664,17674.88,40.26250124064411,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,0.8521409433331235,0.2163122335002957,0.24863815855811428,0.7207043786685927,0.5190247739100176,0.5534223305770684,-6.218523037717575,1.0,1.0,39.20081508766884,4.469711731580425,0.19114030619573744,86.02084087233145,0.004,26.717051870434577,0.575,0.5855,0.563,0.605,0.033126108918419814,0.014542067232746847,2.2178829552262216,0.9736308942499697
comm_sweep,200000.0,0.2,single_best,0.5656,0.5558613536751225,0.5752882638877945,0.009713455106336033,0.042396666666666666,0.042396666666666666,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,40.9415184750418,3.8031592581349134,0.08429035622187087,93.44229799578099,0.003,28.70074585798675,0.51,0.5656,0.548,0.58,0.088375,0.06550029243769685,6.397112261725281,4.741303806503901
comm_sweep,200000.0,0.2,all_neighbor,0.6631,0.6537749870881907,0.6722997480415619,0.009262380476685594,0.04607666666666667,0.04607666666666667,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.13090025301666,7.891735373903742,0.21598592165822705,169.8602983173712,0.01,53.891057271718104,0.625,0.6631,0.653,0.672,0.0024040413708292727,0.0009818063159005286,0.2832603175213201,0.11568302116634892
comm_sweep,500000.0,0.5,proposed_lagrangian,0.4526,0.44286419445683456,0.46237220992605765,0.009754007734611547,0.04591952868715271,0.045726666666666665,18030.72,16.113085938585826,28.173,0.9957999999999999,1.0,181.35,0.1355823944565185,1.5810449679178558,0.5609321629529438,0.6423564381508968,0.7168768431316813,0.5295184860100333,0.5642574415739918,-2.2027455178823256,1.0,1.0,24.152939779385388,1.9531363414908063,0.02819427563310885,47.32476981249165,0.001,16.34608812923794,0.414,0.4526,0.435,0.477,0.02510160437298122,0.028088970773510483,1.3395438329354228,1.4989642500166038
comm_sweep,500000.0,0.5,sense_sinr,0.4434,0.43368657281467166,0.45315689739781145,0.009735162291569899,0.04659235455580103,0.04639666666666667,18030.72,18.713764256318406,28.173,0.9957999999999999,1.0,181.35,0.1355823944565185,1.442964578776907,0.5416798786116606,0.6037078931193962,0.6984842547370121,0.5210380082523588,0.5494262685866071,-2.6914788431975922,1.0,1.0,22.725799609223778,1.8719008312641767,0.027438122381155727,42.904845749461906,0.001,15.49346126059727,0.398,0.4434,0.414,0.469,0.024591364071983812,0.023693789978694053,1.260393351414906,1.214389542261695
comm_sweep,500000.0,0.5,single_best,0.4222,0.41255105155508,0.4319087007864604,0.009678824615690196,0.045053333333333334,0.045053333333333334,6400.0,5.660984546458362,10.0,1.0,1.0,181.35,0.1355823944565185,1.712084225212901,0.6588617551973277,0.7641624061381962,0.7354532666497404,0.5666984581543828,0.6016886711070388,-1.7231241362643497,1.0,1.0,23.549836324671066,1.209780461711172,0.014243237589668672,46.23704904573509,0.001,15.757513538122062,0.358,0.4222,0.406,0.446,0.06596874999999999,0.07458066640795509,3.679661925729854,4.160024838683647
comm_sweep,500000.0,0.5,all_neighbor,0.4806,0.4708167068669084,0.4903981928172289,0.00979074297516025,0.04705,0.04705,116064.0,124.74822948428977,181.35,1.0,1.0,181.35,0.1355823944565185,1.4270242054235076,0.5299683285694553,0.5878114154296266,0.6952763729854748,0.5154793784020036,0.5428516094285116,-2.763008472067639,1.0,1.0,38.098718750732736,1.9780517103141162,0.0309168194300216,71.84877161128381,0.001,24.949905517084385,0.422,0.4806,0.45,0.501,0.004140818858560795,0.0038525596875146405,0.3282561237828503,0.30540488557018536
comm_sweep,1000000.0,1.0,proposed_lagrangian,0.2923,0.2834666535715377,0.30129286521172643,0.008913105820094358,0.04784431967838081,0.046016666666666664,14000.0,7.4729003303644035,21.875,0.9618,1.0,83.895,0.06309942860235009,2.2670895583988098,1.1481611539658154,1.2603389853765985,0.687313113395277,0.5386601845744042,0.5639928401531789,0.40067493848519026,1.0,1.0,13.178741101038133,0.2532218571066651,0.0012852506928064326,21.089537562502002,0.0,8.327639927245068,0.247,0.2923,0.273,0.305,0.02087857142857143,0.03911466593663862,0.9413386500741524,1.7635376518390542
comm_sweep,1000000.0,1.0,sense_sinr,0.2926,0.2837638571743848,0.30159543120139276,0.008915787013503984,0.04741456990365287,0.045603333333333336,14000.0,7.954176483196367,21.875,0.9618,1.0,83.895,0.06309942860235009,2.224779253252508,1.136314630337365,1.2423457779094256,0.6829429564128188,0.5358422913197287,0.560351041359661,0.2887946968044019,1.0,1.0,12.675846086025784,0.2532218571066651,0.0012155742495933233,20.54724942005911,0.0,8.039887918769663,0.245,0.29259999999999997,0.271,0.31,0.020900000000000002,0.036785706303868605,0.9054175775732702,1.593608856027296
comm_sweep,1000000.0,1.0,single_best,0.2807,0.2719784149844418,0.2895900128883065,0.008805798951932342,0.04736666666666667,0.04736666666666667,6400.0,3.5216149685173543,10.0,1.0,1.0,83.895,0.06309942860235009,2.3473752022226733,1.234043704671264,1.362925391409939,0.6963674706478048,0.5572479489002035,0.5830877834647904,0.6207003029707063,1.0,1.0,12.949450133439012,0.19331710321498613,0.0009533561323463892,20.855136662436102,0.0,8.151108038521905,0.219,0.2807,0.266,0.311,0.043859375,0.0797077484362745,2.023351583349845,3.6771339993738437
comm_sweep,1000000.0,1.0,all_neighbor,0.3071,0.2981342007338374,0.31621395128008484,0.00903987527312372,0.04783333333333333,0.04783333333333333,53692.8,31.483652169776764,83.895,1.0,1.0,83.895,0.06309942860235009,2.2149396343616825,1.1253246599399838,1.2291334834684509,0.6817552437878548,0.53304028397989,0.5575665122582765,0.2608448748315798,1.0,1.0,18.989934618696594,0.25393311545700903,0.0016178156524530268,27.737825000661633,0.0,11.279047144838867,0.247,0.30710000000000004,0.292,0.33,0.00571957506406818,0.009754268607210874,0.3536774878325696,0.6031680986784083
comm_sweep,2000000.0,2.0,proposed_lagrangian,0.1392,0.1325537995368631,0.14612330386709318,0.006784752165115038,0.04882084265473527,0.034916666666666665,7547.52,2.3363188114292086,11.793,0.7152000000000001,0.9258,32.397,0.024469839859212802,3.2047221886384967,2.406790928725551,2.5384368081192905,0.6130608254838673,0.534880192104855,0.5500905415383536,3.383438711116623,0.924,0.924,5.524740613057578,0.0037698424404669735,0.0,3.7740683043771694,0.0,3.1429739867414055,0.089,0.1392,0.126,0.156,0.018443144238107348,0.0595809096425699,0.7319941667007941,2.3647203395489926
comm_sweep,2000000.0,2.0,sense_sinr,0.1421,0.1353939795164642,0.14908089661512108,0.0068434585493284406,0.0485365398956003,0.03471333333333333,7547.52,2.381765620004927,11.793,0.7152000000000001,0.9258,32.397,0.024469839859212802,3.1903972345847404,2.389763675413946,2.522531219632332,0.6120746554178609,0.5336485299279148,0.5489147698383008,3.3550970388807557,0.924,0.924,5.342545254070227,0.0037489397473602446,0.0,3.718802571604727,0.0,3.0758425349915726,0.089,0.1421,0.126,0.163,0.018827376409734586,0.05966162195241782,0.7078544017200653,2.243102851597621
comm_sweep,2000000.0,2.0,single_best,0.1483,0.14146930190168822,0.15540081247517273,0.006965755286742259,0.04853100021602938,0.04493,5925.12,1.950462109283977,9.258,0.9258,0.9258,32.397,0.024469839859212802,3.2232672347126874,2.4413785692330574,2.577280740155766,0.6156361598661155,0.5408048126756506,0.5557495056548528,3.416707574710207,0.926,0.926,5.4796296557942785,0.0031126975061684845,8.35989121915753e-07,3.4521724684447195,0.0,3.0908415653040016,0.085,0.14830000000000002,0.127,0.168,0.025029028947936918,0.07603326375534747,0.9248132790212314,2.8094007208403933
comm_sweep,2000000.0,2.0,all_neighbor,0.1562,0.14921648599568402,0.16344756098402827,0.007115537494172125,0.04904587023835241,0.045406666666666665,20734.08,6.794314946723908,32.397,0.9258,0.9258,32.397,0.024469839859212802,3.1891415112033865,2.381938283557988,2.5116832643765803,0.6126123369966198,0.5331409708989799,0.5482166957506017,3.344511078697221,0.926,0.926,7.574722526453313,0.003943349086269318,9.68839676743657e-07,3.9900089107470396,0.0,3.876970955584909,0.09,0.15619999999999998,0.138,0.18,0.00753349075531685,0.022989808571549475,0.3653271583042659,1.114861849332684
