seed,arm,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,0.74,0.8380000000000001,0.04753333333333333,15.0,24.28,0.7400;0.8600;0.8400;0.8200;0.8000;0.9000;0.8200;0.8600;0.8600;0.8800
20260917,mask_only,0.8,0.8720000000000001,0.0474,10.24,24.28,0.8000;0.8800;0.9000;0.9000;0.8800;0.9200;0.8400;0.8600;0.8800;0.8600
20260917,sparse,0.86,0.93,0.050666666666666665,3.56,17.7,0.9400;0.9600;0.9600;0.9200;0.9400;0.9600;0.8600;0.9400;0.9200;0.9000
101,uncoordinated,0.78,0.8360000000000001,0.0492,15.0,23.9,0.8800;0.8800;0.8400;0.8200;0.9200;0.7800;0.7800;0.8200;0.8200;0.8200
101,mask_only,0.8,0.8879999999999999,0.049,9.92,23.9,0.9200;0.9400;0.9000;0.8800;0.9600;0.8000;0.8800;0.8400;0.8800;0.8800
101,sparse,0.86,0.938,0.048266666666666666,3.38,16.66,0.9200;0.9600;0.9800;0.9400;0.9800;0.9400;0.8600;0.9400;0.9200;0.9400
202,uncoordinated,0.76,0.8300000000000001,0.04686666666666667,15.0,23.84,0.7600;0.8400;0.8800;0.8200;0.7800;0.8600;0.9200;0.8000;0.8200;0.8200
202,mask_only,0.8,0.876,0.04733333333333333,10.08,23.84,0.8000;0.9000;0.9000;0.8800;0.8600;0.8800;0.9200;0.9200;0.8400;0.8600
202,sparse,0.84,0.9199999999999999,0.048933333333333336,3.48,18.32,0.9000;0.8400;0.9400;0.9600;0.9400;0.8600;0.9600;0.9400;0.9200;0.9400
303,uncoordinated,0.74,0.8460000000000001,0.0468,15.0,24.04,0.8200;0.9000;0.7600;0.8200;0.9000;0.8800;0.8800;0.7400;0.9000;0.8600
303,mask_only,0.82,0.8780000000000001,0.046733333333333335,9.8,24.04,0.8600;0.9200;0.8200;0.8600;0.9200;0.8800;0.8800;0.8400;0.9200;0.8800
303,sparse,0.92,0.9479999999999998,0.04873333333333333,3.12,15.92,1.0000;0.9600;0.9600;0.9200;0.9600;0.9200;0.9600;0.9200;0.9400;0.9400
