kappa_db,arm,seed,worst_pd,mean_pd,n_tx,n_links,pfa_active
50.0,uncoordinated,20260917,0.950000,0.963000,15.0000,13.7200,0.049300
50.0,uncoordinated,101,0.945000,0.965500,15.0000,13.1900,0.048433
50.0,uncoordinated,202,0.940000,0.955000,15.0000,13.6250,0.049083
50.0,uncoordinated,303,0.940000,0.962000,15.0000,13.6750,0.049350
50.0,mask_only,20260917,0.975000,0.983500,5.6750,13.7200,0.049200
50.0,mask_only,101,0.975000,0.983500,5.3250,13.1900,0.048467
50.0,mask_only,202,0.955000,0.973000,5.6650,13.6250,0.049083
50.0,mask_only,303,0.960000,0.976000,5.6950,13.6750,0.049317
50.0,sparse,20260917,0.950000,0.973500,2.4050,12.5950,0.049333
50.0,sparse,101,0.955000,0.971500,2.2600,12.2250,0.048033
50.0,sparse,202,0.950000,0.970000,2.3900,12.5700,0.048483
50.0,sparse,303,0.955000,0.968500,2.3850,12.6200,0.049567
