seed,arm,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,0.955,0.977,0.04928333333333333,15.0,14.125,0.9650;0.9800;0.9800;0.9850;0.9550;0.9950;0.9800;0.9750;0.9800;0.9750
20260917,mask_only,0.985,0.994,0.04933333333333333,5.96,14.125,0.9850;1.0000;0.9950;1.0000;0.9850;0.9950;1.0000;0.9900;1.0000;0.9900
20260917,sparse,0.985,0.9964999999999999,0.050083333333333334,1.39,10.375,0.9850;1.0000;0.9950;1.0000;0.9950;0.9950;1.0000;1.0000;1.0000;0.9950
101,uncoordinated,0.96,0.9789999999999999,0.048683333333333335,15.0,13.46,0.9800;0.9900;0.9850;0.9800;0.9800;0.9800;0.9700;0.9800;0.9850;0.9600
101,mask_only,0.99,0.9944999999999998,0.048666666666666664,5.49,13.46,1.0000;0.9950;0.9950;0.9950;0.9900;1.0000;0.9950;0.9900;0.9900;0.9950
101,sparse,0.99,0.9974999999999999,0.048633333333333334,1.355,10.365,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9900;0.9950;0.9900
202,uncoordinated,0.955,0.974,0.04986666666666666,15.0,14.025,0.9600;0.9750;0.9850;0.9850;0.9750;0.9700;0.9750;0.9750;0.9850;0.9550
202,mask_only,0.975,0.9884999999999999,0.04978333333333333,6.03,14.025,0.9800;1.0000;0.9900;0.9950;0.9850;0.9950;0.9850;0.9900;0.9900;0.9750
202,sparse,0.985,0.9969999999999999,0.04951666666666667,1.395,10.5,0.9950;1.0000;1.0000;1.0000;0.9950;1.0000;1.0000;1.0000;0.9950;0.9850
303,uncoordinated,0.955,0.976,0.050866666666666664,15.0,13.925,0.9800;0.9550;0.9550;0.9750;0.9950;0.9850;0.9800;0.9750;0.9850;0.9750
303,mask_only,0.98,0.9934999999999998,0.05078333333333333,5.895,13.925,0.9950;0.9800;0.9900;0.9950;1.0000;0.9900;0.9950;1.0000;0.9950;0.9950
303,sparse,0.99,0.9959999999999999,0.05045,1.41,10.475,0.9950;0.9900;1.0000;1.0000;0.9950;0.9900;1.0000;1.0000;0.9950;0.9950
