experiment,robustness_type,condition_value,comm_error_model,soft_error_sigma_scale,residual_direct_factor,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
robustness,error_sigma,1.0,erasure,1.0,0.0001,proposed_lagrangian,0.9488,0.9443051008715718,0.9529502095283847,0.004322554328406447,0.05021,0.05021,8079.36,4.873047128789482,12.624,1.0,1.0,446.84,0.523503385191479,3.1885312897525755,1.3107362763192407,1.5571577089744433,0.9256332178595316,0.8234918485455849,0.8545248365909267,2.270740161809874,1.0,1.0,26.755152032343858,17.02915667432898,6.093608442548959,54.947363825241425,0.927,25.904566254565637,0.988,0.9488,0.938,0.965,0.11743504435994931,0.19470363715437577,3.3115434925964258,5.490435722297258
robustness,error_sigma,1.0,erasure,1.0,0.0001,sense_sinr,0.8516,0.8444972883420685,0.8584326740835662,0.006967692870748832,0.049196666666666666,0.049196666666666666,8079.36,11.866431922358956,12.624,1.0,1.0,446.84,0.5012669098090814,1.4138123069125794,0.3701462695561213,0.4639575515064556,0.8170780957508207,0.640202019258437,0.6870443186321129,-3.361335450230581,1.0,1.0,12.673024975708058,5.79016938535786,2.0427059143898267,25.522702319534567,0.109,11.58937312808945,0.764,0.8516,0.838,0.875,0.10540438846641319,0.07176546459558743,1.5685679281165907,1.0679726693437903
robustness,error_sigma,1.0,erasure,1.0,0.0001,single_best,0.9383,0.9334136362745461,0.9428497383874438,0.0047180510564488465,0.05059333333333333,0.05059333333333333,6400.0,2.4307413816390078,10.0,1.0,1.0,446.84,0.5497485373943503,3.621473664922526,1.5618311257018453,1.909245641504432,0.9496757107866495,0.8808448803998262,0.9050069464479311,3.5919235078551095,1.0,1.0,27.76304669947047,17.42134803512302,5.166654353770645,58.53835475744255,0.73,26.72865494746022,0.957,0.9383000000000001,0.925,0.946,0.146609375,0.38601391620169817,4.33797604679226,11.421637410373256
robustness,error_sigma,1.0,erasure,1.0,0.0001,all_neighbor,0.9907,0.988621165509827,0.9924019646444929,0.0018903995673329455,0.04976,0.04976,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,50.40471230390066,45.294675305711266,15.231608196674584,87.32292805948212,0.936,49.07545208529396,0.988,0.9907,0.985,0.995,0.0034642573404350552,0.0014390245230403288,0.17625405732442212,0.07321451204411591
robustness,error_sigma,2.0,erasure,2.0,0.0001,proposed_lagrangian,0.9508,0.9463849741641155,0.95486880018593,0.004241913010907261,0.047676666666666666,0.047676666666666666,8725.76,5.809486347658016,13.634,1.0,1.0,446.84,0.5155645242611666,3.0742761443173783,1.2184493116616903,1.4715798145698864,0.9187681362374678,0.8055786154212208,0.8422262995295049,1.9092624563123322,1.0,1.0,26.107367845323346,16.56515593031464,6.0398336296228825,53.15537025390205,0.878,25.445897624824234,0.98,0.9508000000000001,0.942,0.962,0.10896472055156226,0.1636633504411792,2.99198784350284,4.493920164877921
robustness,error_sigma,2.0,erasure,2.0,0.0001,sense_sinr,0.8631,0.8562230775396352,0.8696980525990107,0.006737487529687725,0.04558333333333333,0.04558333333333333,8725.76,13.469312029588078,13.634,1.0,1.0,446.84,0.49459893869268046,1.379894742713439,0.3620025069801953,0.452368691321814,0.8123010414065593,0.634579402715899,0.6808384318625383,-3.5173992609821347,1.0,1.0,12.483151952031283,5.7943448745660735,1.988778137988502,25.133766416986255,0.098,11.412170205111181,0.758,0.8631,0.846,0.882,0.09891402009681677,0.06407899661868592,1.430609133420044,0.9267846735311727
robustness,error_sigma,2.0,erasure,2.0,0.0001,single_best,0.941,0.9362101886148537,0.945451112379756,0.004620461882451132,0.04793666666666667,0.04793666666666667,6400.0,2.475812904954182,10.0,1.0,1.0,446.84,0.5496998108296247,3.602835602005344,1.5338106372076439,1.887576133363123,0.9485582797547129,0.8775071214574502,0.9026237456041728,3.530629848788898,1.0,1.0,27.40136959577375,17.077553317126984,4.873258459311618,58.10492134130148,0.685,26.422216446594547,0.95,0.9410000000000001,0.931,0.95,0.14703124999999997,0.38007718520128414,4.281463999339648,11.067625320533194
robustness,error_sigma,2.0,erasure,2.0,0.0001,all_neighbor,0.9839,0.9812407998354532,0.9861875528885643,0.0024733765265555485,0.049576666666666665,0.049576666666666665,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,45.900302376940466,40.26145008598145,12.369051367160562,82.01453042876072,0.881,44.537593493600184,0.981,0.9838999999999999,0.976,0.99,0.0034404792543192195,0.0014291472980916316,0.16050313862673324,0.06667170761621442
robustness,error_sigma,3.0,erasure,3.0,0.0001,proposed_lagrangian,0.9481,0.94357758173567,0.9522782662817557,0.004350342273042873,0.04235,0.04235,9535.36,6.940672989058459,14.899,1.0,1.0,446.84,0.5042112879979547,2.9125515592399513,1.1167332656950306,1.3468546897307014,0.9103376927297658,0.787201375051539,0.8256837607047012,1.4250061956271511,1.0,1.0,25.10187907102537,15.845713434282164,5.819990062774671,50.84701232915413,0.826,24.33276668752656,0.973,0.9480999999999999,0.935,0.955,0.0994299114034499,0.13660058635446748,2.632504600877719,3.616634742855185
robustness,error_sigma,3.0,erasure,3.0,0.0001,sense_sinr,0.8705,0.8637766996532072,0.8769387471007677,0.006581023723780222,0.04183,0.04183,9535.36,15.429049646243858,14.899,1.0,1.0,446.84,0.48631207726751563,1.3390495938254323,0.351544166506185,0.437682546116541,0.8064790497680105,0.6266919093904104,0.6729960318826489,-3.7063363724812715,1.0,1.0,12.243545990802897,5.821778121417259,1.944072327125203,24.623648813619074,0.102,11.193567537534804,0.756,0.8705,0.858,0.892,0.09129178132760588,0.05641954753913958,1.2840150755506763,0.7935385698744926
