method,trial,target,fusion,robust_information,mean_scenario_information,objective,energy,observations,remote_reports,explored_nodes,exact,upper_bound,certificate_gap,scenario_information,bundle
fixed_nominal,0,0,3,0.0006706254431456046,0.0033631251323088824,0.0006706254431456046,64.0,4,3,9,True,0.0006706254431456046,0.0,"[0.0017482040391888776,0.0006706254431456046,0.004781622184631337,0.00625204886226971]","[{""tx"":3,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":11,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,0,0,3,0.0010140669404615863,0.005056802673963273,0.0010140669404615863,64.0,4,3,309,True,0.0010140669404615863,0.0,"[0.0013394700420782737,0.0010140669404615863,0.008491319279146488,0.009382354434166747]","[{""tx"":3,""rx"":8,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":8,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":10,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":10,""rx"":8,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
fixed_nominal,0,1,3,4.5136106439900905,4.886143684461565,4.5136106439900905,64.0,4,3,13,True,4.5136106439900905,0.0,"[4.790875549127795,4.887174273151368,5.352914271577008,4.5136106439900905]","[{""tx"":0,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":5,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,0,1,3,5.000123042976954,6.020000987210494,5.000123042976954,64.0,4,3,342,True,5.000123042976954,0.0,"[6.83878807618602,5.000123042976954,5.7721435702543795,6.468949259424624]","[{""tx"":0,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":3,""rx"":0,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":5,""rx"":8,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
fixed_nominal,0,2,6,77.2837969643189,94.47603093772939,77.2837969643189,64.0,4,3,19,True,77.2837969643189,0.0,"[104.90817751116892,107.98505171232813,77.2837969643189,87.72709756310161]","[{""tx"":12,""rx"":6,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":12,""rx"":13,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":6,""rx"":12,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":13,""rx"":12,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,0,2,6,89.89513349145827,115.28628938477233,89.89513349145827,64.0,4,3,341,True,89.89513349145827,0.0,"[117.38296607390127,89.89513349145827,106.40278925384594,147.46426871988388]","[{""tx"":12,""rx"":6,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":12,""rx"":13,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":9,""rx"":12,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":6,""rx"":12,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
fixed_nominal,0,3,7,859.368611005832,1390.2031988965678,859.368611005832,64.0,4,2,9,True,859.368611005832,0.0,"[1734.6169703501248,1912.8616683267323,1053.9655459035812,859.368611005832]","[{""tx"":7,""rx"":11,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":11,""rx"":7,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":7,""rx"":4,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":4,""rx"":7,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,0,3,7,1048.6536528554243,1856.0236960250293,1048.6536528554243,64.0,4,2,168,True,1048.6536528554243,0.0,"[2670.5397669099325,2568.0841736437496,1048.6536528554243,1136.817190691011]","[{""tx"":7,""rx"":11,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":11,""rx"":7,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":7,""rx"":4,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":4,""rx"":7,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
fixed_nominal,0,4,3,0.008324601988620811,0.0336052140806033,0.008324601988620811,64.0,4,2,11,True,0.008324601988620811,0.0,"[0.009574338396233284,0.008324601988620811,0.05735312648540758,0.05916878945215154]","[{""tx"":3,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":10,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":5,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,0,4,3,0.012175808474576437,0.04670659745261177,0.012175808474576437,64.0,4,3,258,True,0.012175808474576437,0.0,"[0.012175808474576437,0.012436508350726842,0.08221539634417577,0.07999867664096802]","[{""tx"":3,""rx"":10,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":10,""rx"":3,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":8,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":10,""rx"":8,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
