method,experiment_seed,trial,target,fusion,robust_information,mean_scenario_information,objective,energy,observations,remote_reports,explored_nodes,exact,upper_bound,certificate_gap,worst_pd,worst_pfa,mean_pfa,mean_pd,scenario_pd,scenario_pfa,scenario_information,bundle
fixed_nominal,20250915,0,0,3,0.0007513642455762651,0.0031251155432734552,0.0007513642455762651,64.0,4,3,13,True,0.0007513642455762651,0.0,0.048583984375,0.052001953125,0.04437255859375,0.0560302734375,"[0.048583984375,0.049560546875,0.064697265625,0.061279296875]","[0.04541015625,0.03515625,0.052001953125,0.044921875]","[0.0007513642455762651,0.0007531687157832437,0.005481086504524502,0.0055148427072098105]","[{""tx"":3,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
power_only,20250915,0,0,3,0.0009746149605505475,0.004033435774368611,0.0009746149605505475,60.0,3,2,155,True,0.0009746149605505475,0.0,0.046630859375,0.0546875,0.0474853515625,0.0589599609375,"[0.055908203125,0.046630859375,0.055419921875,0.077880859375]","[0.04443359375,0.04736328125,0.04345703125,0.0546875]","[0.0009746149605505475,0.0009884084046456049,0.007074533287627693,0.0070961864446505984]","[{""tx"":3,""rx"":8,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true},{""tx"":8,""rx"":3,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true},{""tx"":3,""rx"":10,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true}]"
looks_only,20250915,0,0,3,0.0008941743440170624,0.0038939076951781375,0.0008941743440170624,64.0,3,2,493,True,0.0008941743440170624,0.0,0.0556640625,0.050048828125,0.04705810546875,0.062255859375,"[0.0556640625,0.055908203125,0.074951171875,0.0625]","[0.0498046875,0.044677734375,0.050048828125,0.043701171875]","[0.000971021054532388,0.0008941743440170624,0.006730536585706992,0.006979898796456108]","[{""tx"":3,""rx"":8,""mode"":""looks_32"",""power_scale"":1.0,""looks"":32,""refined"":true},{""tx"":8,""rx"":3,""mode"":""looks_16"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":10,""mode"":""looks_16"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
refinement_only,20250915,0,0,3,0.0007513642455762651,0.0031251155432734552,0.0007513642455762651,64.0,4,3,19,True,0.0007513642455762651,0.0,0.048583984375,0.052001953125,0.04437255859375,0.0560302734375,"[0.048583984375,0.049560546875,0.064697265625,0.061279296875]","[0.04541015625,0.03515625,0.052001953125,0.044921875]","[0.0007513642455762651,0.0007531687157832437,0.005481086504524502,0.0055148427072098105]","[{""tx"":3,""rx"":8,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":3,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":8,""rx"":10,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":10,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,20250915,0,0,3,0.0010466842463483974,0.0046428005729826334,0.0010466842463483974,64.0,4,3,550,True,0.0010466842463483974,0.0,0.052734375,0.067138671875,0.05096435546875,0.0595703125,"[0.068603515625,0.0537109375,0.063232421875,0.052734375]","[0.067138671875,0.04541015625,0.045654296875,0.045654296875]","[0.0011696645235122257,0.0010466842463483974,0.007990529677850036,0.008364323844219874]","[{""tx"":3,""rx"":8,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":8,""rx"":3,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":8,""rx"":10,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":3,""rx"":10,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
fixed_nominal,20250915,0,1,3,4.5136106439900905,4.886143684461565,4.5136106439900905,64.0,4,3,13,True,4.5136106439900905,0.0,0.87939453125,0.060791015625,0.0518798828125,0.893798828125,"[0.898681640625,0.88525390625,0.911865234375,0.87939453125]","[0.05810546875,0.03857421875,0.060791015625,0.050048828125]","[4.790875549127795,4.887174273151368,5.352914271577008,4.5136106439900905]","[{""tx"":0,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":5,""rx"":8,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
power_only,20250915,0,1,3,6.053533954860712,6.54534136901562,6.053533954860712,60.0,3,2,54,True,6.053533954860712,0.0,0.931640625,0.054443359375,0.0518798828125,0.94647216796875,"[0.947021484375,0.931640625,0.95361328125,0.95361328125]","[0.054443359375,0.047607421875,0.05126953125,0.05419921875]","[6.057595350025004,6.053533954860712,7.545599180425063,6.524636990751702]","[{""tx"":0,""rx"":3,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true},{""tx"":3,""rx"":8,""mode"":""power_1.25"",""power_scale"":1.25,""looks"":16,""refined"":true}]"
looks_only,20250915,0,1,3,5.29246013200507,5.788639363090445,5.29246013200507,64.0,4,3,231,True,5.29246013200507,0.0,0.916259765625,0.054931640625,0.04876708984375,0.9283447265625,"[0.932373046875,0.916259765625,0.948486328125,0.916259765625]","[0.051025390625,0.045654296875,0.054931640625,0.04345703125]","[5.620702213571123,5.29246013200507,6.517343884443179,5.724051222342407]","[{""tx"":0,""rx"":3,""mode"":""looks_16"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""looks_32"",""power_scale"":1.0,""looks"":32,""refined"":true},{""tx"":3,""rx"":8,""mode"":""looks_8"",""power_scale"":1.0,""looks"":8,""refined"":true},{""tx"":3,""rx"":0,""mode"":""looks_8"",""power_scale"":1.0,""looks"":8,""refined"":true}]"
refinement_only,20250915,0,1,3,4.5136106439900905,4.886143684461565,4.5136106439900905,64.0,4,3,28,True,4.5136106439900905,0.0,0.87939453125,0.060791015625,0.0518798828125,0.893798828125,"[0.898681640625,0.88525390625,0.911865234375,0.87939453125]","[0.05810546875,0.03857421875,0.060791015625,0.050048828125]","[4.790875549127795,4.887174273151368,5.352914271577008,4.5136106439900905]","[{""tx"":0,""rx"":3,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":3,""rx"":8,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":5,""rx"":8,""mode"":""refined"",""power_scale"":1.0,""looks"":16,""refined"":true}]"
active_modes,20250915,0,1,3,5.000123042976954,6.020000987210494,5.000123042976954,64.0,4,3,342,True,5.000123042976954,0.0,0.904052734375,0.0546875,0.04913330078125,0.9351806640625,"[0.960693359375,0.904052734375,0.924560546875,0.951416015625]","[0.047119140625,0.0458984375,0.0546875,0.048828125]","[6.83878807618602,5.000123042976954,5.7721435702543795,6.468949259424624]","[{""tx"":0,""rx"":3,""mode"":""nominal"",""power_scale"":1.0,""looks"":16,""refined"":true},{""tx"":0,""rx"":8,""mode"":""intensive"",""power_scale"":1.25,""looks"":32,""refined"":true},{""tx"":3,""rx"":0,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false},{""tx"":5,""rx"":8,""mode"":""eco"",""power_scale"":0.5,""looks"":8,""refined"":false}]"
