method,experiment_seed,trial,candidate_columns,exact_over_columns,power_externality_model,worst_detection_deficit,total_detection_deficit,total_energy,remote_reports,cpu_cycles,worst_pd,mean_pd,max_pfa,mean_pfa,design_worst_pd,design_mean_pd,heldout_worst_pd,heldout_mean_pd,heldout_scenario_pfa_mean,heldout_max_pfa,columns
fixed_nominal_global,20250915,0,48,True,full_load_envelope,0.7543212890625,1.35941162109375,96.0,4.0,222.0,0.1956787109375,0.270294189453125,0.05499267578125,0.05007171630859375,0.1956787109375,0.270294189453125,0.197418212890625,0.267608642578125,0.05168914794921875,0.054443359375,"[{""target"":0,""fusion"":1,""robust_pd"":0.34490966796875,""robust_information"":0.6998096940969657,""bundle"":[[2,1,""nominal""],[1,2,""nominal""],[0,1,""nominal""]]},{""target"":1,""fusion"":2,""robust_pd"":0.1956787109375,""robust_information"":0.2761909064421384,""bundle"":[[2,0,""nominal""],[1,0,""nominal""],[0,1,""nominal""]]}]"
active_modes_global,20250915,0,234,True,full_load_envelope,0.72880859375,1.20718994140625,88.0,4.0,136.0,0.22119140625,0.346405029296875,0.0535888671875,0.04949951171875,0.22119140625,0.346405029296875,0.225311279296875,0.343841552734375,0.052783966064453125,0.05865478515625,"[{""target"":0,""fusion"":0,""robust_pd"":0.47161865234375,""robust_information"":1.1834737218633002,""bundle"":[[2,1,""intensive""],[1,2,""eco""],[0,1,""eco""]]},{""target"":1,""fusion"":2,""robust_pd"":0.22119140625,""robust_information"":0.32097388815738626,""bundle"":[[2,0,""intensive""]]}]"
fixed_nominal_global,20250915,1,48,True,full_load_envelope,0.586474609375,0.6307739257812499,96.0,3.0,222.0,0.363525390625,0.634613037109375,0.05340576171875,0.04860687255859375,0.363525390625,0.634613037109375,0.331085205078125,0.6221771240234375,0.048065185546875,0.060791015625,"[{""target"":0,""fusion"":0,""robust_pd"":0.90570068359375,""robust_information"":5.435884866984718,""bundle"":[[1,2,""nominal""],[1,0,""nominal""],[2,0,""nominal""]]},{""target"":1,""fusion"":2,""robust_pd"":0.363525390625,""robust_information"":0.7687022947630018,""bundle"":[[2,0,""nominal""],[1,2,""nominal""],[1,0,""nominal""]]}]"
active_modes_global,20250915,1,234,True,full_load_envelope,0.586474609375,0.6307739257812499,96.0,3.0,222.0,0.363525390625,0.634613037109375,0.05340576171875,0.04860687255859375,0.363525390625,0.634613037109375,0.331085205078125,0.6221771240234375,0.048065185546875,0.060791015625,"[{""target"":0,""fusion"":0,""robust_pd"":0.90570068359375,""robust_information"":5.435884866984718,""bundle"":[[1,2,""nominal""],[1,0,""nominal""],[2,0,""nominal""]]},{""target"":1,""fusion"":2,""robust_pd"":0.363525390625,""robust_information"":0.7687022947630018,""bundle"":[[2,0,""nominal""],[1,2,""nominal""],[1,0,""nominal""]]}]"
fixed_nominal_global,20250915,2,48,True,full_load_envelope,0.889697265625,1.63822021484375,96.0,4.0,222.0,0.060302734375,0.130889892578125,0.0543212890625,0.05057525634765625,0.060302734375,0.130889892578125,0.0589599609375,0.1220703125,0.0501708984375,0.052703857421875,"[{""target"":0,""fusion"":2,""robust_pd"":0.20147705078125,""robust_information"":0.247338632657101,""bundle"":[[2,0,""nominal""],[0,2,""nominal""],[2,1,""nominal""]]},{""target"":1,""fusion"":0,""robust_pd"":0.060302734375,""robust_information"":0.0013970929351211636,""bundle"":[[2,0,""nominal""],[0,2,""nominal""],[0,1,""nominal""]]}]"
active_modes_global,20250915,2,234,True,full_load_envelope,0.88524169921875,1.60001220703125,92.0,3.0,147.0,0.06475830078125,0.149993896484375,0.05712890625,0.0504913330078125,0.06475830078125,0.149993896484375,0.05841064453125,0.13531494140625,0.04912567138671875,0.05450439453125,"[{""target"":0,""fusion"":1,""robust_pd"":0.2352294921875,""robust_information"":0.3401648939777201,""bundle"":[[2,0,""intensive""],[0,2,""eco""],[2,1,""eco""]]},{""target"":1,""fusion"":1,""robust_pd"":0.06475830078125,""robust_information"":0.0026556090250188288,""bundle"":[[2,0,""intensive""],[0,1,""eco""]]}]"
fixed_nominal_global,20355644,0,48,True,full_load_envelope,0.892626953125,1.76578369140625,96.0,3.0,222.0,0.057373046875,0.067108154296875,0.05902099609375,0.04925537109375,0.057373046875,0.067108154296875,0.05859375,0.0616607666015625,0.0494384765625,0.0537109375,"[{""target"":0,""fusion"":1,""robust_pd"":0.057373046875,""robust_information"":0.0006537007979058873,""bundle"":[[2,1,""nominal""],[0,1,""nominal""],[0,2,""nominal""]]},{""target"":1,""fusion"":0,""robust_pd"":0.07684326171875,""robust_information"":0.006536007146005635,""bundle"":[[0,2,""nominal""],[2,0,""nominal""],[1,2,""nominal""]]}]"
active_modes_global,20355644,0,234,True,full_load_envelope,0.8881103515625,1.7587646484375,96.0,3.0,190.0,0.0618896484375,0.07061767578125,0.05426025390625,0.04935455322265625,0.0618896484375,0.07061767578125,0.056976318359375,0.063568115234375,0.05167388916015625,0.0609130859375,"[{""target"":0,""fusion"":1,""robust_pd"":0.0618896484375,""robust_information"":0.0010923733077003433,""bundle"":[[2,1,""intensive""],[0,1,""eco""],[0,2,""eco""]]},{""target"":1,""fusion"":1,""robust_pd"":0.079345703125,""robust_information"":0.02397075503394261,""bundle"":[[0,2,""nominal""],[2,1,""nominal""],[2,0,""nominal""]]}]"
fixed_nominal_global,20355644,1,48,True,full_load_envelope,0.87413330078125,1.7421630859375,80.0,1.0,185.0,0.07586669921875,0.07891845703125,0.05474853515625,0.0518646240234375,0.07586669921875,0.07891845703125,0.073089599609375,0.075042724609375,0.04959869384765625,0.055816650390625,"[{""target"":0,""fusion"":0,""robust_pd"":0.08197021484375,""robust_information"":0.020970095864801475,""bundle"":[[2,0,""nominal""],[1,0,""nominal""]]},{""target"":1,""fusion"":0,""robust_pd"":0.07586669921875,""robust_information"":0.01145210194042981,""bundle"":[[1,0,""nominal""],[0,1,""nominal""],[2,0,""nominal""]]}]"
active_modes_global,20355644,1,234,True,full_load_envelope,0.8688232421875,1.73416748046875,80.0,2.0,114.0,0.0811767578125,0.082916259765625,0.05859375,0.05275726318359375,0.0811767578125,0.082916259765625,0.07781982421875,0.0778656005859375,0.051548004150390625,0.05548095703125,"[{""target"":0,""fusion"":1,""robust_pd"":0.08465576171875,""robust_information"":0.015866734078191058,""bundle"":[[0,2,""intensive""]]},{""target"":1,""fusion"":2,""robust_pd"":0.0811767578125,""robust_information"":0.02003510179735324,""bundle"":[[1,0,""intensive""]]}]"
