m_rx,delta_bw,delta_u,rho,rho_analytic,kind,q,r,dd_sep_bins,du_x,du_y,rho_weighted_x,rho_weighted_y,rho_median,n_templates
4,0.0,0.0,0.0,0.0,curve,,,,,,,,,
4,0.1,0.022150000000000003,0.006038663293016389,0.006038663293016611,curve,,,,,,,,,
4,0.2,0.044300000000000006,0.023985673709993383,0.023985673709993605,curve,,,,,,,,,
4,0.3,0.06645,0.053340135048103754,0.053340135048103976,curve,,,,,,,,,
4,0.5,0.11075,0.1427266978844729,0.14272669788447312,curve,,,,,,,,,
4,0.75,0.166125,0.29854761208167857,0.2985476120816788,curve,,,,,,,,,
4,1.0,0.2215,0.4794200384230537,0.4794200384230539,curve,,,,,,,,,
4,1.5,0.33225,0.8099126922726587,0.8099126922726587,curve,,,,,,,,,
4,2.0,0.443,0.9813121128522624,0.9813121128522624,curve,,,,,,,,,
4,3.0,0.6645,0.9382469165047592,0.9382469165047592,curve,,,,,,,,,
4,4.0,0.886,0.9721731378050386,0.9721731378050386,curve,,,,,,,,,
8,0.0,0.0,0.0,0.0,curve,,,,,,,,,
8,0.1,0.011075000000000002,0.006339446027406659,0.006339446027406881,curve,,,,,,,,,
8,0.2,0.022150000000000003,0.025166723355725673,0.025166723355725895,curve,,,,,,,,,
8,0.3,0.033225,0.05591627443100111,0.055916274431001334,curve,,,,,,,,,
8,0.5,0.055375,0.14919649946977542,0.14919649946977542,curve,,,,,,,,,
8,0.75,0.0830625,0.3104212045722511,0.3104212045722513,curve,,,,,,,,,
8,1.0,0.11075,0.4950166074212041,0.4950166074212041,curve,,,,,,,,,
8,1.5,0.166125,0.822565378932814,0.822565378932814,curve,,,,,,,,,
8,2.0,0.2215,0.9834845712406606,0.9834845712406606,curve,,,,,,,,,
8,3.0,0.33225,0.9535942707063536,0.9535942707063536,curve,,,,,,,,,
8,4.0,0.443,0.9836083740840205,0.9836083740840205,curve,,,,,,,,,
16,0.0,0.0,0.0,0.0,curve,,,,,,,,,
16,0.1,0.005537500000000001,0.00641462464391418,0.006414624643914402,curve,,,,,,,,,
16,0.2,0.011075000000000002,0.02546171774604611,0.02546171774604633,curve,,,,,,,,,
16,0.3,0.0166125,0.0565589942240432,0.056558994224043424,curve,,,,,,,,,
16,0.5,0.0276875,0.1508047832008801,0.1508047832008803,curve,,,,,,,,,
16,0.75,0.04153125,0.3133518107991281,0.3133518107991283,curve,,,,,,,,,
