trial,m_rx,arm,t_h1,t_h0,thr,dof,det_h1,det_h0,rho_weighted,rho_min
0,1,perfect_channel,18.078819280471045,21.127918912980558,20.66856907571369,28,0.0,1.0,0.0006661429203004204,5.395875955315558e-08
0,1,tp_uic_full,22.68737771363513,12.001340883011917,20.66856907571369,28,1.0,0.0,0.00048178574282713935,3.6611024031549255e-08
1,1,perfect_channel,23.073634726774003,19.0654099521918,20.66856907571369,28,1.0,0.0,0.00034296208048462953,3.584801219046129e-07
1,1,tp_uic_full,24.862248572904367,15.896053678947759,20.66856907571369,28,1.0,0.0,0.00031793814928806615,2.3195854664245643e-07
2,1,perfect_channel,13.184040870504546,13.674321175755317,20.66856907571369,28,0.0,0.0,0.3087518741106719,0.000524693755652853
2,1,tp_uic_full,13.867598172897484,14.83875757426835,20.66856907571369,28,0.0,0.0,0.29343170671574975,0.0003833390071291754
3,1,perfect_channel,15.125880520642813,23.987220124428212,20.66856907571369,28,0.0,1.0,0.05484384952474801,3.425831960261898e-08
3,1,tp_uic_full,11.672424089577408,21.730941312086046,20.66856907571369,28,0.0,1.0,0.048780421748197474,2.3373757002016375e-08
4,1,perfect_channel,16.075438707634554,17.904737251316106,20.66856907571369,28,0.0,0.0,0.14653166326181555,6.469705202203399e-07
4,1,tp_uic_full,12.460183341040747,10.267746895520704,20.66856907571369,28,0.0,0.0,0.13883552714877095,3.081185024017654e-07
5,1,perfect_channel,40.15344574311483,33.941898914578665,20.66856907571369,28,1.0,1.0,7.906833106939526e-05,8.769577268749429e-08
5,1,tp_uic_full,22.024472722445253,16.938707586274482,20.66856907571369,28,1.0,0.0,5.4602227149877985e-05,5.358825094267418e-08
6,1,perfect_channel,41.32104350350381,25.53866573426297,20.66856907571369,28,1.0,1.0,0.04375595110356009,1.175475279630453e-08
6,1,tp_uic_full,28.75982148341467,26.23455803991812,20.66856907571369,28,1.0,1.0,0.035468248949320436,1.0003453487567721e-08
7,1,perfect_channel,11.830178024498096,20.08953325744493,20.66856907571369,28,0.0,0.0,0.38296809656862846,0.008323105804471148
7,1,tp_uic_full,10.683944812166986,21.95422260059214,20.66856907571369,28,0.0,1.0,0.36230780124650375,0.005765300585640588
8,1,perfect_channel,34.38328546176953,11.502721222402727,20.66856907571369,28,1.0,0.0,0.6782735033036281,0.2840679788727027
8,1,tp_uic_full,34.808791134799534,10.31751335391374,20.66856907571369,28,1.0,0.0,0.670632846448343,0.26827725241436207
9,1,perfect_channel,28.173876027756023,26.621633875042992,20.66856907571369,28,1.0,1.0,0.00019015977844063974,1.783999035376868e-08
9,1,tp_uic_full,26.423541827656663,16.293649154735153,20.66856907571369,28,1.0,0.0,0.00011888734718223073,6.94369423251763e-09
10,1,perfect_channel,23.99723003033292,15.414539021198983,20.66856907571369,28,1.0,0.0,0.009096741402402388,4.220972058437618e-08
10,1,tp_uic_full,15.923937324550826,12.517429871428545,20.66856907571369,28,0.0,0.0,0.007174737252173549,2.35612116682592e-08
11,1,perfect_channel,26.087996618973772,24.814881704593525,20.66856907571369,28,1.0,1.0,0.06421986410493373,3.1273416359075603e-06
11,1,tp_uic_full,12.646350075113864,16.43134242556353,20.66856907571369,28,0.0,0.0,0.059825899703690726,2.5671589679543873e-06
12,1,perfect_channel,21.50457179421379,22.711013332412964,20.66856907571369,28,1.0,1.0,0.4177972331712784,0.0011141520551074455
12,1,tp_uic_full,18.796904386369434,20.435811336200814,20.66856907571369,28,0.0,0.0,0.4026142634670889,0.0007447873858150095
13,1,perfect_channel,26.91480962043138,11.808668461792973,20.66856907571369,28,1.0,0.0,0.39457205653450167,0.0004915444431406752
13,1,tp_uic_full,22.83126763272872,10.846708619842055,20.66856907571369,28,1.0,0.0,0.36995444284682444,0.00046560373710687416
14,1,perfect_channel,28.00294422757344,32.75706275380868,20.66856907571369,28,1.0,1.0,0.003765045625019812,1.6000181628100427e-09
14,1,tp_uic_full,20.573975210673584,23.09621852323736,20.66856907571369,28,0.0,1.0,0.0032523273939849026,8.750403779919985e-10
15,1,perfect_channel,13.104100988638644,13.012843160424511,20.66856907571369,28,0.0,0.0,0.005657942151870244,2.0120458575139016e-12
15,1,tp_uic_full,10.918192816977351,11.968678532526589,20.66856907571369,28,0.0,0.0,0.0042516242300351115,7.926415537128759e-13
16,1,perfect_channel,14.86151436690072,15.735049371192144,20.66856907571369,28,0.0,0.0,0.00011443851371333418,3.693171696821998e-11
16,1,tp_uic_full,12.255127982552118,17.082623301560574,20.66856907571369,28,0.0,0.0,8.075628460079417e-05,2.3298472290981524e-11
17,1,perfect_channel,15.802815255350502,15.268173917238856,20.66856907571369,28,0.0,0.0,0.06185946095082081,4.854014472031562e-08
17,1,tp_uic_full,12.328446244277352,15.919260471977733,20.66856907571369,28,0.0,0.0,0.054604862322274954,2.2875706672566793e-08
18,1,perfect_channel,9.369364820455221,15.530583432481285,20.66856907571369,28,0.0,0.0,0.7921287693346412,0.45037765932071727
18,1,tp_uic_full,8.151229253894407,15.180007809696132,20.66856907571369,28,0.0,0.0,0.7721896761628086,0.3937339777638331
19,1,perfect_channel,92.66811565436612,95.65162061357843,20.66856907571369,28,1.0,1.0,0.2661571465969917,1.939407816076279e-07
19,1,tp_uic_full,17.825540418405655,19.738685299414453,20.66856907571369,28,0.0,0.0,0.2456535453487005,9.833561196631659e-08
0,4,perfect_channel,8.756056695901105,17.018805636078582,20.66856907571369,28,0.0,0.0,0.5641993105930897,0.25388681589565043
0,4,tp_uic_full,9.097526685996467,17.407497534246353,20.66856907571369,28,0.0,0.0,0.5621594445813051,0.2501901198260113
1,4,perfect_channel,25.32105535257791,24.872918007615752,20.66856907571369,28,1.0,1.0,0.329726589861466,0.15196687274378218
1,4,tp_uic_full,24.869863435840266,24.78281994558069,20.66856907571369,28,1.0,1.0,0.32928649478636607,0.14961781824304352
2,4,perfect_channel,12.565712425182479,15.159401330538731,20.66856907571369,28,0.0,0.0,0.7824087535057344,0.5690464689374539
2,4,tp_uic_full,12.588014756539637,15.056323000355407,20.66856907571369,28,0.0,0.0,0.7823137991622988,0.5689257628231877
