seed,arm,area_m,rcs_m2,scenario,looks,penalty,g_hw_db,kappa_dc,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.9,0.9475000000000001,0.04975,15.0,12.125,0.9250;0.9250;0.9750;0.9250;0.9000;0.9750;0.9750;0.9500;1.0000;0.9250
20260917,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.9,0.9475000000000001,0.049666666666666665,6.3,12.125,0.9250;0.9250;0.9750;0.9250;0.9000;0.9750;0.9750;0.9500;1.0000;0.9250
20260917,sparse,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.925,0.9475,0.04716666666666667,3.325,14.05,0.9250;0.9250;0.9750;0.9500;0.9250;0.9750;0.9750;0.9500;0.9250;0.9500
101,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.925,0.9524999999999999,0.04975,15.0,13.575,0.9750;0.9750;0.9750;0.9500;0.9500;0.9250;0.9500;0.9250;0.9500;0.9500
101,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.925,0.9524999999999999,0.049833333333333334,6.625,13.575,0.9750;0.9750;0.9750;0.9500;0.9500;0.9250;0.9500;0.9250;0.9500;0.9500
101,sparse,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.85,0.9424999999999999,0.04816666666666667,3.4,15.575,0.9750;0.9500;1.0000;0.9750;0.9500;0.8500;0.9500;0.9000;0.9250;0.9500
202,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.9,0.93,0.04708333333333333,15.0,13.825,0.9750;0.9000;0.9250;0.9500;0.9250;0.9000;0.9000;0.9500;0.9750;0.9000
202,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.9,0.93,0.04708333333333333,7.0,13.825,0.9750;0.9000;0.9250;0.9500;0.9250;0.9000;0.9000;0.9500;0.9750;0.9000
202,sparse,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.85,0.9324999999999999,0.050833333333333335,3.35,15.8,0.9750;0.9750;0.9500;0.9500;0.9500;0.8500;0.9000;0.9750;0.9250;0.8750
303,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.925,0.96,0.050833333333333335,15.0,12.75,0.9750;0.9500;1.0000;0.9250;0.9500;0.9750;0.9750;0.9750;0.9500;0.9250
303,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.925,0.9650000000000001,0.051,6.475,12.75,0.9750;1.0000;1.0000;0.9250;0.9500;0.9750;0.9750;0.9750;0.9500;0.9250
303,sparse,800.0,0.05,compact-small-uav,16,0.2,0.0,60.0,0.875,0.95,0.049166666666666664,3.1,15.275,0.9750;0.9750;0.9500;0.9500;0.9500;0.9750;0.9500;0.9750;0.9250;0.8750
