seed,arm,area_m,rcs_m2,scenario,looks,penalty,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.7,0.835,0.04816666666666667,15.0,26.875,0.9250;0.8500;0.8000;0.9250;0.7250;0.8750;0.8250;0.9500;0.7750;0.7000
20260917,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.75,0.8625,0.04791666666666667,11.825,26.875,0.9250;0.8750;0.8500;0.9250;0.8250;0.8750;0.8500;0.9500;0.8000;0.7500
20260917,sparse,800.0,0.05,compact-small-uav,16,0.2,0.825,0.8724999999999999,0.04875,4.075,19.95,0.8500;0.9000;0.8750;0.8750;0.8500;0.9000;0.9500;0.8500;0.8250;0.8500
101,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.7,0.795,0.051166666666666666,15.0,27.3,0.7500;0.8250;0.8000;0.7250;0.7750;0.7000;0.9750;0.7500;0.8250;0.8250
101,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.7,0.8150000000000001,0.051416666666666666,11.4,27.3,0.7750;0.8500;0.8250;0.7750;0.8250;0.7000;0.9750;0.7750;0.8250;0.8250
101,sparse,800.0,0.05,compact-small-uav,16,0.2,0.75,0.8800000000000001,0.050583333333333334,4.0,20.1,0.9250;0.8500;0.9250;0.8750;0.9000;0.7500;0.9500;0.8250;0.8750;0.9250
202,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.65,0.7625,0.04566666666666667,15.0,29.15,0.6500;0.7500;0.7250;0.8750;0.8500;0.6750;0.7500;0.7500;0.8000;0.8000
202,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.725,0.7975,0.04616666666666667,12.1,29.15,0.7500;0.7750;0.7500;0.8750;0.8500;0.7250;0.8000;0.8250;0.8250;0.8000
202,sparse,800.0,0.05,compact-small-uav,16,0.2,0.75,0.875,0.04525,3.95,21.85,0.9500;0.7500;0.8250;0.9000;0.9500;0.8250;0.9250;0.9000;0.8750;0.8500
303,uncoordinated,800.0,0.05,compact-small-uav,16,0.2,0.75,0.8350000000000002,0.04925,15.0,28.125,0.8000;0.8250;0.8250;0.8250;0.8750;0.8500;0.8750;0.9250;0.7500;0.8000
303,mask_only,800.0,0.05,compact-small-uav,16,0.2,0.75,0.8525,0.04925,11.85,28.125,0.8500;0.8750;0.8250;0.8250;0.8750;0.8750;0.9000;0.9250;0.7500;0.8250
303,sparse,800.0,0.05,compact-small-uav,16,0.2,0.8,0.8825,0.051083333333333335,3.975,21.35,0.9250;0.9500;0.8500;0.8000;0.9000;0.9500;0.8750;0.9000;0.8500;0.8250
