trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,4,10,0.4,21,300,0.07,27,14,13,8960.0,14.933333333333334,50.9568130370932,5.075646751029348,0.9629629629629629,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44539.0,44539.0,0.0,0.0,0.0,0.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:6-5;1:0-13,0-5,7-5,2-5,12-5,6-5;2:7-5;3:13-5;4:9-5;5:4-5,3-5;6:11-9,11-3,11-5,9-3,14-9,8-9;7:2-5;8:8-9,11-9,1-9,8-3,11-3,10-9;9:8-13,1-13"
1,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,45,29,16,18560.0,30.933333333333334,1010.664760968653,72.12919847192231,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63634.0,63634.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:5-2,5-11,12-11,2-11,6-11,1-11;1:3-4;2:1-2;3:9-14,10-14,9-4,9-3,9-11,9-7;4:10-14,10-4,10-2,10-7,10-3,13-2;5:5-2,7-2,2-7,13-2,1-2,2-5;6:14-11,11-14,0-11,3-11,4-11,0-14;7:0-11,11-0,1-11,6-11,8-11,3-11;8:13-11;9:13-2,7-2,5-2,2-7,1-2,3-2"
2,proposed_c2f_adaptive_pd,8,10,0.8,19,300,0.06333333333333334,34,12,22,7680.0,12.8,2495.558661092951,104.40341176285492,0.9705882352941176,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55744.0,55744.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:8-3,12-3,9-3;1:10-3,14-3,8-3,9-3,12-3,5-3;2:10-3,8-3,11-3,9-3,4-3,14-3;3:8-12;4:7-6;5:7-6,11-6,4-6,6-8,6-1,7-10;6:0-3;7:10-3;8:2-3,13-3,0-3;9:7-12,6-8,12-8,9-12,6-3,12-3"
3,proposed_c2f_adaptive_pd,4,10,0.4,16,240,0.06666666666666667,32,15,17,9600.0,16.0,19.12836667600253,1.3875431737875625,0.9375,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48143.0,48143.0,0.0,0.0,0.0,0.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:11-4;1:4-0;2:12-0,7-0,2-0,6-0,14-0,5-0;3:6-2,6-0;4:14-0,1-0;5:11-13;6:12-0;7:7-2,7-4,7-5,7-12,5-4,7-0;8:3-1,8-1,3-0,1-0,13-0,9-0;9:7-5,5-4,7-2,5-12,4-5,5-0"
4,proposed_c2f_adaptive_pd,6,10,0.6,16,300,0.05333333333333334,20,4,16,2560.0,4.266666666666667,29.382465596804316,4.479645235159859,1.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32804.0,32804.0,0.0,0.0,0.0,0.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:8-9;1:2-7,2-9,7-9,1-9,13-9,12-9;2:7-9;3:7-9;4:11-9;5:7-9;6:6-7,13-9,12-9,7-9,6-9,2-9;7:2-7;8:1-14;9:8-9"
5,proposed_c2f_adaptive_pd,6,10,0.6,12,300,0.04,28,18,10,11520.0,19.200000000000003,98.63824350464928,23.475713987866733,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50260.0,50260.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:7-6,6-7,11-7,7-11,13-7,9-7;1:4-11;2:9-13;3:13-7,9-11,7-11;4:7-6,6-7,11-6,14-6,2-6,6-11;5:13-11,9-11;6:2-1,2-6,2-11,2-7,0-6,5-11;7:4-10;8:8-10;9:9-11"
6,proposed_c2f_adaptive_pd,9,10,0.9,16,300,0.05333333333333334,44,26,18,16640.0,27.733333333333334,248.4101156439674,40.88510129024677,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56804.0,56804.0,0.0,0.0,0.0,0.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:14-3,14-9;1:0-1,0-9,7-9,1-9;2:7-9;3:12-6,12-1,12-7,6-9,6-1,12-11;4:9-6;5:8-4,3-4,8-3,8-5,5-9,8-9;6:8-5,5-4,8-4,3-4,5-8,5-7;7:8-3,3-9,8-9,4-9,5-9,7-9;8:5-4,8-4,5-3,8-3,3-4,8-5;9:8-4,4-9,8-9,5-9,7-9,3-9"
7,proposed_c2f_adaptive_pd,7,10,0.7,13,300,0.043333333333333335,30,17,13,10880.0,18.133333333333333,91.38775560690527,7.849985958779004,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45477.0,45477.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:4-6;1:4-9;2:14-8;3:4-6,3-6,12-6,2-6,14-6,8-6;4:3-14;5:12-6;6:4-8,4-14,4-12,4-7,4-0,4-10;7:8-6,6-8,2-8,14-8,8-0,2-6;8:2-8,8-6,6-8,2-6,12-8,3-6;9:4-8"
8,proposed_c2f_adaptive_pd,6,10,0.6,11,270,0.040740740740740744,35,24,11,15360.0,25.6,925.1711160981398,180.1210325287194,0.9714285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62053.0,62053.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:11-3,4-3,12-3,13-3,8-3,3-8;1:1-6;2:11-3;3:14-0,0-6,14-6,6-0,5-6,13-6;4:3-6;5:4-12,4-8,4-10,4-6,12-3,12-10;6:14-0,0-14,5-14,5-0,14-6,0-6;7:4-6;8:9-7,2-7,9-3,9-1,1-7,3-7;9:13-6"
9,proposed_c2f_adaptive_pd,7,10,0.7,5,240,0.020833333333333332,22,17,5,10880.0,18.133333333333333,1560.685503318189,14.560697282404387,0.9090909090909091,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40220.0,40220.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:14-7;1:13-3;2:14-7,7-14;3:9-3,1-9;4:10-3;5:9-3;6:5-0;7:6-3;8:5-0,14-0,10-0,7-0,2-0,8-0;9:5-0,10-0,8-0,5-8,10-8,2-0"
10,proposed_c2f_adaptive_pd,5,10,0.5,9,300,0.03,21,8,13,5120.0,8.533333333333333,29.070954058834484,12.339297490162974,1.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41197.0,41197.0,0.0,0.0,0.0,0.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:6-7;1:8-7;2:4-14,3-7,4-7,5-7,3-14,3-4;3:3-4,3-14,4-14,3-7,5-4,4-8;4:8-7;5:1-7;6:8-7;7:9-7;8:8-7,1-7;9:3-7"
11,proposed_c2f_adaptive_pd,9,10,0.9,8,300,0.02666666666666667,45,23,22,14720.0,24.533333333333335,318.390392474854,29.881344067244118,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59002.0,59002.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:6-3,11-0,6-11,0-3,11-3,0-11;1:6-3;2:8-10,8-3,4-3,1-3,2-3,7-3;3:0-3,6-3,3-0,11-3,14-3,5-3;4:8-13,8-10,8-7,1-12,8-3,1-13;5:8-10,8-3,2-3,1-3,4-3,7-3;6:4-10;7:8-13,2-13,1-13,9-13,8-10,8-12;8:14-12,14-10,14-3,10-12,10-14,10-3;9:4-7"
12,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,35,25,10,16000.0,26.666666666666668,913.5872106111307,11.159908927912655,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59411.0,59411.0,0.0,0.0,0.0,0.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:8-12;1:7-12;2:11-7,4-7,12-7,7-12,13-7,9-7;3:10-12;4:5-10;5:0-1,2-1,14-1,9-1,6-1,14-2;6:2-1,2-0,0-2,2-12,0-12,14-12;7:5-10,5-1,5-3,5-12,5-0,5-2;8:0-12;9:5-1,5-10,5-12,10-1,5-0,5-3"
13,proposed_c2f_adaptive_pd,6,10,0.6,11,300,0.03666666666666667,37,26,11,16640.0,27.733333333333334,13.111772824851547,5.254359246216917,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61590.0,61590.0,0.0,0.0,0.0,0.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:5-1,1-7,5-13,5-7,13-7,14-13;1:2-12,3-0;2:6-0,10-0;3:1-0;4:9-10,10-9,9-6,10-11,9-11,9-0;5:5-0;6:7-0;7:3-12,3-10,4-12,3-0,3-1,3-13;8:5-7,5-13,7-5,5-14,5-0,7-0;9:9-10,9-11,10-11,10-9,10-0,9-6"
14,proposed_c2f_adaptive_pd,4,10,0.4,10,270,0.037037037037037035,14,10,4,6400.0,10.666666666666668,245.5589171742718,2.7239259804453964,0.8571428571428571,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40642.0,40642.0,0.0,0.0,0.0,0.0,0.0,"13,13,13,13,13,13,13,13,13,13","0:2-13;1:5-9;2:4-12;3:1-13,3-13;4:8-11,11-8;5:4-12;6:5-12;7:5-12,12-5,10-12;8:2-13;9:5-12"
15,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,26,16,10,10240.0,17.066666666666666,122.79582934234926,8.025161404736822,1.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49459.0,49459.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:10-6;1:11-6,14-6;2:2-9,9-2,2-6,9-6,7-6,0-6;3:13-6;4:10-6;5:0-6;6:3-5;7:7-2,3-2,7-0,2-9,9-2,11-2;8:2-9;9:0-10,10-0,2-10,9-10,9-0,10-9"
16,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,22,11,11,7040.0,11.733333333333334,350.89963531112426,21.158780375060147,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32461.0,32461.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:14-10;1:2-11;2:8-1,12-10,8-10;3:6-10;4:2-11;5:7-10;6:5-11,5-10,3-10,6-10,11-10,2-10;7:6-10;8:2-12;9:0-1,9-1,0-11,0-8,9-11,0-14"
17,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,30,9,21,5760.0,9.600000000000001,148.52834748817037,12.728213378558015,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48919.0,48919.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:1-0,0-13,0-3,1-13,10-13,1-3;1:8-3;2:4-3;3:4-3,8-3;4:8-3;5:6-3,9-6,10-6,1-3,4-3,9-3;6:12-3,9-3;7:10-6,10-3,1-3,0-3,4-3,2-3;8:11-5,11-6,14-3,11-3;9:5-3"
18,proposed_c2f_adaptive_pd,6,10,0.6,12,300,0.04,26,18,8,11520.0,19.200000000000003,154.12181587776624,17.944229363631333,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51051.0,51051.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:9-8,8-10,1-8,9-10,6-8,8-6;1:2-10;2:2-10;3:4-0;4:1-8,0-8,0-6,9-8,8-0,6-0;5:11-13;6:0-6;7:2-10,3-10;8:9-8,1-8,8-10,0-8,6-8,8-6;9:14-10"
19,proposed_c2f_adaptive_pd,7,10,0.7,14,300,0.04666666666666667,31,22,9,14080.0,23.46666666666667,614.566944521638,6.870279177242647,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47454.0,47454.0,0.0,0.0,0.0,0.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:10-6,0-6,5-6,1-6,6-9,14-6;1:0-7;2:9-7;3:11-8,8-11,4-11,4-8,8-7,7-8;4:7-8,8-7,8-9,9-8,4-8,14-8;5:1-7;6:4-7;7:14-7;8:6-9,10-6,9-6,1-6,7-6,0-6;9:9-7,8-7"
20,proposed_c2f_adaptive_pd,6,10,0.6,17,300,0.056666666666666664,35,9,26,5760.0,9.600000000000001,49.59470788415944,7.433586467579762,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55241.0,55241.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:6-10,14-10,13-10,12-10;1:3-10;2:2-10;3:6-10,14-10,9-10;4:9-10,6-10,13-10,3-10,8-10,7-10;5:12-10,14-10,5-10,6-10,9-10,11-10;6:13-10;7:3-1,7-1,11-7,1-7,5-1,11-1;8:3-10;9:9-12,3-12,3-9,6-10,12-10,3-10"
21,proposed_c2f_adaptive_pd,6,10,0.6,13,300,0.043333333333333335,20,9,11,5760.0,9.600000000000001,81.65995302194048,24.002192836873764,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57043.0,57043.0,0.0,0.0,0.0,0.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:11-3;1:2-9,9-2,1-2,0-2,8-2,6-2;2:2-9,9-2,9-10,2-10,10-9,10-2;3:13-10;4:9-2;5:3-5;6:11-5;7:12-2;8:12-2;9:12-2"
22,proposed_c2f_adaptive_pd,4,10,0.4,22,270,0.08148148148148149,13,5,8,3200.0,5.333333333333334,160.96799286599114,6.059603783152826,0.9230769230769231,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21798.0,21798.0,0.0,0.0,0.0,0.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:5-9,9-2;1:3-2,4-1;2:1-9;3:9-2;4:14-2,12-2;5:1-5;6:1-2;7:11-13;8:9-2;9:14-2"
23,proposed_c2f_adaptive_pd,7,10,0.7,10,300,0.03333333333333333,26,10,16,6400.0,10.666666666666668,5066.308291805914,27.654666398352337,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62439.0,62439.0,0.0,0.0,0.0,0.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:14-6,11-6,6-14,6-7,14-7,11-7;1:12-5;2:0-7,8-7;3:0-7,8-7,2-7,12-7,4-7,10-7;4:12-7;5:2-10;6:10-7,4-10,2-7,2-10,4-7,10-8;7:2-7;8:9-3;9:2-10"
24,proposed_c2f_adaptive_pd,1,10,0.1,16,300,0.05333333333333334,60,8,52,5120.0,8.533333333333333,0.16647872701380081,0.009892426484373763,0.9666666666666667,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19605.0,19605.0,0.0,0.0,0.0,0.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:8-2,7-2,14-2,3-2,11-2,0-2;1:4-2,5-2,13-2,7-2,0-2,14-2;2:5-12,5-2,10-2,3-2,14-2,7-2;3:13-12,0-12,13-2,0-2,3-12,4-2;4:8-2,7-2,10-2,14-2,3-2,13-2;5:4-12,4-2,13-2,3-2,10-2,14-2;6:10-12,10-2,3-12,3-2,7-2,8-2;7:4-2,13-2,0-2,6-2,12-2,9-2;8:4-2,4-12,12-2,13-2,0-2,9-2;9:5-2,4-2,14-2,13-2,0-2,10-2"
25,proposed_c2f_adaptive_pd,7,10,0.7,9,300,0.03,36,27,9,17280.0,28.800000000000004,2415.521538874678,29.401952164018528,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66116.0,66116.0,0.0,0.0,0.0,0.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:0-13,0-7;1:2-7;2:12-4;3:12-13,12-4,4-13,1-13,12-9,1-4;4:7-9,11-9,5-9,2-9,6-9,14-9;5:12-13,8-13,4-13,0-13,14-13,8-0;6:14-7;7:8-13,0-13,13-0,13-8,8-0,0-8;8:2-7;9:10-4,10-7,4-7,2-7,3-7,1-7"
26,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,35,22,13,14080.0,23.46666666666667,653.0109786569332,22.887553950228515,0.9714285714285714,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48644.0,48644.0,0.0,0.0,0.0,0.0,0.0,"13,13,13,13,13,13,13,13,13,13","0:6-12;1:6-12,14-12,12-6,1-6,1-12,13-12;2:1-6,1-13,6-13,5-13,11-13,4-13;3:0-13;4:5-6;5:8-5;6:1-6,1-13,5-13,11-13,6-13,4-13;7:1-6,6-12,1-5,1-13,1-12,8-6;8:9-13;9:14-12,6-12,12-6,1-12,13-12,1-6"
27,proposed_c2f_adaptive_pd,8,10,0.8,15,300,0.05,41,17,24,10880.0,18.133333333333333,53.27067771812699,3.2623699464105758,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52514.0,52514.0,0.0,0.0,0.0,0.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:0-8,2-8;1:9-8,1-8,8-9,14-8,3-8,1-9;2:0-2;3:7-12,7-8,12-8,2-8,5-8,14-8;4:9-8;5:14-8;6:13-9,13-3,11-9,11-8,13-8,3-8;7:7-12,14-12,0-12,12-8,8-12,7-8;8:7-12,2-12,8-12,5-12,12-8,4-12;9:8-12,12-8,14-8,2-8,1-8,0-8"
