trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,7,10,0.7,12,300,0.04,21,10,11,6400.0,10.666666666666668,311.2787823247274,68.5406361624255,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92942.0,92942.0,0.0,2.0,1.0,8.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:6-5;1:0-13;2:7-8;3:2-8;4:9-8;5:6-8,4-8;6:9-11,8-11,4-11,9-4,9-3,9-8;7:2-8;8:9-8,8-11,8-9,9-11,4-8,13-8;9:13-8"
1,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,40,28,12,17920.0,29.866666666666667,1269.842159640148,129.3138985408376,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120104.0,120104.0,0.0,2.0,1.0,8.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:5-2;1:3-4;2:5-1;3:9-3,9-4,9-11,9-0,9-7,10-4;4:10-2,10-4,10-3,10-7,10-0,13-2;5:5-2,13-2,1-2,3-2,5-1,3-1;6:14-0,14-11,3-0,14-1,3-1,0-1;7:0-11,0-1,3-1,14-1,5-1,13-1;8:13-1;9:13-2,5-2,1-2,3-2,14-2,13-7"
2,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,23,10,13,6400.0,10.666666666666668,3443.4730040949444,158.6239307966762,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104534.0,104534.0,0.0,2.0,1.0,8.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:8-10;1:8-10;2:10-3;3:2-12;4:6-7;5:6-5,7-5,6-12,6-14,7-0,7-10;6:0-10;7:8-10;8:2-3,2-10,8-10,0-10;9:11-12,7-10,2-10,8-10,4-10,6-10"
3,proposed_c2f_adaptive_pd,6,10,0.6,18,270,0.06666666666666667,23,15,8,9600.0,16.0,116.96277967937552,24.557622313808448,0.9565217391304348,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101870.0,101870.0,0.0,2.0,1.0,8.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:4-11;1:4-14;2:12-0,7-0,2-0,6-0,14-0,12-14;3:2-6;4:14-0;5:11-8;6:12-14;7:2-7,4-7,2-14,4-14,7-14,12-14;8:3-14,3-8;9:2-7,7-6,6-7"
4,proposed_c2f_adaptive_pd,8,10,0.8,13,300,0.043333333333333335,16,9,7,5760.0,9.600000000000001,98.81549252442281,15.369883983533992,0.8125,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172827.0,172827.0,0.0,4.0,1.0,5.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:1-11;1:2-7;2:7-9;3:7-9;4:1-11;5:2-7;6:6-12;7:7-11,2-11;8:1-0,6-1,1-14,1-11,6-11,12-1;9:7-11"
5,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,27,16,11,10240.0,17.066666666666666,129.80036810120265,25.38767943575419,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121724.0,121724.0,0.0,2.0,1.0,8.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:7-6,6-7,11-7,7-11,13-7,9-7;1:4-3;2:9-13;3:13-7,7-2,11-2,9-2,13-2,6-2;4:7-6,6-7,6-2,11-6,7-2,2-6;5:13-11;6:2-1,6-2;7:4-2,9-2;8:8-2;9:9-11"
6,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,36,25,11,16000.0,26.666666666666668,174717.3528815335,89.19101024714453,0.9722222222222222,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161285.0,161285.0,0.0,3.0,1.0,7.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:14-12;1:7-0;2:7-12;3:12-6;4:7-9,8-9,5-9,3-9,9-0,9-4;5:8-4,3-4,5-9,5-12,8-12,7-12;6:5-9,8-9,5-4,8-4,3-4,3-9;7:8-3,3-12;8:5-4,8-4,8-0,5-0,3-4,8-9;9:8-4,8-12,7-12,3-12,9-12,5-12"
7,proposed_c2f_adaptive_pd,7,10,0.7,16,300,0.05333333333333334,30,17,13,10880.0,18.133333333333333,324.5849095995363,68.81113679318099,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109834.0,109834.0,0.0,2.0,1.0,7.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:4-11;1:4-11,4-1,3-4,4-9,4-5,4-7;2:8-14;3:4-11;4:3-11;5:14-11;6:4-11,3-4,12-4,4-1,3-11,12-11;7:8-6,8-0,8-7,6-8,2-6,6-0;8:8-2,2-8,8-11,2-11,12-11,14-11;9:4-11"
8,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,32,17,15,10880.0,18.133333333333333,2121.5165555988606,373.0194530939886,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130124.0,130124.0,0.0,2.0,1.0,8.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:11-2,3-11,3-4,11-3,12-2,12-11;1:1-14;2:3-1;3:14-0,14-6,13-14,1-14,9-14,12-14;4:3-13;5:12-4,11-4,4-14,12-14,11-14,13-14;6:14-0,13-14,1-14,12-14,9-14,14-9;7:13-14;8:9-2,1-9,3-2;9:13-14"
9,proposed_c2f_adaptive_pd,7,10,0.7,10,270,0.037037037037037035,17,11,6,7040.0,11.733333333333334,3762.2427552104696,50.98496767039489,0.9411764705882353,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131277.0,131277.0,0.0,3.0,1.0,7.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:7-5;1:13-1;2:14-5,14-1;3:13-9;4:10-1;5:6-9;6:2-10;7:6-1;8:5-0,14-0,14-5,10-5,5-1;9:5-0,10-0,10-1"
