trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,20,300,0.06666666666666667,20,9,11,5760.0,9.600000000000001,1077.1959064616813,188.83733940136375,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93510.0,93510.0,0.0,2.0,1.0,4.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:6-5;1:13-0;2:7-1;3:13-1;4:9-1;5:6-1,7-1;6:9-11,9-3,13-11,6-11,7-11,9-8;7:7-1;8:9-11,9-1,13-1,6-1,7-1;9:13-1"
1,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,39,26,13,16640.0,27.733333333333334,893.3964590421765,229.21112238752033,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138728.0,138728.0,0.0,2.0,1.0,4.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:5-2;1:1-3;2:5-3;3:3-9,3-10,13-10,13-9,1-10,5-9;4:13-10,3-10,3-13,13-3,13-9,1-10;5:5-2,5-13,13-2,1-2,13-3,1-3;6:3-11,3-0,3-14,1-3,13-3,5-3;7:1-0,3-0,1-3,5-3,13-3;8:13-3;9:13-2,5-13,5-2,3-13,13-3,1-2"
2,proposed_c2f_adaptive_pd,9,10,0.9,12,300,0.04,17,13,4,8320.0,13.866666666666667,996.0464523365515,250.49272200725494,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96991.0,96991.0,0.0,2.0,1.0,4.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:8-10;1:8-10;2:10-3;3:0-12;4:7-4;5:8-7,7-8,7-5,7-4,7-11,7-9;6:0-1;7:10-7,8-10;8:8-0,8-7;9:8-7"
3,proposed_c2f_adaptive_pd,9,10,0.9,14,270,0.05185185185185185,19,13,6,8320.0,13.866666666666667,111.78980780977096,41.930013365325536,0.9473684210526315,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98614.0,98614.0,0.0,2.0,1.0,4.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:4-11;1:4-14;2:12-0,12-14,12-7,12-5,14-0,12-6;3:4-6;4:12-14;5:11-8;6:4-14;7:4-7,4-5;8:14-3,14-1,11-14,12-14;9:4-5"
4,proposed_c2f_adaptive_pd,6,10,0.6,16,300,0.05333333333333334,15,10,5,6400.0,10.666666666666668,195.69944385570096,14.107230456684961,0.8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73566.0,73566.0,0.0,2.0,1.0,4.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:2-8;1:2-7;2:7-9;3:7-9;4:11-8;5:7-8;6:2-1;7:7-8;8:2-1,8-1,7-1,2-6,8-6,7-6;9:11-8"
5,proposed_c2f_adaptive_pd,8,10,0.8,11,300,0.03666666666666667,25,18,7,11520.0,19.200000000000003,260.1054631005212,25.590232958816657,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104199.0,104199.0,0.0,2.0,1.0,4.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:13-7,9-7,13-6,9-6,4-7,9-11;1:4-3;2:9-13;3:9-11;4:9-6,13-6,4-6,9-7,13-7,8-6;5:13-7;6:8-2,4-2,13-2,4-3,8-3,13-3;7:4-3;8:8-3;9:9-3"
6,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,32,18,14,11520.0,19.200000000000003,883.9640499262383,298.7593286309136,0.9375,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121003.0,121003.0,0.0,2.0,1.0,4.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:0-14;1:0-14,7-14;2:7-14;3:14-6;4:8-11,7-11,7-9,8-9,8-7,7-8;5:8-7,8-14,7-14,0-14;6:8-5,8-3,8-9,8-14,8-4,14-8;7:8-14;8:8-3,8-14,8-0,8-4,0-8,7-14;9:8-7,7-14,8-14,0-14"
7,proposed_c2f_adaptive_pd,8,10,0.8,16,300,0.05333333333333334,30,18,12,11520.0,19.200000000000003,122.13182709311127,43.95385676335991,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108554.0,108554.0,0.0,2.0,1.0,4.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:4-0;1:4-11,3-4,4-1,4-9,4-5,12-4;2:14-0;3:4-0;4:14-0;5:3-0;6:4-11,3-4,12-4,4-0,3-0,12-0;7:14-0,14-6,14-8,12-8,12-6,3-0;8:12-8,3-8,12-2,14-2,14-8,14-0;9:4-0"
8,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,30,19,11,12160.0,20.26666666666667,1595.4695394673977,341.9942882952295,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128883.0,128883.0,0.0,2.0,1.0,4.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:3-4,3-11,4-3,13-3,3-13,4-11;1:1-14;2:1-3;3:13-0,13-14,1-0,1-14,13-6,3-14;4:1-3;5:4-11,13-4,4-14;6:13-14,1-14,1-0,13-0,4-14,3-14;7:13-14;8:1-9,3-2,3-9,13-9;9:13-14"
9,proposed_c2f_adaptive_pd,8,10,0.8,18,270,0.06666666666666667,12,8,4,5120.0,8.533333333333333,1634.477271344289,80.16755963665042,0.9166666666666666,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80466.0,80466.0,0.0,2.0,1.0,4.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:6-14;1:6-10;2:10-14;3:9-3;4:6-10;5:6-9;6:6-10;7:6-10;8:10-0,10-5,13-0;9:10-0"
