trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,25,300,0.08333333333333333,24,9,15,5760.0,9.600000000000001,329.5726599690289,121.76511831049525,0.9583333333333334,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88898.0,88898.0,0.0,2.0,1.0,6.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:6-4;1:13-0;2:7-4;3:13-4;4:9-4;5:6-4;6:9-11,4-11,9-4,9-3,4-9,9-8;7:2-4;8:9-11,9-8,4-11,9-4,13-4,2-4;9:13-4,9-4,2-4,7-4,6-4"
1,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,36,26,10,16640.0,27.733333333333334,1280.977875283938,198.4307474455236,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139984.0,139984.0,0.0,2.0,1.0,6.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:5-2;1:14-0;2:5-0;3:14-10,14-9,3-10,13-10,14-13,3-9;4:13-10,14-10,3-10,3-13,1-10,0-10;5:5-2,5-13,13-2,1-2,3-2,5-0;6:14-0,14-11,3-0,1-0,5-0,13-0;7:0-11,5-0;8:13-0;9:13-2,5-2,5-13,3-13,1-2,3-2"
2,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,17,12,5,7680.0,12.8,4800.53920459273,46.79586530113551,0.9411764705882353,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117866.0,117866.0,0.0,2.0,1.0,6.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:8-10;1:10-5;2:10-3;3:8-5;4:7-6;5:7-5,7-11,11-7,7-2,11-2,11-12;6:0-3;7:10-5;8:2-3,0-3;9:7-12,8-5"
3,proposed_c2f_adaptive_pd,8,10,0.8,15,270,0.05555555555555555,18,12,6,7680.0,12.8,136.2345788045682,19.39066117141741,0.9444444444444444,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111800.0,111800.0,0.0,2.0,1.0,6.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:11-12;1:4-12;2:12-0,6-0,12-7,14-0,12-6,6-12;3:6-12;4:14-0;5:11-8;6:3-12;7:4-7,12-7,11-12;8:3-8;9:4-5,6-7"
4,proposed_c2f_adaptive_pd,8,10,0.8,10,300,0.03333333333333333,16,11,5,7040.0,11.733333333333334,203.60221030324232,80.31051124858219,0.875,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117733.0,117733.0,0.0,3.0,1.0,4.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:6-0;1:2-7;2:7-9;3:7-9;4:1-11;5:7-0;6:6-0,1-0;7:2-1;8:1-0,6-1,1-6,1-14,1-10,2-1;9:7-11"
5,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,21,14,7,8960.0,14.933333333333334,113.40603184189588,21.89635125265265,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120509.0,120509.0,0.0,2.0,1.0,6.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:7-6,13-7,9-7,7-11,7-1,7-2;1:4-2;2:9-13;3:13-7;4:7-6,7-2,7-1,2-6,2-7,7-11;5:13-7;6:2-1,7-2;7:4-2;8:8-2;9:9-2"
6,proposed_c2f_adaptive_pd,9,10,0.9,16,300,0.05333333333333334,36,24,12,15360.0,25.6,177492.0123530391,139.93035458274926,0.9166666666666666,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108259.0,108259.0,0.0,2.0,1.0,6.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:14-12;1:7-0;2:7-12;3:12-6;4:7-9,8-9,5-9,0-9,8-4,7-4;5:8-4,8-3,5-12,5-9,8-12,7-12;6:5-4,8-4,5-9,8-9,8-3,5-12;7:8-4,8-12;8:5-4,8-4,8-0,5-0,5-3,8-3;9:8-4,8-12,7-12,5-12,0-12,14-12"
7,proposed_c2f_adaptive_pd,6,10,0.6,26,300,0.08666666666666667,29,16,13,10240.0,17.066666666666666,261.4161608373856,25.646360135227177,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106993.0,106993.0,0.0,2.0,1.0,6.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:4-7;1:4-11,4-1,3-4,4-5,4-9,4-7;2:8-14;3:4-7;4:3-7;5:3-7;6:4-11,3-4,12-4,4-7,4-1,3-7;7:8-0,8-6,8-7,2-0,2-6,14-7;8:2-8,8-2,8-7,2-7,12-7;9:4-7"
8,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,27,20,7,12800.0,21.333333333333336,1486.0266020257807,207.63855059396,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122483.0,122483.0,0.0,2.0,1.0,6.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:3-4,3-11,11-2,11-3,11-4,4-3;1:1-14;2:1-3;3:14-0,14-6,3-14;4:3-4;5:11-4,4-11;6:14-0,13-14,1-14,4-14,14-10,1-0;7:13-14;8:1-9,3-9,3-2,1-2,11-9;9:13-14"
9,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,12,9,3,5760.0,9.600000000000001,593.0710863195308,77.88300876020323,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138142.0,138142.0,0.0,4.0,1.0,3.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:5-14;1:9-6;2:14-0;3:14-9,9-1;4:5-0;5:14-9;6:5-0;7:14-9,5-6;8:5-14;9:5-0"
