trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,19,300,0.06333333333333334,29,19,10,12160.0,20.26666666666667,139.32804352607403,32.76590867129097,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92525.0,92525.0,0.0,2.0,1.0,12.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:6-10,6-0,6-4,6-14,2-14,6-11;1:13-0;2:7-14;3:13-14,2-14;4:0-14;5:6-4,10-14,4-14;6:9-11,14-11,8-11,4-11,11-9,1-11;7:2-14;8:8-11,9-11,1-11,14-11,8-9,10-11;9:13-0,13-14"
1,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,40,32,8,20480.0,34.13333333333333,1223.8746921357035,84.14796430070695,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174596.0,174596.0,0.0,3.0,1.0,11.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:5-2;1:3-4;2:2-1;3:9-4,9-11,9-7,10-4,14-4,10-11;4:10-2,10-4,10-7,13-2,13-7,10-6;5:5-2,7-2,13-2,2-7,2-5,1-2;6:14-11,0-11,3-11,11-0,14-0,11-1;7:0-11,0-1,11-1,3-1,14-1,7-1;8:13-1;9:13-2,7-2,5-2,2-7,1-2,2-5"
2,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,51,25,26,16000.0,26.666666666666668,3231.8671804732267,21.343990138736917,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107317.0,107317.0,0.0,2.0,1.0,12.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:12-8,10-8,9-8,8-2,12-2,9-2;1:10-8,10-11,10-2,10-0,14-2,8-2;2:10-8,10-0,10-2,10-11,10-13,10-7;3:12-2,9-2;4:6-7;5:6-7,7-6,11-6,6-11,11-7,4-6;6:0-2,13-2,8-2,7-2,6-2,11-2;7:10-8,10-0,10-11,10-2,14-2,9-2;8:2-0,13-0,8-0,13-2,0-2,8-2;9:12-2,11-6,7-2,8-2,4-2,6-2"
3,proposed_c2f_adaptive_pd,6,10,0.6,11,270,0.040740740740740744,27,12,15,7680.0,12.8,69.89658654155272,16.233114725838018,0.9629629629629629,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172491.0,172491.0,0.0,3.0,1.0,10.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:4-11;1:4-14;2:12-0,7-0,2-0,6-0,14-0,12-14;3:2-6;4:1-14,12-14;5:11-8;6:12-14;7:2-7,5-7,2-14,4-14,5-14,7-14;8:3-8,3-14;9:5-7,5-14,7-14,2-14,6-14,4-14"
4,proposed_c2f_adaptive_pd,8,10,0.8,13,300,0.043333333333333335,16,9,7,5760.0,9.600000000000001,98.81549252442281,15.369883983533992,0.8125,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173028.0,173028.0,0.0,4.0,1.0,5.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:1-11;1:2-7;2:7-9;3:7-9;4:1-11;5:2-7;6:6-12;7:7-11,2-11;8:1-0,6-1,1-14,1-11,6-11,12-1;9:7-11"
5,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,31,17,14,10880.0,18.133333333333333,216.2626692495989,89.82885588353918,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208555.0,208555.0,0.0,4.0,1.0,9.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:6-7,11-7,7-11,13-7,9-7,6-11;1:11-4;2:13-4;3:13-7,7-4,13-4,11-4,9-4,6-4;4:6-7,6-11,11-7,6-2,14-7,7-11;5:9-13,11-4;6:0-2,2-5,2-4,0-4,14-4,6-4;7:14-4;8:4-8;9:9-4"
6,proposed_c2f_adaptive_pd,9,10,0.9,10,300,0.03333333333333333,34,24,10,15360.0,25.6,1028.7883392360288,106.53605184208129,0.9705882352941176,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329023.0,329023.0,0.0,5.0,1.0,7.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:3-14;1:7-0;2:7-6;3:6-12;4:4-9,9-11,7-9,8-9,4-11,5-9;5:8-4,3-4,5-6,4-6,3-6,8-6;6:3-14,5-4,5-2,8-4,8-14,5-9;7:3-14;8:5-14,5-4,8-0,5-0,8-6,4-14;9:8-4,4-6,7-6,3-6,9-6"
7,proposed_c2f_adaptive_pd,7,10,0.7,16,300,0.05333333333333334,30,17,13,10880.0,18.133333333333333,324.5849095995363,68.81113679318099,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109834.0,109834.0,0.0,2.0,1.0,7.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:4-11;1:4-11,4-1,3-4,4-9,4-5,4-7;2:8-14;3:4-11;4:3-11;5:14-11;6:4-11,3-4,12-4,4-1,3-11,12-11;7:8-6,8-0,8-7,6-8,2-6,6-0;8:8-2,2-8,8-11,2-11,12-11,14-11;9:4-11"
8,proposed_c2f_adaptive_pd,5,10,0.5,17,300,0.056666666666666664,36,24,12,15360.0,25.6,1610.0878053217739,165.45150798043275,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176383.0,176383.0,0.0,3.0,1.0,11.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:3-4,3-11,11-3,11-4,4-3,12-3;1:1-3;2:3-11;3:0-6,14-6,5-6,0-12,14-12,5-12;4:3-12;5:12-4,4-12,11-12,3-12,8-12,1-12;6:14-6,14-10,0-6,14-5,5-6,0-5;7:4-12;8:9-3,9-1,2-3,9-11,2-1,9-6;9:3-12,1-12"
9,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,12,5,7,3200.0,5.333333333333334,502.7346407607021,73.7666619051372,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212604.0,212604.0,0.0,5.0,1.0,5.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:2-14;1:13-14;2:10-14;3:13-9;4:10-14;5:13-9;6:5-14;7:13-14;8:5-14,14-5;9:10-5,5-0"
