trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,8,10,0.8,13,300,0.043333333333333335,18,8,10,5120.0,8.533333333333333,384.85825427260414,138.6550529220826,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148540.0,148540.0,0.0,3.0,1.0,5.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:7-5;1:7-0;2:7-8;3:7-8;4:13-8;5:7-4,7-8;6:9-11,8-11,11-9,11-8,9-8,11-4;7:7-8;8:8-11,9-8,11-8;9:13-8"
1,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,34,28,6,17920.0,29.866666666666667,3639.3472584257843,313.87811193201924,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372286.0,372286.0,0.0,5.0,1.0,6.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:2-6;1:7-3;2:2-6;3:9-10,9-14,10-9,14-10,10-14,14-9;4:10-13,13-10,9-10,10-2,10-9,14-10;5:7-2,13-2,2-7,2-6,7-6;6:14-11,14-0,9-6;7:7-0,14-0,9-0,14-11;8:2-13;9:13-2,7-2,2-13,2-7,2-6,2-8"
2,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,18,15,3,9600.0,16.0,5325.759776584121,301.18815175625787,0.9444444444444444,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165435.0,165435.0,0.0,3.0,1.0,4.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:8-3;1:8-10;2:8-10,11-10;3:8-5;4:7-6;5:7-1,7-5,11-7,4-7,7-2,4-1;6:8-0;7:8-10;8:8-3,11-3;9:8-12,7-1"
3,proposed_c2f_adaptive_pd,7,10,0.7,15,270,0.05555555555555555,18,16,2,10240.0,17.066666666666666,161.7846860752758,61.789141939812815,0.9444444444444444,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262406.0,262406.0,0.0,5.0,1.0,5.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:2-11;1:2-3;2:12-0,2-0,7-0,6-0,12-6,12-14;3:2-6;4:3-14,12-14;5:2-13;6:2-3;7:2-7,7-5;8:3-8;9:2-7,7-5"
4,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,16,8,8,5120.0,8.533333333333333,100.72691181700391,17.675901901028737,0.6875,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118139.0,118139.0,0.0,3.0,1.0,2.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:7-6;1:7-9,7-6;2:7-6;3:7-9;4:7-11;5:7-6;6:7-6;7:7-6;8:7-6,6-7,6-1,6-11,6-13,6-14;9:7-6"
5,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,26,17,9,10880.0,18.133333333333333,299.917715307742,45.750417477309256,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258725.0,258725.0,0.0,4.0,1.0,4.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:6-7,7-6,7-9,7-11,9-7,6-9;1:4-3;2:4-9;3:9-11,7-3,9-3;4:7-6,6-7,6-2,6-3,6-0,7-1;5:9-13;6:6-2,6-3,7-3,4-3,9-3;7:4-3;8:4-5;9:4-9"
6,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,28,16,12,10240.0,17.066666666666666,869.1240638394322,229.74551573186548,0.9642857142857143,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177269.0,177269.0,0.0,3.0,1.0,4.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:8-14;1:7-0;2:8-14;3:14-6;4:8-11,5-11,7-11,7-9,8-9,5-9;5:8-7,5-14,8-14;6:5-7,8-5,8-14,5-9,5-14,7-14;7:8-14;8:5-14,5-7,8-14,7-14,5-4,8-0;9:8-7,7-14"
7,proposed_c2f_adaptive_pd,7,10,0.7,15,300,0.05,26,16,10,10240.0,17.066666666666666,442.65048380702785,133.59025083123288,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104997.0,104997.0,0.0,2.0,1.0,4.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:4-9;1:4-11,4-1,4-5,4-9,12-4,4-13;2:12-8;3:4-9;4:4-1;5:12-9;6:4-11,12-4,4-9,4-1,2-9,8-9;7:8-0,8-6,8-7,2-6,8-9,2-9;8:2-8,8-2;9:4-9"
8,proposed_c2f_adaptive_pd,6,10,0.6,13,300,0.043333333333333335,23,18,5,11520.0,19.200000000000003,3340.123810681286,109.54470222211964,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255480.0,255480.0,0.0,4.0,1.0,6.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:11-2,12-2,11-3,4-2,4-3,8-2;1:8-1;2:11-3;3:14-0,14-6;4:12-3;5:12-4,11-4;6:14-0,8-14,12-14,14-5,4-14,11-14;7:12-14;8:2-9,2-7;9:12-2"
9,proposed_c2f_adaptive_pd,8,10,0.8,15,300,0.05,14,10,4,6400.0,10.666666666666668,1160.2889732280614,103.90500630301318,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217862.0,217862.0,0.0,5.0,1.0,2.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:5-7;1:5-13;2:5-14;3:2-9,5-9;4:5-2;5:5-9,2-9;6:5-2;7:5-6;8:5-2,5-14;9:5-2,5-8"
