trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,20,12,8,7680.0,12.8,513.0852831432597,160.83338241968988,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86654.0,86654.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:6-5;1:6-0;2:6-14;3:13-14;4:6-14;5:6-3;6:13-11,6-11,7-11,13-9,13-14,13-4;7:7-14;8:13-11,13-9,6-11,13-14,13-8,7-14;9:13-14"
1,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,34,29,5,18560.0,30.933333333333334,568.7556019007382,240.7505694609096,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138079.0,138079.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:1-2;1:3-1;2:1-2;3:3-9,3-10,13-10,13-9,1-10,13-14;4:13-10,3-10,3-13,13-3,13-9,13-1;5:13-2,1-2,3-2,3-13,3-1,13-3;6:3-11,3-0,3-14,3-1;7:1-0,3-0;8:13-1;9:13-2,1-2,3-2,3-13,13-3,13-4"
2,proposed_c2f_adaptive_pd,8,10,0.8,10,300,0.03333333333333333,18,9,9,5760.0,9.600000000000001,2884.3926440081455,356.25115574246644,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90830.0,90830.0,0.0,2.0,1.0,3.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:10-8;1:10-8;2:10-8,10-3;3:0-8,10-8;4:8-6;5:8-7,8-6,0-7,8-11,8-5,8-1;6:0-8;7:10-8;8:0-8,10-8;9:8-7"
3,proposed_c2f_adaptive_pd,8,10,0.8,16,300,0.05333333333333334,19,12,7,7680.0,12.8,443.70344741158976,23.96226219905591,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98310.0,98310.0,0.0,2.0,1.0,3.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:12-4;1:12-4;2:12-0,12-14,12-4,12-7,12-5,14-0;3:4-6;4:14-0;5:12-13;6:12-4;7:4-7,12-4;8:14-3,14-1,14-4,12-4;9:4-5"
4,proposed_c2f_adaptive_pd,8,10,0.8,11,300,0.03666666666666667,17,9,8,5760.0,9.600000000000001,252.50201500525986,39.62865203127679,0.8823529411764706,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117484.0,117484.0,0.0,3.0,1.0,2.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:7-8;1:7-9,7-8;2:7-8;3:7-9;4:7-11;5:7-8;6:7-8,7-1;7:7-8;8:8-1,7-1,8-7,8-6,7-6,7-8;9:7-8"
5,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,25,19,6,12160.0,20.26666666666667,444.29025484444475,83.92527865257519,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101425.0,101425.0,0.0,2.0,1.0,3.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:13-7,9-7,13-6,9-6,4-7,9-11;1:4-3;2:9-13;3:9-11;4:9-6,13-6,4-6,9-7,13-7,4-7;5:13-7;6:4-2,13-2,9-2,4-3,13-3,9-3;7:4-3;8:4-5;9:9-3"
6,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,29,17,12,10880.0,18.133333333333333,997.0762389422786,267.9120760317769,0.9310344827586207,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111390.0,111390.0,0.0,2.0,1.0,3.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:14-7;1:0-7;2:0-7;3:14-6;4:7-11,7-9,7-5,7-8,0-9,7-3;5:7-8,0-7,14-7;6:7-5,7-3,14-3,14-8,14-7,0-7;7:14-7;8:7-5,14-5,0-5,14-7,0-8,0-7;9:7-8,0-7,14-7"
7,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,30,19,11,12160.0,20.26666666666667,156.58198533409322,50.14430990923624,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106794.0,106794.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:4-0;1:4-11,4-1,12-4,14-4,4-9,4-5;2:14-0;3:4-0;4:14-0;5:12-0;6:4-11,12-4,4-1,4-0,12-0,14-0;7:14-0,14-8,14-6,12-8,12-6,14-7;8:12-8,12-2,14-2,14-8,4-8,14-0;9:4-0"
8,proposed_c2f_adaptive_pd,7,10,0.7,16,300,0.05333333333333334,32,23,9,14720.0,24.533333333333335,757.2595152850232,462.75990256417913,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127952.0,127952.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:4-11,4-3,13-11,4-2,13-3,13-2;1:4-1;2:13-1;3:13-0,13-14,1-0,1-14,13-6,1-6;4:13-1,4-1;5:4-11,4-1,13-1;6:13-14,1-14,1-0,13-0,4-14,4-0;7:13-1;8:1-9,1-2,13-9,1-7,13-1;9:13-1"
9,proposed_c2f_adaptive_pd,8,10,0.8,15,240,0.0625,12,7,5,4480.0,7.466666666666667,1861.5216321723587,127.78490387355608,0.8333333333333334,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76390.0,76390.0,0.0,2.0,1.0,3.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:10-14;1:13-10;2:10-14;3:9-10,9-1;4:9-10;5:9-3;6:13-10;7:13-10;8:10-5,10-0;9:10-0"
10,proposed_c2f_adaptive_pd,9,10,0.9,23,300,0.07666666666666666,20,15,5,9600.0,16.0,232.76847358633577,29.540731811874984,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85320.0,85320.0,0.0,2.0,1.0,3.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:1-6;1:8-9;2:8-3,1-3,8-4,8-5,9-3,1-4;3:8-3,1-3,8-4,1-4,8-5,1-5;4:1-8;5:1-9;6:8-9;7:8-9;8:1-9;9:1-3"
11,proposed_c2f_adaptive_pd,8,10,0.8,16,300,0.05333333333333334,28,22,6,14080.0,23.46666666666667,367.64702849969797,203.29062015112981,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115575.0,115575.0,0.0,2.0,1.0,3.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:6-3,6-11,6-5,6-0,6-9,8-6;1:6-3;2:8-6,4-6;3:6-3,4-3,8-3,6-5,6-0,6-14;4:8-4;5:8-6;6:4-6;7:8-2,8-13,8-4;8:4-14,4-12,6-12,6-14,8-12,8-14;9:4-6"
