trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,20,13,7,8320.0,13.866666666666667,291.65302089944987,173.1794846254834,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89559.0,89559.0,0.0,2.0,1.0,2.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:6-5;1:6-0;2:6-14;3:7-14;4:6-14;5:6-1;6:6-11,7-11,7-9,6-14,6-9,7-14;7:7-14;8:6-11,6-8,7-11,7-9,7-8,7-14;9:7-13"
1,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,30,25,5,16000.0,26.666666666666668,696.4437944783444,171.82942012372246,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133669.0,133669.0,0.0,2.0,1.0,2.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:3-5,3-12;1:13-3;2:3-2;3:3-9,13-9,3-10,13-10,13-3,3-13;4:13-10,3-10,13-3,3-13,13-2,13-9;5:13-2,13-5,3-2;6:3-0,3-11;7:3-0,13-0;8:13-3;9:13-2,3-2,13-5,13-12,13-3,3-13"
2,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,19,14,5,8960.0,14.933333333333334,348.8072230871712,178.91076223500295,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96104.0,96104.0,0.0,2.0,1.0,2.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:10-8;1:10-4;2:10-3;3:0-12;4:0-7,10-0;5:0-7,0-11,10-7,0-6,0-9,10-11;6:10-0;7:10-0;8:0-3,10-0;9:0-6,0-9,10-0"
3,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,16,12,4,7680.0,12.8,511.4107406943593,59.593631792498876,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90285.0,90285.0,0.0,2.0,1.0,2.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:12-4;1:12-4;2:12-0,12-4,12-14,12-7,12-1,12-9;3:4-6;4:12-14;5:12-13;6:12-4;7:4-7;8:12-3,12-1;9:4-5"
4,proposed_c2f_adaptive_pd,8,10,0.8,11,300,0.03666666666666667,17,9,8,5760.0,9.600000000000001,252.50201500525986,39.62865203127679,0.8823529411764706,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71425.0,71425.0,0.0,2.0,1.0,2.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:7-8;1:7-9,7-8;2:7-8;3:7-9;4:7-11;5:7-8;6:7-8,7-1;7:7-8;8:8-1,7-1,8-7,8-6,7-6,7-8;9:7-8"
5,proposed_c2f_adaptive_pd,8,10,0.8,13,300,0.043333333333333335,24,18,6,11520.0,19.200000000000003,584.1165844195826,130.7331544576508,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101323.0,101323.0,0.0,2.0,1.0,2.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:9-7,9-6,4-7,9-11,4-6,9-3;1:4-3;2:9-13;3:9-11;4:9-6,4-6,9-7,4-7,9-1,9-11;5:9-11;6:4-2,9-2,4-0,4-3,9-3;7:4-3;8:4-5;9:9-3"
6,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,25,18,7,11520.0,19.200000000000003,1223.004919705984,394.1624337769119,0.88,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108501.0,108501.0,0.0,2.0,1.0,2.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:14-7;1:7-0;2:14-7;3:14-6;4:7-11,7-9,7-5,7-8,7-1,7-4;5:7-8,14-7;6:7-5,7-3,14-3,14-7,14-8;7:14-7;8:7-5,14-5,14-7,7-14,14-8;9:7-8,14-7"
7,proposed_c2f_adaptive_pd,9,10,0.9,11,300,0.03666666666666667,26,18,8,11520.0,19.200000000000003,1735.1295089587784,430.9947814310009,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98358.0,98358.0,0.0,2.0,1.0,2.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:4-12;1:4-11,4-1,4-12,4-9,12-4,4-5;2:12-6;3:4-12;4:4-12;5:4-12;6:4-11,4-12;7:12-6,12-8,12-7,12-0,12-10,12-2;8:12-8,12-2,4-8,4-12,12-10,12-7;9:4-12"
8,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,27,23,4,14720.0,24.533333333333335,1010.2692782290078,438.98583915581,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120308.0,120308.0,0.0,2.0,1.0,2.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:4-3,4-11,4-2,4-1,1-2,1-3;1:4-1;2:1-2;3:1-14,1-0,1-6,4-6,4-14,4-0;4:1-3;5:4-11;6:1-14,1-0,4-14,4-0,1-6,4-6;7:4-1;8:1-9,1-2,4-1;9:1-6"
9,proposed_c2f_adaptive_pd,9,10,0.9,20,270,0.07407407407407407,11,7,4,4480.0,7.466666666666667,1931.0975718894322,148.5877792970015,0.9090909090909091,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74175.0,74175.0,0.0,2.0,1.0,2.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:10-14;1:13-10;2:10-14;3:13-9;4:13-10;5:13-9;6:13-10;7:13-10;8:10-0,10-5;9:10-0"
