trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,20,20,0,12800.0,21.333333333333336,517.364884414829,208.75815958465472,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85523.0,85523.0,0.0,2.0,1.0,1.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:6-2;1:6-0;2:6-0;3:6-0;4:6-9;5:6-1;6:6-11,6-14,6-9,6-12,6-3,6-4;7:6-0;8:6-11,6-8,6-1,6-14,6-4,6-12;9:6-13"
1,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,35,35,0,22400.0,37.333333333333336,388.37657284423756,96.0671318810866,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135532.0,135532.0,0.0,2.0,1.0,1.0,0.0,"13,13,13,13,13,13,13,13,13,13","0:13-2,13-5;1:13-3;2:13-2;3:13-9,13-10,13-14,13-3,13-11,13-4;4:13-10,13-2,13-9,13-4,13-3,13-7;5:13-2,13-5;6:13-11,13-0,13-4,13-3,13-14,13-8;7:13-0,13-11,13-1,13-6,13-12,13-8;8:13-0;9:13-2,13-12,13-4,13-0"
2,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,17,17,0,10880.0,18.133333333333333,1042.4066354689705,72.93947525287743,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109868.0,109868.0,0.0,2.0,1.0,1.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:0-8;1:0-10;2:0-10,0-3;3:0-12;4:0-7;5:0-7,0-11,0-6,0-9,0-14,0-12;6:0-1;7:0-10;8:0-3;9:0-4,0-9"
3,proposed_c2f_adaptive_pd,8,10,0.8,20,300,0.06666666666666667,25,25,0,16000.0,26.666666666666668,291.22956813935474,79.8743373853338,1.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99241.0,99241.0,0.0,2.0,1.0,1.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:4-7;1:4-0;2:4-0,4-7,4-12,4-14,4-9,4-1;3:4-5;4:4-14,4-9,4-3,4-1,4-0,4-12;5:4-11;6:4-1;7:4-7;8:4-1,4-8,4-9,4-13,4-10,4-3;9:4-5"
4,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,15,15,0,9600.0,16.0,1666.647052155859,589.6053691257098,0.8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67260.0,67260.0,0.0,2.0,1.0,1.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:8-0;1:8-2;2:8-7;3:8-9;4:8-4;5:8-2;6:8-5;7:8-2;8:8-1,8-2,8-6,8-7,8-5,8-0;9:8-0"
5,proposed_c2f_adaptive_pd,9,10,0.9,12,300,0.04,25,25,0,16000.0,26.666666666666668,191.88350612977644,94.5122082415796,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106664.0,106664.0,0.0,2.0,1.0,1.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:4-7,4-6,4-11,4-9,4-13,4-1;1:4-1;2:4-13;3:4-7,4-13;4:4-6,4-7,4-11,4-5,4-3,4-2;5:4-13;6:4-2,4-0,4-1,4-3,4-5;7:4-0;8:4-1;9:4-9"
6,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,21,21,0,13440.0,22.4,3928.6082005855374,757.7607561241618,0.8571428571428571,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100979.0,100979.0,0.0,2.0,1.0,1.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:7-2;1:7-0;2:7-0;3:7-12;4:7-11,7-9,7-5,7-8,7-1,7-4;5:7-8;6:7-5,7-3;7:7-5;8:7-5,7-14,7-12,7-13,7-2,7-4;9:7-8"
7,proposed_c2f_adaptive_pd,9,10,0.9,11,300,0.03666666666666667,25,25,0,16000.0,26.666666666666668,203.05981266142211,95.77271578741266,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98540.0,98540.0,0.0,2.0,1.0,1.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:4-0;1:4-11,4-1,4-5,4-3,4-9,4-13;2:4-14;3:4-0;4:4-1;5:4-2;6:4-11,4-3;7:4-2,4-14,4-0,4-6,4-8,4-10;8:4-8,4-2,4-6,4-14,4-12;9:4-0"
8,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,29,29,0,18560.0,30.933333333333334,1389.5548943492201,610.9487710754156,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121375.0,121375.0,0.0,2.0,1.0,1.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:1-11,1-3,1-2,1-4,1-12,1-13;1:1-0;2:1-2;3:1-14,1-0,1-6,1-7;4:1-3;5:1-4,1-11,1-12,1-3,1-10,1-13;6:1-14,1-0,1-6,1-10,1-4,1-13;7:1-4;8:1-9,1-2;9:1-6"
9,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,20,20,0,12800.0,21.333333333333336,448.9783099261639,176.93722864491141,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83457.0,83457.0,0.0,2.0,1.0,1.0,0.0,"13,13,13,13,13,13,13,13,13,13","0:13-7;1:13-1;2:13-14;3:13-9;4:13-2;5:13-9;6:13-10;7:13-0;8:13-0,13-5,13-14,13-10,13-7,13-2;9:13-0,13-10,13-8,13-5,13-2,13-12"
