trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,7,10,0.7,18,270,0.06666666666666667,26,20,6,12800.0,21.333333333333336,41.26215431662935,15.85912966718111,0.9615384615384616,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47362.0,47362.0,0.0,0.0,0.0,0.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:14-1;1:8-0;2:12-0;3:3-12,11-12,9-12,12-3,13-12,10-12;4:11-12,9-12,3-12,12-3,2-12,10-12;5:11-10,10-0;6:10-0;7:1-0;8:3-12,2-3,12-3,10-12,3-2,10-3;9:10-0"
1,proposed_c2f_adaptive_pd,5,10,0.5,14,300,0.04666666666666667,34,12,22,7680.0,12.8,37.65477146757364,10.793574525488175,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56955.0,56955.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:2-10,3-10;1:13-12,13-3,6-3,1-3,12-3,13-11;2:7-10,3-10,14-10;3:8-11;4:11-10;5:5-10,11-10;6:7-10,10-7,7-3,4-10,3-10,14-10;7:0-10;8:7-10,10-7,0-10,14-10,2-10,8-10;9:4-7,4-10,7-10,7-3,14-10,1-10"
2,proposed_c2f_adaptive_pd,7,10,0.7,14,300,0.04666666666666667,27,11,16,7040.0,11.733333333333334,483.0614887212828,18.046996270277113,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63445.0,63445.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:6-12;1:12-6,6-12,2-6,10-6,5-6,6-11;2:13-3,2-11;3:10-11;4:6-11,12-11;5:13-12;6:6-11;7:0-11,1-11,12-11,7-11,13-11,9-11;8:6-11,12-6,11-6,12-11,6-12,2-11;9:12-11"
3,proposed_c2f_adaptive_pd,6,10,0.6,22,300,0.07333333333333333,43,24,19,15360.0,25.6,82.51804542257585,4.485381292014706,0.8837209302325582,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77174.0,77174.0,0.0,0.0,0.0,0.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:8-12;1:13-0,13-9,13-12,0-12,10-12,6-12;2:8-12;3:2-1,4-1,5-1,1-4,11-1,1-12;4:8-12;5:14-12,8-14,14-8,8-12,12-14,7-12;6:2-4,2-14,2-10,3-14,2-6,2-12;7:3-10,2-10,2-12,3-9,2-8,3-8;8:3-10,6-10,3-8,3-12,3-14,6-12;9:9-12,0-12,8-12,13-12"
4,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,26,17,9,10880.0,18.133333333333333,365.3833486071428,27.214918880449822,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48125.0,48125.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:14-10;1:1-8;2:6-8;3:1-2,6-2;4:9-3,9-7,3-7,3-9,7-3,11-3;5:5-10;6:14-2,1-10,8-10,6-10,14-10;7:4-10;8:8-10,3-10;9:1-6,6-2,5-6,1-2,6-8,1-8"
5,proposed_c2f_adaptive_pd,7,10,0.7,9,300,0.03,31,14,17,8960.0,14.933333333333334,85.39213022815194,6.768101361547877,1.0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41406.0,41406.0,0.0,0.0,0.0,0.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:3-5,9-5,5-4,3-4,1-5,6-4;1:1-4;2:3-6,0-6,3-4,6-4,0-4,9-4;3:10-7,10-4;4:1-4;5:11-6,11-12,11-4,13-6,13-12,13-4;6:9-4;7:0-6,0-4,0-5,0-12,13-4,11-4;8:1-4;9:3-9"
6,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,45,19,26,12160.0,20.26666666666667,19.722468795944238,14.482824055745754,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55051.0,55051.0,0.0,0.0,0.0,0.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:14-13,14-12,14-9,2-13,6-13,13-12;1:3-13;2:14-13,14-12,14-9,6-13,14-1,6-12;3:7-13,8-13,5-13,3-13,2-13,7-12;4:7-12;5:4-12;6:1-12,3-12,9-12,14-12,4-12,1-2;7:14-13,14-12,6-12,9-12,13-12,7-12;8:7-12,2-12,8-12,1-12,9-12,3-12;9:7-13,14-13,8-13,13-12,2-12,14-12"
7,proposed_c2f_adaptive_pd,4,10,0.4,15,300,0.05,55,20,35,12800.0,21.333333333333336,86.24592944039952,0.5496557468379223,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18052.0,18052.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:12-14,12-11,7-14,11-14,7-11,13-14;1:10-11,9-11,0-11,2-11,1-11,13-11;2:3-14,3-11,12-11,14-11,7-11,6-11;3:3-14,3-11,8-11,14-11,7-11,2-11;4:3-14,8-14,3-11,8-11,6-11,7-11;5:0-14,1-14,10-14,0-11,1-11,10-11;6:13-14,5-14,13-11,5-11,4-11,12-11;7:5-14,13-14,7-14,4-14,5-11,13-11;8:3-11;9:7-14,7-11,4-14,11-14,4-11,14-11"
8,proposed_c2f_adaptive_pd,2,10,0.2,15,300,0.05,60,9,51,5760.0,9.600000000000001,47.02203634767524,0.19992088625833865,1.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19483.0,19483.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:12-6,7-6,1-6,0-6,11-6,2-6;1:14-5,14-6,1-6,3-6,2-6,4-6;2:13-6,9-6,0-6,10-6,2-6,11-6;3:4-5,4-6,2-6,8-6,5-6,10-6;4:12-6,7-6,14-6,1-6,12-5,4-6;5:12-5,12-6,14-6,7-6,2-6,1-6;6:3-5,5-6,3-6,4-6,14-6,1-6;7:10-5,8-5,10-6,8-6,11-6,9-6;8:3-5,3-6,14-6,5-6,4-6,2-6;9:7-5,7-6,12-6,1-6,0-6,14-6"
9,proposed_c2f_adaptive_pd,6,10,0.6,20,300,0.06666666666666667,28,15,13,9600.0,16.0,509.38737113109727,17.89010154403657,1.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61288.0,61288.0,0.0,0.0,0.0,0.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:1-10,11-10;1:0-5;2:5-10;3:3-5,3-0,3-2,3-10,3-12,2-5;4:7-12,12-1,1-12,12-7,8-12,12-8;5:6-14;6:3-9,2-9;7:14-10;8:6-10,4-10,11-10,14-10,1-10,0-10;9:14-10,11-10"
