trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,11,270,0.040740740740740744,24,17,7,10880.0,18.133333333333333,98.4729400156678,32.930590640614355,0.9583333333333334,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102212.0,102212.0,0.0,2.0,1.0,3.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:10-8,8-2;1:10-8;2:12-8;3:12-3,12-13,10-3,12-11;4:12-3,12-11,12-2,12-9,10-12,12-10;5:10-0;6:10-8;7:10-8;8:12-3,10-2,10-12,10-3,12-10,10-8;9:10-8"
1,proposed_c2f_adaptive_pd,8,10,0.8,17,300,0.056666666666666664,31,20,11,12800.0,21.333333333333336,306.50224378421836,18.55286601669001,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117017.0,117017.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:0-14;1:11-13,11-6,11-1,11-14,5-13,11-3;2:0-14,5-14;3:11-14;4:5-14;5:5-14;6:0-7,11-7,5-7,0-4,0-10,0-14;7:0-1;8:0-7,0-10,11-7,0-14,5-10,11-10;9:0-7,5-4,5-7,0-4,0-14,11-14"
2,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,19,8,11,5120.0,8.533333333333333,303.740507132844,50.79886664716005,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107014.0,107014.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:6-10;1:12-6,6-10,6-12,12-10,10-6,6-1;2:10-1;3:10-1;4:6-11;5:6-1;6:6-1;7:12-1,6-1;8:6-11,6-1,12-1,10-1;9:12-1"
3,proposed_c2f_adaptive_pd,8,10,0.8,12,270,0.044444444444444446,30,21,9,13440.0,22.4,226.99872917238184,38.917086381596626,0.9,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142151.0,142151.0,0.0,2.0,1.0,3.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:8-12;1:9-13;2:8-12;3:8-2,8-5,8-4,8-7,13-5,9-5;4:8-5;5:8-14,8-5,8-7,8-12,8-11,9-5;6:8-2,9-2,8-5,13-5,9-5;7:13-3,8-2,13-2,13-4,9-3,13-6;8:13-2,8-3;9:9-12"
4,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,17,9,8,5760.0,9.600000000000001,262.4849409402559,92.09257876205601,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88586.0,88586.0,0.0,2.0,1.0,3.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:14-5,4-5;1:4-5;2:5-1;3:14-5;4:5-9,5-3,4-3,14-3,5-11,5-13;5:14-5;6:14-5,4-5;7:4-5;8:5-7;9:5-6"
5,proposed_c2f_adaptive_pd,10,10,1.0,10,300,0.03333333333333333,25,19,6,12160.0,20.26666666666667,1055.4034757263923,55.53183045511835,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98311.0,98311.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:9-5,9-3,1-5,9-1,1-3,1-9;1:9-1;2:9-3;3:10-1;4:1-4;5:9-13,10-13,9-11,9-10,10-11,10-0;6:9-1;7:9-0;8:9-1;9:9-1,9-3,1-9,9-0,1-0,1-3"
6,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,28,17,11,10880.0,18.133333333333333,90.56409028316187,56.01205188770298,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118297.0,118297.0,0.0,2.0,1.0,3.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:7-14,3-14,7-4,3-4;1:3-13;2:7-14,3-14,7-4,3-4;3:7-3,3-7,7-13,7-14,7-4,3-4;4:7-4;5:3-4;6:3-4,4-3,3-12,3-1,3-0,3-9;7:7-14;8:7-1;9:7-13,7-4,3-4"
7,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,23,11,12,7040.0,11.733333333333334,4542.739266507282,50.953671897250636,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76547.0,76547.0,0.0,2.0,1.0,3.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:12-10;1:7-0,7-10,3-10,12-0,3-9,7-9;2:3-10;3:3-10,7-3;4:3-8,7-3,3-10,3-7,7-10,12-10;5:7-10,3-0;6:12-13,7-13;7:7-10;8:3-10;9:7-10"
8,proposed_c2f_adaptive_pd,7,10,0.7,16,300,0.05333333333333334,30,19,11,12160.0,20.26666666666667,661.7952337569666,94.4286917198823,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80256.0,80256.0,0.0,2.0,1.0,3.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:14-12,14-7,10-12,10-7,3-12,14-10;1:14-10;2:10-9,10-0,14-10,3-10,10-12;3:3-4,10-4,3-10,14-10;4:14-12,14-7,14-10,3-10;5:10-12;6:3-5,3-4,3-6,3-10,10-3,14-3;7:3-10;8:3-10;9:10-7"
9,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,22,14,8,8960.0,14.933333333333334,844.1099387206295,367.83175409156013,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108331.0,108331.0,0.0,2.0,1.0,3.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:1-5;1:5-0;2:1-5;3:5-3,1-5,14-5;4:5-8,1-8,1-12,5-7,14-5,1-10;5:1-6;6:5-2,5-13,5-3,5-0,1-3,1-5;7:14-5;8:1-6;9:14-5"
10,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,16,11,5,7040.0,11.733333333333334,719.4635011449953,81.98837901424967,0.75,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91053.0,91053.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:0-7;1:2-0;2:2-0;3:6-12;4:2-7,6-3,2-3,6-7,0-3,2-14;5:0-13;6:6-0,2-0;7:0-4;8:2-0;9:0-13"
11,proposed_c2f_adaptive_pd,8,10,0.8,8,300,0.02666666666666667,17,10,7,6400.0,10.666666666666668,292.34170927623654,72.43480769749137,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85059.0,85059.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:2-5;1:4-2;2:2-1;3:14-2;4:4-2;5:4-2;6:4-1;7:14-2,4-11;8:4-2,14-2;9:2-6,14-6,2-9,4-6,14-9,2-0"
12,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,20,14,6,8960.0,14.933333333333334,376.28733006111304,43.72649202643018,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92015.0,92015.0,0.0,2.0,1.0,3.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:8-9;1:8-14,8-12,8-2,8-1,9-14,8-9;2:7-9;3:7-9;4:8-9;5:8-9;6:7-0;7:7-0;8:9-6;9:9-13,9-6,8-13,9-3,9-11,9-14"
13,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,29,17,12,10880.0,18.133333333333333,70.08317235791525,38.85789656990419,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117907.0,117907.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:4-0;1:7-1;2:14-12,4-12,7-6,7-14,4-14;3:4-14;4:4-12,14-12,7-14,4-14;5:14-6,7-6,7-14,4-14;6:7-10,7-14,4-14;7:14-9,7-14,4-14;8:7-6,7-8,7-12,14-6,4-6,4-8;9:4-14"
14,proposed_c2f_adaptive_pd,9,10,0.9,19,300,0.06333333333333334,18,11,7,7040.0,11.733333333333334,775.4304735006453,32.13376903002023,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85624.0,85624.0,0.0,2.0,1.0,3.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:4-3;1:4-5,4-0,11-5,11-0,4-1,4-10;2:11-1;3:11-3;4:11-12,11-3,4-3;5:4-3;6:3-8;7:11-5;8:4-3;9:11-0,11-3"
15,proposed_c2f_adaptive_pd,7,10,0.7,16,270,0.05925925925925926,33,22,11,14080.0,23.46666666666667,377.44954631417534,49.22829368296793,0.8787878787878788,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118244.0,118244.0,0.0,2.0,1.0,3.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:9-5;1:9-5;2:9-5,13-5;3:9-10,13-10,9-13,9-1,13-9,5-9;4:13-11,5-11,13-6,13-5,9-5;5:13-1,13-7,13-6,13-5,9-5;6:9-5;7:9-10,9-1,9-13,13-10,13-9,5-10;8:9-0,9-10,9-5,9-13,13-5;9:5-3"
16,proposed_c2f_adaptive_pd,7,10,0.7,14,300,0.04666666666666667,15,10,5,6400.0,10.666666666666668,1471.211243993794,36.30893140548839,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79272.0,79272.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:7-0;1:10-5;2:7-12,0-12,7-13,10-12,0-13,10-13;3:10-0;4:7-10;5:7-4;6:7-0;7:7-4;8:7-0;9:10-0"
17,proposed_c2f_adaptive_pd,7,10,0.7,10,300,0.03333333333333333,19,11,8,7040.0,11.733333333333334,265.4323805104871,9.685353739720505,0.8947368421052632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85986.0,85986.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:1-0,3-0;1:0-4,0-5,0-14,0-7,1-0,0-10;2:1-2;3:3-0;4:1-6;5:0-6;6:3-8,1-8,1-0,3-0;7:1-0;8:1-0;9:1-3"
18,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,18,10,8,6400.0,10.666666666666668,1666.59567007743,73.88519155948856,0.8333333333333334,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65391.0,65391.0,0.0,2.0,1.0,3.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:10-7;1:6-2;2:6-7;3:10-7;4:10-5,14-5;5:6-7;6:14-2,6-2,14-6,6-14,10-2;7:10-7;8:10-3,10-7,14-3,14-7;9:10-7"
19,proposed_c2f_adaptive_pd,8,10,0.8,19,300,0.06333333333333334,30,14,16,8960.0,14.933333333333334,5433.221515264296,111.65992306490064,0.8666666666666667,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115183.0,115183.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:6-14,11-14,6-7,5-14,11-7,6-4;1:5-14;2:5-6;3:11-14;4:5-3,5-6,5-14,6-14,11-14;5:6-2,6-14,6-0,5-14,6-13,5-2;6:11-5,5-14;7:11-14;8:5-14;9:6-14,11-14,5-14,11-7,6-4,6-7"
20,proposed_c2f_adaptive_pd,10,10,1.0,10,300,0.03333333333333333,18,14,4,8960.0,14.933333333333334,283.0645005470924,77.02959921877704,0.9444444444444444,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101229.0,101229.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:4-0;1:4-0;2:4-1,4-13;3:0-12;4:9-0,9-3;5:9-0;6:9-13,0-13;7:0-11;8:0-3;9:9-13,9-3,4-3,0-13,4-13,9-8"
21,proposed_c2f_adaptive_pd,9,10,0.9,15,270,0.05555555555555555,14,9,5,5760.0,9.600000000000001,411.79320437644054,71.83456329424641,0.8571428571428571,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122186.0,122186.0,0.0,3.0,1.0,2.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:1-0;1:1-0;2:0-2,0-8;3:0-3;4:0-8;5:0-8,1-0;6:1-0,1-10;7:1-0,0-13;8:1-3;9:1-7"
22,proposed_c2f_adaptive_pd,7,10,0.7,9,300,0.03,12,6,6,3840.0,6.4,267.0881354321628,74.45041972577191,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77946.0,77946.0,0.0,2.0,1.0,3.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:7-4;1:9-11,5-11,9-12;2:5-2;3:5-2;4:7-6;5:5-6;6:5-6;7:9-6;8:5-6;9:9-6"
23,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,19,13,6,8320.0,13.866666666666667,124.17680245839297,55.51443740011335,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83292.0,83292.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:2-3,3-2,3-0,3-8,2-0;1:0-10,0-5,0-14,3-10,2-10,0-12;2:3-0;3:3-0;4:3-0;5:2-0;6:0-14;7:2-5;8:0-4;9:0-1"
24,proposed_c2f_adaptive_pd,6,10,0.6,17,300,0.056666666666666664,25,16,9,10240.0,17.066666666666666,240.30794933257135,33.35875700000233,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77928.0,77928.0,0.0,2.0,1.0,3.0,0.0,"12,12,12,12,12,12,12,12,12,12","0:10-5;1:10-8,7-8,10-11,10-12;2:10-12,12-1,12-10;3:7-12;4:10-12;5:12-1,12-0,7-0,7-1,10-0,10-12;6:7-12;7:10-12;8:12-1,10-1,10-12,7-1,7-12,12-10;9:7-4"
25,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,22,14,8,8960.0,14.933333333333334,6994.552587479669,647.2618926261028,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94896.0,94896.0,0.0,2.0,1.0,3.0,0.0,"4,4,4,4,4,4,4,4,4,4","0:4-8,0-4;1:0-2;2:1-6,1-11,1-0,0-1,1-3,0-6;3:4-7,0-7,0-4,1-7,1-4,4-5;4:0-4;5:1-4,0-4;6:0-7;7:1-4;8:0-4;9:0-12"
26,proposed_c2f_adaptive_pd,7,10,0.7,8,300,0.02666666666666667,11,7,4,4480.0,7.466666666666667,1402.6938501879974,70.11278359671618,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68113.0,68113.0,0.0,2.0,1.0,3.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:14-9;1:14-9;2:0-11,0-8;3:0-3;4:0-9;5:0-2;6:0-12;7:9-6;8:9-1;9:0-9"
27,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,15,7,8,4480.0,7.466666666666667,1586.9732657233765,546.4424771198712,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82281.0,82281.0,0.0,2.0,1.0,3.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:1-0;1:1-0;2:6-4;3:1-6;4:6-9;5:7-6;6:7-14,6-14,1-14,7-6,1-6;7:7-6;8:1-6;9:7-6,1-6"
28,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,15,4,11,2560.0,4.266666666666667,102.32165029139658,48.99648643601181,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79857.0,79857.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:14-1;1:13-0,13-6,13-1;2:14-1;3:14-0;4:14-0,14-1;5:13-1;6:7-1;7:7-1;8:13-1,7-1;9:7-1,13-1"
29,proposed_c2f_adaptive_pd,10,10,1.0,21,300,0.07,27,17,10,10880.0,18.133333333333333,3011.6020243909334,918.8714549518136,0.9629629629629629,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127877.0,127877.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:13-7,13-12,13-5,13-3,2-7,13-1;1:1-4;2:2-1;3:2-13;4:13-1,2-1;5:13-7,13-5,13-3,13-1,2-1;6:2-13,13-2;7:2-1;8:1-9,1-8,2-1,2-9,1-2,1-4;9:2-1,13-1"
30,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,33,20,13,12800.0,21.333333333333336,304.95944717275097,69.10517883179523,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116295.0,116295.0,0.0,2.0,1.0,3.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:4-9,5-9,12-9,12-10,12-6,5-6;1:12-2,12-1,12-10,5-10,4-10;2:4-6,4-10,4-9,5-6,4-13,12-10;3:12-10;4:5-12,5-4,5-10,12-10,4-10;5:12-10;6:12-1,12-2,5-1,5-2,12-8,4-1;7:5-10;8:4-10;9:4-12"
31,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,24,16,8,10240.0,17.066666666666666,518.4914880560175,252.6773813770215,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102808.0,102808.0,0.0,2.0,1.0,3.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:1-7;1:2-12;2:6-2,1-2,2-9,1-9,6-9;3:2-0,6-0,1-0,2-12,2-9,6-12;4:2-0;5:2-12,2-0,2-8,2-9,1-9,6-9;6:1-12;7:2-12;8:1-2;9:2-9"
32,proposed_c2f_adaptive_pd,8,10,0.8,13,270,0.04814814814814815,37,26,11,16640.0,27.733333333333334,145.78918776923922,40.545147821562395,0.9459459459459459,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127143.0,127143.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:10-8,9-10,10-2,9-2,0-2;1:10-7,0-2,10-2,9-2;2:10-7,10-4,10-13,0-10,10-11,9-10;3:10-7;4:9-2;5:0-6;6:10-4,10-2,10-7,10-13,0-2,9-2;7:0-3;8:10-8,0-10,10-7,9-10,10-13,10-4;9:10-8,10-12,0-10,9-10,10-6,10-2"
33,proposed_c2f_adaptive_pd,8,10,0.8,13,300,0.043333333333333335,11,8,3,5120.0,8.533333333333333,411.3663822671524,84.14423639273764,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71074.0,71074.0,0.0,3.0,1.0,2.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:0-3;1:0-3,0-12;2:3-5;3:0-9;4:0-6;5:3-5;6:0-4;7:0-4;8:0-11;9:0-3"
