target,pd_local,pd_best_k2,pd_best_ksafe,pd_perfect_comm_ksafe,pd_fixed_k2,best_fusion_k2,best_fusion_ksafe,fixed_fusion,links_local,links_k2,links_ksafe,trial,g_observation,g_communication,g_fusion_location,k_safe,shortlist_per_type
0,0.9222933511565232,0.9839950766120273,0.9997771024532529,0.9997771024532529,0.9839950766120273,3,4,3,"[[3, 4]]","[[3, 4], [12, 4]]","[[3, 4], [12, 4], [4, 3], [4, 7], [4, 12], [7, 4]]",0,0.015782025841225567,0.0,0.0,6,3
1,0.9788628293726354,0.9989386759979443,0.9999990930977412,0.9999995388940255,0.9989386759979443,0,1,10,"[[12, 1]]","[[12, 1], [10, 1]]","[[12, 1], [10, 1], [1, 10], [1, 12], [14, 1], [1, 14]]",0,0.0010604170997968732,4.4579628433183416e-07,0.0,6,3
2,0.9636736450697635,0.9971538555512633,0.9999189030813175,0.9999189030813175,0.9971538555512633,3,9,3,"[[12, 9]]","[[12, 9], [9, 12]]","[[12, 9], [9, 12], [9, 4], [4, 9], [9, 3], [3, 9]]",0,0.002765047530054132,0.0,0.0,6,3
3,0.6341121726185615,0.7760614044111451,0.8890452030861861,0.889053855562512,0.7760614044111451,10,14,10,"[[5, 14]]","[[5, 14], [10, 14]]","[[5, 14], [10, 14], [13, 14], [14, 10], [14, 0], [14, 1]]",0,0.11298379867504094,8.652476325976544e-06,0.0,6,3
4,0.7670386543943419,0.9144828720830573,0.9958845780613654,0.9958845780613654,0.91228589232653,7,4,3,"[[12, 4]]","[[4, 7], [12, 4]]","[[12, 4], [4, 7], [9, 4], [13, 4], [4, 12], [4, 9]]",0,0.08140170597830809,0.0,0.0021969797565273286,6,3
5,0.7769105785023585,0.9211523844033042,0.9901305881318485,0.9901807019250427,0.9211523844033042,11,11,11,"[[5, 0]]","[[5, 11], [5, 0]]","[[5, 0], [5, 11], [13, 11], [13, 4], [5, 1], [0, 11]]",0,0.06897820372854435,5.011379319419529e-05,0.0,6,3
6,0.9934608430614349,0.9997551395550679,0.999992817867652,0.999992817867652,0.9997471391523101,4,4,3,"[[4, 7]]","[[7, 4], [4, 7]]","[[4, 7], [7, 4], [12, 4], [9, 4], [4, 12], [4, 9]]",0,0.00023767831258414418,0.0,8.00040275783509e-06,6,3
7,0.9948527250115574,0.9999293850630819,0.9999999973887537,0.9999999973887537,0.9999293850630819,0,0,0,"[[11, 0]]","[[11, 0], [0, 11]]","[[11, 0], [0, 11], [5, 11], [5, 0], [13, 0], [13, 11]]",0,7.061232567173725e-05,0.0,0.0,6,3
8,0.14155573207660593,0.19179875962896717,0.2672642164076816,0.2672642164076816,0.18701499168356361,7,4,4,"[[12, 4]]","[[4, 7], [12, 4]]","[[12, 4], [4, 7], [7, 4], [12, 11], [4, 12], [11, 4]]",0,0.07546545677871444,0.0,0.004783767945403555,6,3
9,0.502793675943697,0.694878429361251,0.865353166584121,0.8893584951046176,0.694878429361251,10,14,10,"[[10, 14]]","[[10, 14], [6, 14]]","[[10, 14], [6, 14], [14, 10], [14, 6], [1, 14], [9, 6]]",0,0.17047473722287,0.024005328520496638,0.0,6,3
0,0.21670550283836099,0.3172901891382961,0.5301952551001019,0.5301952551001019,0.3172901891382961,1,1,1,"[[1, 13]]","[[1, 13], [12, 13]]","[[1, 13], [12, 13], [9, 13], [13, 1], [12, 1], [8, 1]]",1,0.2129050659618058,0.0,0.0,6,3
1,0.39435061562364837,0.5504682048869055,0.8360737620082475,0.8360737620082475,0.5504682048869055,8,8,8,"[[8, 11]]","[[11, 8], [8, 11]]","[[8, 11], [11, 8], [8, 12], [9, 11], [12, 8], [0, 8]]",1,0.28560555712134195,0.0,0.0,6,3
2,0.5692026067546748,0.6929006371027523,0.7875288541463987,0.7875288541463987,0.6929006371027523,3,3,3,"[[3, 6]]","[[6, 3], [3, 6]]","[[3, 6], [6, 3], [3, 5], [3, 4], [4, 3], [5, 3]]",1,0.09462821704364643,0.0,0.0,6,3
3,0.29430965794376773,0.41906051742473444,0.549374541994124,0.549374976083747,0.409808675426198,12,1,8,"[[12, 11]]","[[11, 12], [12, 11]]","[[12, 11], [11, 12], [11, 1], [9, 11], [8, 1]]",1,0.13031402456938962,4.340896229138025e-07,0.009251841998536459,6,3
4,0.9890864307663716,0.9995093056282918,0.9999973367069841,0.9999973367069841,0.9994970236965306,4,5,3,"[[4, 5]]","[[5, 4], [4, 5]]","[[4, 5], [5, 4], [3, 5], [5, 3], [5, 6], [6, 5]]",1,0.0004880310786923303,0.0,1.2281931761171094e-05,6,3
5,0.9806735594007611,0.9986441239013399,0.9999578647105747,0.9999590824721272,0.9986441239013399,4,4,4,"[[4, 5]]","[[5, 4], [4, 5]]","[[4, 5], [5, 4], [3, 4], [4, 3], [4, 1], [1, 4]]",1,0.0013137408092347425,1.2177615524855412e-06,0.0,6,3
6,0.9437578947549482,0.9919796753968704,0.9991933757340854,0.9991933757340854,0.9916931884150613,0,2,2,"[[0, 7]]","[[7, 0], [0, 7]]","[[0, 7], [7, 0], [0, 2], [14, 0], [7, 2], [14, 2]]",1,0.007213700337215023,0.0,0.0002864869818091087,6,3
7,0.9998317866168316,0.9999996922606975,0.9999999999990179,0.9999999999990179,0.9999996922606975,1,1,8,"[[12, 1]]","[[12, 1], [8, 12]]","[[12, 1], [8, 12], [12, 8], [12, 11]]",1,3.0773832038200055e-07,0.0,0.0,6,3
