target,pd_local,pd_best_k2,pd_best_ksafe,pd_perfect_comm_ksafe,pd_fixed_k2,best_fusion_k2,best_fusion_ksafe,fixed_fusion,links_local,links_k2,links_ksafe,trial,g_observation,g_communication,g_fusion_location,k_safe,shortlist_per_type
0,0.9424962056038173,0.9926470160704673,0.9999543475290725,0.9999543475290725,0.9926470160704673,3,4,3,"[[3, 4]]","[[3, 4], [12, 4]]","[[3, 4], [12, 4], [4, 3], [4, 7], [4, 12], [7, 4]]",0,0.007307331458605182,0.0,0.0,6,3
1,0.9819516659860194,0.9991114310705074,0.9999997113365525,0.9999999375654456,0.9991114310705074,0,1,10,"[[12, 1]]","[[12, 1], [10, 1]]","[[12, 1], [10, 1], [1, 12], [1, 10], [14, 1], [1, 14]]",0,0.0008882802660451494,2.2622889306322946e-07,0.0,6,3
2,0.9664582144770896,0.9973856509581381,0.9999908362137799,0.9999908362137799,0.9973856509581381,3,9,3,"[[12, 9]]","[[12, 9], [9, 12]]","[[12, 9], [9, 12], [9, 3], [3, 9], [9, 4], [4, 9]]",0,0.0026051852556417954,0.0,0.0,6,3
3,0.864425124259078,0.9518644804973652,0.9950009323005263,0.995007115945148,0.9518644804973652,10,14,10,"[[10, 14]]","[[10, 14], [5, 14]]","[[10, 14], [5, 14], [13, 14], [14, 10], [14, 1], [14, 0]]",0,0.04313645180316117,6.183644621682305e-06,0.0,6,3
4,0.9170426663513733,0.9825704035722113,0.9998445660963884,0.9998445660963884,0.9825466376264611,7,4,3,"[[12, 4]]","[[4, 7], [12, 4]]","[[12, 4], [4, 7], [9, 4], [4, 12], [7, 4], [4, 9]]",0,0.017274162524177128,0.0,2.3765945750153783e-05,6,3
5,0.8958144522765671,0.9802254021800199,0.9993824599055734,0.9993824599055736,0.9802254021800199,11,11,11,"[[5, 11]]","[[5, 11], [5, 0]]","[[5, 11], [5, 0], [13, 0], [13, 11], [13, 4], [0, 11]]",0,0.01915705772555354,2.220446049250313e-16,0.0,6,3
6,0.9980553814707258,0.9999711019171864,0.999998998846548,0.999998998846548,0.9999711019171864,3,4,3,"[[4, 7]]","[[4, 7], [7, 4]]","[[4, 7], [7, 4], [12, 4], [9, 4], [4, 12], [4, 9]]",0,2.7896929361559408e-05,0.0,0.0,6,3
7,0.999202246254872,0.9999974330875541,0.9999999995325265,0.9999999995325265,0.9999974330875541,0,0,0,"[[11, 0]]","[[11, 0], [0, 11]]","[[11, 0], [0, 11], [5, 11], [5, 0], [13, 0], [13, 11]]",0,2.566444972429416e-06,0.0,0.0,6,3
8,0.232597283720698,0.2877606243980255,0.3916937789976792,0.3916937789976792,0.28552315162508396,3,4,4,"[[4, 7]]","[[4, 7], [7, 4]]","[[4, 7], [7, 4], [12, 4], [12, 11], [1, 4], [4, 12]]",0,0.10393315459965369,0.0,0.002237472772941562,6,3
9,0.7303096662127461,0.8627864215615213,0.9660664521281863,0.9780080358363263,0.8608007372105184,2,14,10,"[[6, 14]]","[[6, 14], [14, 6]]","[[6, 14], [10, 14], [14, 6], [6, 10], [10, 6], [1, 14]]",0,0.10328003056666502,0.011941583708140024,0.001985684351002881,6,3
0,0.7786484247836312,0.9260559485457176,0.9586358519654643,0.9586358519654643,0.9255700048384552,13,1,1,"[[1, 13]]","[[1, 13], [13, 1]]","[[1, 13], [13, 1], [8, 13], [12, 13], [8, 1], [12, 1]]",1,0.0325799034197467,0.0,0.000485943707262404,6,3
1,0.5360985242457603,0.7245850559081994,0.9310073165747843,0.9310073165747843,0.7245850559081994,8,8,8,"[[9, 8]]","[[9, 8], [8, 11]]","[[9, 8], [8, 11], [11, 8], [7, 8], [8, 9], [9, 11]]",1,0.20642226066658487,0.0,0.0,6,3
2,0.7222117237023026,0.8377081064590077,0.9226737619537144,0.9226737619537144,0.8363486679013866,5,3,3,"[[3, 6]]","[[3, 6], [6, 3]]","[[3, 6], [6, 3], [3, 5], [3, 4], [4, 3], [5, 3]]",1,0.0849656554947067,0.0,0.0013594385576211065,6,3
3,0.5405456360496507,0.7099907035976415,0.8688968932551723,0.8688968932551723,0.7099907035976415,8,11,8,"[[8, 11]]","[[11, 8], [8, 11]]","[[8, 11], [11, 8], [12, 11], [9, 11], [11, 12], [11, 9]]",1,0.15890618965753078,0.0,0.0,6,3
4,0.990367099748223,0.9995795345613188,0.9999994246946093,0.9999994246946093,0.9995795345613188,3,5,3,"[[4, 5]]","[[4, 5], [5, 4]]","[[4, 5], [5, 4], [3, 5], [5, 3], [5, 6], [6, 5]]",1,0.0004198901332905791,0.0,0.0,6,3
5,0.9831195567156976,0.9988655582071879,0.9999973294801638,0.9999973298341518,0.9988655582071879,4,4,4,"[[4, 5]]","[[5, 4], [4, 5]]","[[4, 5], [5, 4], [3, 4], [4, 3], [4, 13], [12, 4]]",1,0.0011317712729759233,3.539879500635834e-10,0.0,6,3
6,0.9629357354708582,0.9958882087324321,0.9999569709064364,0.9999569709064364,0.9958679089840992,0,2,2,"[[0, 7]]","[[7, 0], [0, 7]]","[[0, 7], [7, 0], [0, 2], [7, 2], [14, 0], [14, 2]]",1,0.0040687621740043145,0.0,2.029974833295256e-05,6,3
7,0.999877105890738,0.9999999130760916,0.9999999999998617,0.9999999999998617,0.999999913059273,1,1,8,"[[8, 12]]","[[8, 12], [12, 8]]","[[8, 12], [12, 8], [12, 1], [9, 12]]",1,8.692377007069041e-08,0.0,1.681854655544157e-11,6,3
8,0.6911899624444119,0.8740254707924415,0.9896591545918789,0.9896591545918789,0.8740254707924415,1,13,1,"[[9, 13]]","[[9, 13], [12, 13]]","[[9, 13], [12, 13], [1, 13], [13, 1], [13, 12], [8, 1]]",1,0.11563368379943739,0.0,0.0,6,3
9,0.9998925445796321,0.999999901490165,0.9999999999927653,0.9999999999927653,0.9999999014891474,0,0,2,"[[14, 0]]","[[14, 0], [0, 14]]","[[14, 0], [0, 14], [0, 11], [0, 7], [7, 0], [11, 0]]",1,9.850260029864444e-08,0.0,1.0176304243714185e-12,6,3
0,0.9988654100355461,0.9999950910365462,0.9999999999998064,0.9999999999998064,0.9999950910365462,11,11,11,"[[12, 11]]","[[12, 11], [11, 9]]","[[12, 11], [11, 9], [9, 11], [11, 12], [11, 2], [2, 11]]",2,4.908963260219501e-06,0.0,0.0,6,3
1,0.9999326219853313,0.9999999386461043,0.9999999999794553,0.9999999999794553,0.9999999386461043,2,2,2,"[[12, 2]]","[[12, 2], [2, 12]]","[[12, 2], [2, 12], [11, 2], [2, 11], [5, 2], [2, 5]]",2,6.133335106461857e-08,0.0,0.0,6,3
2,0.5956429907212406,0.7546010155053959,0.9482441004162909,0.948244100416291,0.7544338348702999,2,11,11,"[[12, 11]]","[[11, 2], [12, 11]]","[[12, 11], [11, 2], [11, 12], [2, 11], [11, 9], [9, 11]]",2,0.193643084910895,1.1102230246251565e-16,0.00016718063509602032,6,3
3,0.982598742649867,0.9981884449304457,0.9999083947862524,0.9999083947862524,0.9981884449304457,2,2,2,"[[12, 2]]","[[12, 2], [2, 12]]","[[12, 2], [2, 12], [12, 11], [11, 2], [2, 11], [9, 2]]",2,0.0017199498558067017,0.0,0.0,6,3
4,0.509332698609735,0.5781343974063511,0.7024051791734554,0.7024620603788108,0.5781343974063511,9,9,9,"[[8, 9]]","[[8, 9], [9, 8]]","[[8, 9], [9, 8], [14, 9], [11, 9], [9, 11], [9, 14]]",2,0.12427078176710427,5.688120535540797e-05,0.0,6,3
5,0.9832588622275651,0.9989730277846711,0.9999160064161023,0.9999324302757334,0.9989716844662913,9,9,11,"[[11, 9]]","[[11, 9], [9, 11]]","[[11, 9], [9, 11], [12, 9], [7, 9], [9, 12], [9, 2]]",2,0.0009429786314312238,1.6423859631076176e-05,1.3433183798650106e-06,6,3
6,0.9998704985979887,0.9999997765861923,0.9999999999514476,0.9999999999514476,0.9999997765861923,2,2,11,"[[12, 2]]","[[12, 2], [2, 12]]","[[12, 2], [2, 12], [11, 2], [2, 11], [5, 2], [2, 5]]",2,2.2336525529187412e-07,0.0,0.0,6,3
7,0.5246132489445737,0.704312535107981,0.9097611832985217,0.9097611832985217,0.704312535107981,1,4,4,"[[14, 4]]","[[14, 4], [7, 4]]","[[14, 4], [7, 4], [6, 4], [7, 14], [14, 7], [4, 14]]",2,0.20544864819054076,0.0,0.0,6,3
8,0.9996275864289996,0.9999992278681906,0.9999999999999301,0.9999999999999301,0.9999992278681906,1,10,1,"[[0, 10]]","[[0, 10], [10, 0]]","[[0, 10], [10, 0], [3, 10], [10, 5], [10, 3]]",2,7.721317394349114e-07,0.0,0.0,6,3
9,0.9885973895954934,0.9994793724776473,0.9999998618084156,0.9999998618084156,0.9994793724776473,8,14,8,"[[14, 8]]","[[14, 8], [8, 14]]","[[14, 8], [8, 14], [7, 14], [14, 7], [7, 8], [6, 14]]",2,0.0005204893307683145,0.0,0.0,6,3
