target,pd_local,pd_best_k2,pd_best_ksafe,pd_perfect_comm_ksafe,pd_fixed_k2,best_fusion_k2,best_fusion_ksafe,fixed_fusion,links_local,links_k2,links_ksafe,trial,g_observation,g_communication,g_fusion_location,k_safe,shortlist_per_type
0,0.9347406208212972,0.9812772437980941,0.9997240652483654,0.9997240652483654,0.9812772437980941,3,4,3,"[[3, 4]]","[[3, 4], [12, 4]]","[[3, 4], [12, 4], [4, 3], [4, 7], [4, 12], [7, 4]]",0,0.018446821450271322,0.0,0.0,6,3
1,0.9821611643888458,0.9987568223321743,0.9999991054742202,0.9999994220511146,0.9987568223321743,0,1,10,"[[12, 1]]","[[12, 1], [10, 1]]","[[12, 1], [10, 1], [1, 10], [1, 12], [14, 1], [1, 14]]",0,0.0012422831420458857,3.165768943658165e-07,0.0,6,3
2,0.9694750557154647,0.9967139461716563,0.9999020293626849,0.9999020293626849,0.9966367312291942,12,9,3,"[[12, 9]]","[[9, 12], [12, 9]]","[[12, 9], [9, 12], [9, 4], [4, 9], [9, 3], [3, 9]]",0,0.00318808319102859,0.0,7.721494246215599e-05,6,3
3,0.681660906975869,0.7501824933311778,0.8769645708615286,0.8769741339287562,0.7501824933311778,10,14,10,"[[5, 14]]","[[5, 14], [10, 14]]","[[5, 14], [10, 14], [13, 14], [14, 10], [14, 0], [14, 1]]",0,0.12678207753035076,9.563067227658095e-06,0.0,6,3
4,0.8009510599477796,0.9021103215002677,0.9952179409599562,0.9952179409599562,0.8986316442602162,7,4,3,"[[12, 4]]","[[4, 7], [12, 4]]","[[12, 4], [4, 7], [9, 4], [13, 4], [4, 12], [4, 9]]",0,0.09310761945968848,0.0,0.0034786772400514643,6,3
5,0.8096310151094568,0.9096550362516678,0.988479526335448,0.9885375018020589,0.9096550362516678,11,11,11,"[[5, 0]]","[[5, 11], [5, 0]]","[[5, 0], [5, 11], [13, 11], [13, 4], [5, 1], [0, 11]]",0,0.07882449008378023,5.797546661090447e-05,0.0,6,3
6,0.9943845120069167,0.9997177997347932,0.9999912013792124,0.9999912013792124,0.9997108969283497,4,4,3,"[[4, 7]]","[[7, 4], [4, 7]]","[[4, 7], [7, 4], [12, 4], [9, 4], [4, 12], [4, 9]]",0,0.0002734016444191356,0.0,6.902806443553899e-06,6,3
7,0.995559391532318,0.9999195131005927,0.9999999970257937,0.9999999970257937,0.9999194950868184,11,0,0,"[[11, 0]]","[[0, 11], [11, 0]]","[[11, 0], [0, 11], [5, 11], [5, 0], [13, 0], [13, 11]]",0,8.048392520099146e-05,0.0,1.8013774250036363e-08,6,3
8,0.18576909397503819,0.18576909397503819,0.18576909397503819,0.18576909397503819,0.18576909397503819,3,3,4,"[[12, 4]]","[[12, 4]]","[[12, 4]]",0,0.0,0.0,0.0,6,3
9,0.5590193500218847,0.6582861029236924,0.8467601767288289,0.8714838622690108,0.6582861029236924,10,14,10,"[[10, 14]]","[[10, 14], [6, 14]]","[[10, 14], [6, 14], [14, 6], [14, 10], [9, 6], [1, 14]]",0,0.18847407380513648,0.024723685540181894,0.0,6,3
