trial,seed,F_greedy,F_swap_shortlist,F_swap_full,dF_shortlist,dF_full,rel_gap_shortlist,rel_gap_full,pd_mean_greedy,pd_worst_greedy,pd_mean_swap_full,pd_worst_swap_full,d_pd_worst_full,links_greedy,links_swap_full,evals_full
0,20260918,0.08721896026394658,0.1483954035343118,0.26494850434514283,0.06117644327036521,0.17772954408119623,0.7014122053877948,2.037739770611135,0.6113186786498978,0.11438033479521317,0.6496825572018144,0.12152970147844294,0.007149366683229769,32,40,35263
1,20260919,-2.734708812656118,-2.69884357102877,-2.6296216845869886,0.03586524162734772,0.10508712806912923,0.013114830164500471,0.03842717278811931,0.35694355371670017,0.08659991447754152,0.38716425341189303,0.08725109379587083,0.0006511793183293091,50,55,31464
2,20260920,0.021825806373913022,0.07398821409679301,0.09307496116424063,0.05216240772287999,0.07124915479032762,2.3899418344160863,3.2644454720118445,0.6735869819952985,0.14003453843614092,0.67721975031968,0.14836968020110172,0.008335141764960807,35,35,20092
3,20260921,-0.816377231461331,-0.6847499009697028,-0.6601331967594934,0.13162733049162822,0.15624403470183756,0.16123346587705878,0.19138705573911918,0.6684250951713613,0.08535962513011011,0.7158557782835482,0.08535962513011011,0.0,25,30,9309
4,20260922,-0.3504437463248435,-0.33626539454408955,-0.24154972637980562,0.01417835178075394,0.10889401994503786,0.04045828161993032,0.3107318109882853,0.6183639691838596,0.10731373246550265,0.6402618777036239,0.11596595677643726,0.008652224310934611,43,45,30498
5,20260923,-1.3400146701468438,-1.2601227813120246,-1.1367808288409016,0.07989188883481924,0.20323384130594224,0.05962015984949208,0.15166538533766286,0.490389701878635,0.1326038458102193,0.5505570895237055,0.13527345915186648,0.00266961334164717,43,50,28566
6,20260924,0.2678218756324705,0.3102756836014557,0.3176594766896762,0.04245380796898518,0.049837601057205694,0.1585150871964027,0.18608487801645215,0.7155290314059813,0.16812588302522374,0.7306169855087836,0.17001347753096635,0.001887594505742607,30,30,12610
7,20260925,1.7177543144820513,1.8513743970847247,1.9135778360981943,0.13362008260267344,0.19582352161614303,0.07778765652116174,0.11399972625025194,0.7254527899445035,0.23628785918329925,0.7682724863660332,0.24170727407515621,0.005419414891856961,26,30,13933
8,20260926,-0.4867405124207314,-0.4867405124207314,-0.461649907334852,0.0,0.025090605085879403,0.0,0.05154821603218318,0.6752318749147179,0.12207749601366882,0.6756106108663682,0.12507389642953395,0.0029964004158651303,25,25,12563
9,20260927,-1.4096819142951105,-1.3550849205957058,-1.3254844443501208,0.05459699369940463,0.08419746994498967,0.03873000933455616,0.059727991890348754,0.5442181233866947,0.08424421527848694,0.6243598872671672,0.08481115000306191,0.0005669347245749745,31,43,28960
10,20260928,0.9299110399456811,1.047677794424415,1.1378384159216641,0.11776675447873397,0.207927375975983,0.126643032956801,0.22359921223015983,0.7154385249539257,0.18016185519265715,0.7863277279827396,0.18058639303869736,0.0004245378460402127,24,31,24785
11,20260929,-2.6584277435612953,-2.632011127172522,-2.5922417988803383,0.02641661638877313,0.06618594468095695,0.009936932253567584,0.024896649849242333,0.4383453641678109,0.0833611357184955,0.471830851851025,0.08842784448439266,0.005066708765897154,41,47,32247
12,20260930,3.3154396204517416,3.402760764105938,3.4719958468454286,0.0873211436541963,0.15655622639368705,0.026337727013800497,0.04722035214514196,0.8022436944237036,0.36658037643122454,0.856695548806314,0.37023642828754655,0.003656051856322007,22,33,12166
13,20260931,-1.019357060575034,-0.9966360916630252,-0.8735578408545782,0.0227209689120087,0.14579921972045573,0.022289509525927523,0.14303056834492156,0.5640840569863019,0.10611234613564087,0.5729028157522603,0.11016041426082196,0.00404806812518109,40,40,27635
14,20260932,-0.8854545586680441,-0.8654068486695612,-0.8031445666560852,0.020047709998482932,0.08230999201195888,0.022641150584440998,0.09295789513555014,0.637230089925489,0.06641756762639779,0.6459812283421955,0.06703457457208288,0.0006170069456850891,30,34,24137
15,20260933,-1.7545034822935417,-1.6971891880539973,-1.6098577752694498,0.05731429423954437,0.14464570702409185,0.03266695952328424,0.08244253059846109,0.4843250791835123,0.06045183843020355,0.5359697699389612,0.05925919645844812,-0.0011926419717554274,46,50,21225
16,20260934,2.520329506219416,4.945346911141119,5.311254499294546,2.425017404921703,2.79092499307513,0.9621826824379465,1.1073651227698464,0.7384680844760345,0.301775981678727,0.8318460559160978,0.5377959888019557,0.23602000712322868,22,35,12809
17,20260935,-0.7257862865175119,-0.6163479284127046,-0.46907975622602865,0.10943835810480729,0.2567065302914832,0.15078592712176678,0.35369437954417643,0.6495446949909793,0.09005686101845102,0.7068877608185674,0.09707309927509163,0.007016238256640606,25,32,19808
18,20260936,-1.1327410001019689,-1.1173445968520532,-1.0569135287595601,0.015396403249915647,0.07582747134240875,0.013592165595250519,0.06694157917439449,0.5853720604884115,0.09853427739916461,0.6140856172902575,0.10011814045696656,0.0015838630578019486,36,42,32999
19,20260937,-1.6808142966951185,-1.6694841329793744,-1.611047560912263,0.011330163715744135,0.06976673578285553,0.006740877762654647,0.04150770011894447,0.5854992914586548,0.04873941497112841,0.5901927770480364,0.04870551030991284,-3.3904661215569676e-05,32,35,17602
