g_hw_db,kappa_dc,arm,n_seeds,worst_min,worst_mean,worst_std
0.0,40.0,uncoordinated,4,0.85,0.8625,0.012500000000000011
0.0,40.0,mask_only,4,0.875,0.89375,0.02072890493972127
0.0,40.0,sparse,4,0.95,0.95,0.0
0.0,60.0,uncoordinated,4,0.95,0.95625,0.010825317547305494
0.0,60.0,mask_only,4,0.95,0.9624999999999999,0.012500000000000011
0.0,60.0,sparse,4,0.925,0.95,0.024999999999999967
5.0,40.0,uncoordinated,4,0.9,0.9312499999999999,0.020728904939721217
5.0,40.0,mask_only,4,0.975,0.9812500000000001,0.010825317547305494
5.0,40.0,sparse,4,0.975,0.9812500000000001,0.010825317547305494
15.0,40.0,uncoordinated,4,1.0,1.0,0.0
15.0,40.0,mask_only,4,1.0,1.0,0.0
15.0,40.0,sparse,4,1.0,1.0,0.0
