trial,method,seconds,fine_evaluations,observations
1,adaptive,0.5721400999464095,80.0,13
1,full,1.6621942999772727,658.0,13
2,full,2.4769820999354124,812.0,15
2,adaptive,0.5964330000570044,60.0,15
3,adaptive,0.796402599895373,67.0,16
3,full,3.0729407999897376,980.0,16
4,full,1.785387400072068,952.0,10
4,adaptive,0.4766560000134632,55.0,10
5,adaptive,0.5036479999544099,55.0,10
5,full,1.9920623999787495,1036.0,10
6,full,2.3465482000028715,784.0,15
6,adaptive,0.5911324999760836,60.0,15
7,adaptive,0.820378000033088,89.0,15
7,full,2.373784099938348,812.0,15
8,full,2.0027143000625074,1036.0,10
8,adaptive,0.505288900109008,55.0,10
9,adaptive,0.6790358000434935,68.0,16
9,full,2.4153713999548927,756.0,16
10,full,3.1458972999826074,994.0,16
10,adaptive,0.7875182999996468,67.0,16
11,adaptive,0.3496567999245599,55.0,10
11,full,1.256751099950634,658.0,10
12,full,2.131414599949494,1120.0,10
12,adaptive,0.7641592000145465,62.0,10
13,adaptive,0.416759500047192,56.0,11
13,full,1.4895320000359789,714.0,11
14,full,2.0621043998980895,798.0,13
14,adaptive,0.6030941000208259,67.0,13
15,adaptive,0.44491760001983494,55.0,10
15,full,1.691196999978274,882.0,10
16,full,2.2712282999418676,882.0,13
16,adaptive,0.6896814999636263,67.0,13
17,adaptive,0.4867732001002878,55.0,10
17,full,1.926693300018087,994.0,10
18,full,1.6708859000355005,854.0,10
18,adaptive,0.4637623999733478,56.0,10
19,adaptive,0.4496856000041589,55.0,10
19,full,1.4847692000912502,756.0,10
20,full,1.5433389999670908,798.0,10
20,adaptive,0.4150826999684796,55.0,10
21,adaptive,0.49585120007395744,58.0,11
21,full,1.657521800021641,798.0,11
22,full,1.6799576000776142,784.0,11
22,adaptive,0.44343149999622256,56.0,11
23,adaptive,0.4702229999238625,55.0,10
23,full,1.7917571000289172,924.0,10
24,full,3.873478199937381,966.0,20
24,adaptive,1.19334080000408,93.0,20
25,adaptive,0.9301330999005586,72.0,16
25,full,3.203443800099194,966.0,16
26,full,2.6461434999946505,728.0,18
26,adaptive,0.7136604000115767,79.0,18
27,adaptive,0.5390056000323966,57.0,12
27,full,2.1336272000335157,924.0,12
28,full,3.5990630999440327,1190.0,15
28,adaptive,1.1379897000733763,88.0,15
29,adaptive,1.1608223000075668,83.0,21
29,full,4.811097800033167,1134.0,21
30,full,1.443552500102669,770.0,10
30,adaptive,0.39108650002162904,55.0,10
