trial,method,seconds,fine_evaluations,observations
1,adaptive,0.5177496999967843,80.0,13
1,full,1.5013311000075191,658.0,13
2,full,2.264580100076273,812.0,15
2,adaptive,0.528514500008896,60.0,15
3,adaptive,0.7297958999406546,67.0,16
3,full,2.8466152000473812,980.0,16
4,full,1.6392317999852821,952.0,10
4,adaptive,0.4320515999570489,55.0,10
5,adaptive,0.45253110001794994,55.0,10
5,full,1.8162015000125393,1036.0,10
6,full,2.142669399967417,784.0,15
6,adaptive,0.5308900000527501,60.0,15
7,adaptive,0.7311255000531673,89.0,15
7,full,2.2567435998935252,812.0,15
8,full,1.8604875999735668,1036.0,10
8,adaptive,0.4529571000020951,55.0,10
9,adaptive,0.6019999000709504,68.0,16
9,full,2.2130676999222487,756.0,16
10,full,2.8461184999905527,994.0,16
10,adaptive,0.7388062999816611,67.0,16
11,adaptive,0.3202670000027865,55.0,10
11,full,1.1522543999599293,658.0,10
12,full,1.9674343999940902,1120.0,10
12,adaptive,0.6612758000846952,62.0,10
13,adaptive,0.3626308999955654,56.0,11
13,full,1.366668300004676,714.0,11
14,full,1.9312124999705702,798.0,13
14,adaptive,0.5339797000633553,67.0,13
15,adaptive,0.4008749999338761,55.0,10
15,full,1.575068400008604,882.0,10
16,full,2.0804668000200763,882.0,13
16,adaptive,0.6056657999288291,67.0,13
17,adaptive,0.44058680010493845,55.0,10
17,full,1.8024733000202104,994.0,10
18,full,1.5297142999479547,854.0,10
18,adaptive,0.4040060000261292,56.0,10
19,adaptive,0.35419440001714975,55.0,10
19,full,1.2859349999343976,756.0,10
20,full,1.4006977999815717,798.0,10
20,adaptive,0.3652296999935061,55.0,10
21,adaptive,0.4510241999523714,58.0,11
21,full,1.5603450000053272,798.0,11
22,full,1.5720181999495253,784.0,11
22,adaptive,0.3964282999513671,56.0,11
23,adaptive,0.4069467999506742,55.0,10
23,full,1.675152700045146,924.0,10
24,full,3.6347829999867827,966.0,20
24,adaptive,1.0670414000051096,93.0,20
25,adaptive,0.8274751999415457,72.0,16
25,full,2.9247614999767393,966.0,16
26,full,2.448818700038828,728.0,18
26,adaptive,0.6393054999643937,79.0,18
27,adaptive,0.4866907000541687,57.0,12
27,full,2.0016030000988394,924.0,12
28,full,3.3640639999648556,1190.0,15
28,adaptive,1.0216152999782935,88.0,15
29,adaptive,1.0479363999329507,83.0,21
29,full,4.429042499978095,1134.0,21
30,full,1.3426800998859107,770.0,10
30,adaptive,0.35335140000097454,55.0,10
