trial,worst_detection_deficit,total_detection_deficit,remote_reports,processing_load,delta_worst_detection_deficit,delta_total_detection_deficit,delta_remote_reports,delta_processing_load,exact_lexicographic_match,column_count,pricing_iterations,lp_worst_deficit_bound
0,0.6031705487874404,0.6031705487874404,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.6031705487874404
1,0.8728216007784967,1.3966530660919074,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8728216007784967
2,0.9000797331199772,0.9672322400263131,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.9000797331199772
3,0.75197369693879,1.1570650593056462,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.75197369693879
4,0.4724371589684639,0.7527431933366762,1.0,3.0,0.0,0.0,0.0,0.0,1.0,26,3,0.4724371589684638
5,0.2663919624023776,0.2663919624023776,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.26639196240236995
6,0.004904864399278619,0.004904864399278619,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.0
7,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.0
8,0.8512528264794524,1.578670709056052,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8512528264794524
9,0.8937412210638686,1.6026425498792078,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8937412210638686
10,0.7074398382284044,0.7074398382284044,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.7074398382284045
11,0.9005688052405636,1.6027296273326432,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.9005688052405636
12,0.6120592302947367,1.190235966328844,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.5933140317081076
13,0.8053501438164055,1.1360267339514343,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8053501438164054
14,0.8263326913697037,1.2723237605999573,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8263326913697037
15,0.8666851771270154,1.654804341054319,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8666851771270154
16,0.8902253206442517,0.9676944297783808,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8902253206442517
17,0.781105214726443,1.494702328103769,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.7811052147264431
18,0.8554364075013763,1.6413556576478638,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8554364075013763
19,0.8825247536477726,1.0748025559554053,1.0,3.0,0.0,0.0,0.0,0.0,1.0,24,2,0.8825247536477726
