experiment,target_rcs_m2,rcs_dbsm,mc,seed,wall_time_s,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high
joint_bundle_v1.2_rcs_sensitivity,0.025,-16.02059991327962,20,2026,36.218879999942146,joint_bundle_cg,0.365,0.3014041621876483,0.4336842594102984,0.06614004861132505,0.30000000000000004,0.43,0.06499999999999997,0.4,0.2,0.6,0.05476190476190476,0.05020821759259259,0.059120486111111106,0.004456134259259257,0.05366666666666667,1280.0,2.1333333333333333,2.0,11.7,1.0,1.0,1033.9,0.4336872532806999,1.9093667742405107,1.4462813500294074,1.538898434871628,0.9995177072479746,0.9990354167887929,0.9991318748806293,-0.9151499752549901,1.0,1.0,31.31882509957088,0.6369606991937752,0.010082171858820996,32.51887020898656,0.0,0.0,0.978409090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,641.75,0.0,0.0,0.0,0.0,641.75,3.55,0.8652571022072983,0.0,1.9140294732949665,0.05,0.365,0.2,0.5,0.28515625,0.17109375,24.46783210903975,14.68069926542385,joint_bundle_cg,0.0,0.0,0.0
joint_bundle_v1.2_rcs_sensitivity,0.025,-16.02059991327962,20,2026,36.218879999942146,fixed_fusion_bundle,0.33,0.26857320614303315,0.3978344358691961,0.06463061486308147,0.26,0.40499999999999997,0.07249999999999998,0.45,0.25,0.65,0.05264957264957265,0.04828703703703704,0.05728726851851852,0.004500115740740742,0.051333333333333335,1280.0,2.1333333333333333,2.0,11.7,1.0,1.0,1035.3,0.4336872532806999,1.7793500985958595,1.2518591857362953,1.357357368308208,0.9944059266984298,0.989571237563674,0.9905381753906252,-1.0460956984510847,1.0,1.0,14.909378941381743,0.31022869397520536,0.005854766698186409,14.94070706984101,0.0,0.0,0.9742424242424244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.9,0.0,0.0,0.0,0.0,45.9,4.1,0.8694925523992852,0.0,2.599681330703852,0.05,0.32999999999999996,0.2,0.4,0.2578125,0.1546875,11.647952297954486,6.988771378772692,joint_bundle_cg,0.035,-0.01274606073582902,0.08274606073582902
joint_bundle_v1.2_rcs_sensitivity,0.025,-16.02059991327962,20,2026,36.218879999942146,proposed_c2f_adaptive_pd,0.335,0.2732398096874265,0.4029793722656195,0.06486978128909648,0.27,0.4,0.065,0.35,0.15,0.55,0.05452991452991453,0.04955555555555556,0.05972222222222222,0.005083333333333329,0.05316666666666667,1280.0,2.1333333333333333,2.0,10.9,1.0,1.0,1035.3,0.4336872532806999,2.074382812784626,1.0751970900250658,1.2750342345769776,0.9946927667716746,0.9893855335433495,0.9904469801890146,-0.6405281651585988,1.0,1.0,22.785189178891414,0.31553912763315556,0.004876861221449138,15.30254139288936,1035.3,66.3,0.9721969696969698,0.95,0.9,0.825,0.65,1.0,1.0,1.0,1.0,3906.05,3906.05,0.0,0.0,0.0,0.0,0.0,nan,0.0,2.196510481728397,0.05,0.335,0.2,0.45,0.26171875,0.15703125,17.800929046008918,10.68055742760535,joint_bundle_cg,0.03,-0.01289433774434938,0.07289433774434938
joint_bundle_v1.2_rcs_sensitivity,0.025,-16.02059991327962,20,2026,36.218879999942146,local_only_bundle,0.35,0.28728715939415395,0.41836664238134236,0.0655397414935942,0.28500000000000003,0.41500000000000004,0.065,0.4,0.2,0.6,0.05408163265306123,0.048259259259259266,0.05972766203703703,0.005734201388888881,0.053,0.0,0.0,0.0,10.0,1.0,1.0,1047.2,0.4336872532806999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.175786375397664,0.5166220880437906,0.007611162989404225,18.155237351351065,0.0,0.0,0.9799999999999999,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,326.8,0.0,0.0,0.0,0.0,326.8,2.0,0.8792025570215249,0.0,1.2715102051791098,0.0,0.35,0.2,0.5,350000000000.0,350000000000.0,30175786375397.664,30175786375397.664,joint_bundle_cg,0.015000000000000003,-0.0144,0.04440000000000001
joint_bundle_v1.2_rcs_sensitivity,0.05,-13.010299956639813,20,2026,35.008870300021954,joint_bundle_cg,0.495,0.4264572195415849,0.5637312405175983,0.06863701048800669,0.43999999999999995,0.5549999999999999,0.057499999999999996,0.5,0.3,0.7,0.053675213675213676,0.04822222222222222,0.059999999999999984,0.005888888888888881,0.052333333333333336,1280.0,2.1333333333333333,2.0,11.7,1.0,1.0,1035.3,0.4336872532806999,1.9866141173609333,1.4765473973605625,1.5785607413606368,0.9952690486599985,0.9905380996287187,0.9914842894349747,-0.7170052040990444,1.0,1.0,99.35633670451476,1.8376755636598454,0.026588560347793055,117.68291447480709,0.0,0.0,0.9738636363636365,0.975,0.95,1.0,1.0,1.0,1.0,1.0,1.0,641.15,0.0,0.0,0.0,0.0,641.15,3.4,0.8062440598413456,0.0,8.58205308039344,0.15,0.4950000000000001,0.35,0.6,0.38671875,0.23203125,77.62213805040216,46.5732828302413,joint_bundle_cg,0.0,0.0,0.0
joint_bundle_v1.2_rcs_sensitivity,0.05,-13.010299956639813,20,2026,35.008870300021954,fixed_fusion_bundle,0.435,0.368156071588974,0.5042939091804078,0.06806891879571692,0.3600000000000001,0.505,0.07249999999999995,0.45,0.25,0.65,0.0535405872193437,0.049073842592592586,0.05809305555555556,0.004509606481481486,0.051666666666666666,1280.0,2.1333333333333333,2.0,11.65,1.0,1.0,1035.3,0.4336872532806999,1.8621335800617054,1.416043716373088,1.5052616891108115,0.9944059266984298,0.989571237563674,0.9905381753906252,-0.8095295803251478,1.0,1.0,59.30117105803795,1.2494940456517574,0.021875126738057124,59.76282827937089,0.0,0.0,0.9655303030303031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.55,0.0,0.0,0.0,0.0,45.55,3.95,0.8161042880050674,0.0,10.398725322819221,0.1,0.43500000000000005,0.35,0.6,0.33984375,0.20390625,46.32903988909215,27.79742393345529,joint_bundle_cg,0.06000000000000001,-0.007298173901869848,0.12729817390186987
joint_bundle_v1.2_rcs_sensitivity,0.05,-13.010299956639813,20,2026,35.008870300021954,proposed_c2f_adaptive_pd,0.445,0.3778048169746545,0.5142682436763609,0.06823171335085321,0.36500000000000005,0.525,0.07999999999999999,0.45,0.25,0.65,0.05094991364421416,0.04628703703703704,0.05573171296296297,0.004722337962962963,0.049166666666666664,1280.0,2.1333333333333333,2.0,10.1,0.99,1.0,1035.3,0.4336872532806999,2.09029606300569,1.2622561589447918,1.4278641397569714,0.9952333883135207,0.9904667766270416,0.9914200989643375,-0.3556060701141601,1.0,1.0,152.01395316627148,1.2095189086966347,0.013827425733609126,60.89218987309667,1035.3,57.75,0.9704545454545453,0.925,0.85,0.6,0.2,1.0,1.0,1.0,1.0,3443.35,3443.35,0.0,0.0,0.0,0.0,0.0,nan,0.0,9.833829172338694,0.15,0.445,0.35,0.55,0.34765625,0.20859375,118.76090091114959,71.25654054668976,joint_bundle_cg,0.05000000000000001,-0.02180411951237455,0.12180411951237458
joint_bundle_v1.2_rcs_sensitivity,0.05,-13.010299956639813,20,2026,35.008870300021954,local_only_bundle,0.49,0.4215615528275274,0.5588153672908391,0.06862690723165588,0.42000000000000004,0.5599999999999998,0.0699999999999999,0.45,0.25,0.65,0.05504273504273504,0.049407175925925924,0.06081956018518519,0.005706192129629632,0.05366666666666667,0.0,0.0,0.0,10.0,1.0,1.0,1052.1,0.4336872532806999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92.07965090678445,1.7813911020853328,0.02814356471835646,81.61907111313029,0.0,0.0,0.975,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,326.8,0.0,0.0,0.0,0.0,326.8,2.0,0.834027409099592,0.0,5.071357814369264,0.1,0.48999999999999994,0.35,0.65,490000000000.0,490000000000.0,92079650906784.45,92079650906784.45,joint_bundle_cg,0.005000000000000002,-0.047196773443333985,0.057196773443333994
joint_bundle_v1.2_rcs_sensitivity,0.1,-10.0,20,2026,35.58910670003388,joint_bundle_cg,0.615,0.5459973878179245,0.6796680308208618,0.06683532150146865,0.5549999999999999,0.6749999999999999,0.06,0.7,0.5,0.9,0.05510204081632653,0.04991655092592592,0.06015289351851853,0.005118171296296305,0.054,1280.0,2.1333333333333333,2.0,11.6,1.0,1.0,1028.3,0.4336872532806999,1.863662648285421,1.457168917235816,1.5384676634457373,0.9952690486672499,0.9905380996273427,0.9914842894353242,-0.8680107122530162,1.0,1.0,348.93125961195926,6.541187496377303,0.1586028244787866,306.85526980935947,0.0,0.0,0.9772727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,638.5,0.0,0.0,0.0,0.0,638.5,3.25,0.7010019936401399,0.0,33.12340234580845,0.3,0.6150000000000001,0.4,0.75,0.48046875,0.28828125,272.60254657184316,163.56152794310592,joint_bundle_cg,0.0,0.0,0.0
joint_bundle_v1.2_rcs_sensitivity,0.1,-10.0,20,2026,35.58910670003388,fixed_fusion_bundle,0.605,0.5358822087449843,0.6701601300121683,0.06713896063359204,0.53,0.68,0.07500000000000001,0.65,0.45,0.85,0.0542314335060449,0.04987037037037038,0.058666666666666666,0.004398148148148144,0.052333333333333336,1280.0,2.1333333333333333,2.0,11.6,1.0,1.0,1035.3,0.4336872532806999,1.8394332202368975,1.3615223310339197,1.4571045088745151,0.9944059284108382,0.9895712409884909,0.9905381784729604,-0.8909366688061817,1.0,1.0,228.10992088254147,5.5794798288080205,0.0875005069553764,221.6795853412557,0.0,0.0,0.9647727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.8,0.0,0.0,0.0,0.0,44.8,3.65,0.7158608569491386,0.0,42.817145297837754,0.25,0.6050000000000001,0.4,0.7,0.47265625,0.28359375,178.21087568948553,106.92652541369132,joint_bundle_cg,0.01,-0.05015971724457627,0.07015971724457627
