trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,0,10,0.0,14,300,0.04666666666666667,30,7,23,4480.0,7.466666666666667,1.543370855938915e-06,9.504350565892381e-08,0.9666666666666667,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41685.0,41685.0,0.0,0.0,0.0,0.0,0.0,"5,5,5,5,5,5,5,5,5,5","0:4-1;1:4-1;2:7-5;3:13-5,2-5,10-5,1-5,8-5,0-5;4:14-9,12-9,9-5,14-5,12-5,10-5;5:4-5,3-5,6-5,1-5,7-5,10-5;6:6-12;7:2-5,7-5,6-5,13-5,10-5,1-5;8:5-1;9:3-12"
1,proposed_c2f_adaptive_pd,0,10,0.0,17,300,0.056666666666666664,52,2,50,1280.0,2.1333333333333333,1.347513632695484e-06,2.26989847778263e-07,0.9423076923076923,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72325.0,72325.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:5-11,12-11,2-11,6-11,1-11,8-11;1:4-11,14-11,3-11,7-11,9-11,13-11;2:5-11,2-11,12-11,1-11,6-11,7-11;3:8-12;4:9-11,1-11,8-11,0-11;5:5-11,7-11,2-11,13-11,6-11,4-11;6:14-11,0-11,3-11,4-11,8-11,7-11;7:0-11,1-11,6-11,8-11,3-11,12-11;8:13-11,13-4,3-11,7-11,14-11,4-11;9:4-11,1-11,10-11,3-11,14-11"
2,proposed_c2f_adaptive_pd,0,10,0.0,22,300,0.07333333333333333,39,6,33,3840.0,6.4,1.4581065338934723e-06,4.661902749287997e-08,1.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55176.0,55176.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:8-3,12-3,9-3,10-3,4-3,11-3;1:7-13,0-13;2:11-9;3:12-3,8-3,9-3,11-3,4-3,14-3;4:6-3,4-3,7-3,11-3,1-3,8-3;5:6-3,7-3,4-3;6:1-9;7:1-4,11-1;8:2-3,13-3,0-3,8-3,6-3,11-3;9:6-3,12-3,7-3,1-3,4-3,8-3"
3,proposed_c2f_adaptive_pd,0,10,0.0,7,300,0.023333333333333334,22,10,12,6400.0,10.666666666666668,2.361150010322724e-06,7.946763397551531e-10,0.9545454545454546,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33298.0,33298.0,0.0,0.0,0.0,0.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:11-5,3-0,9-0;1:4-5,14-0;2:12-5;3:6-5,8-0,3-0,1-0;4:14-5;5:11-5;6:12-5,9-0;7:0-9;8:3-5;9:7-5,10-0,2-0,11-0,13-0,8-0"
4,proposed_c2f_adaptive_pd,0,10,0.0,19,300,0.06333333333333334,19,11,8,7040.0,11.733333333333334,1.5203877566461078e-07,4.933338289814493e-10,0.8421052631578947,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29400.0,29400.0,0.0,0.0,0.0,0.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:8-14;1:3-12,0-12;2:14-12,10-8;3:9-14;4:11-14,10-9,8-9,3-9,0-9,12-9;5:7-14;6:6-14;7:4-8;8:6-9,1-9,5-9;9:8-14"
5,proposed_c2f_adaptive_pd,0,10,0.0,17,300,0.056666666666666664,18,10,8,6400.0,10.666666666666668,2.183529946500875e-08,5.758693431659382e-09,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32551.0,32551.0,0.0,0.0,0.0,0.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:5-11,10-11,8-11;1:14-4;2:13-4;3:7-4;4:13-10,4-10;5:11-4;6:9-13;7:14-4;8:8-4,3-11,2-11,13-11,0-11,9-11;9:9-4"
6,proposed_c2f_adaptive_pd,1,10,0.1,11,300,0.03666666666666667,14,10,4,6400.0,10.666666666666668,6.550948919972397e-09,1.1397979511667674e-10,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19572.0,19572.0,0.0,0.0,0.0,0.0,0.0,"9,9,9,9,9,9,9,9,9,9","0:14-6;1:0-6;2:7-6;3:1-8,3-5;4:14-9,12-9,13-9;5:5-6;6:8-6;7:3-6;8:6-9,10-11;9:4-6"
7,proposed_c2f_adaptive_pd,0,10,0.0,10,300,0.03333333333333333,21,9,12,5760.0,9.600000000000001,3.2738741245581574e-09,1.9171202700607674e-10,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32324.0,32324.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:4-9,2-6,10-6,5-6,8-6,14-6;1:9-6,8-6,2-6,7-6,0-6;2:14-9;3:4-9;4:14-9;5:12-9;6:4-9;7:9-5;8:1-10;9:4-9,9-6,0-6"
8,proposed_c2f_adaptive_pd,1,10,0.1,14,300,0.04666666666666667,51,3,48,1920.0,3.2,2.436147528707554e-06,3.6460131117382596e-08,0.9803921568627451,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74547.0,74547.0,0.0,0.0,0.0,0.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:3-6,11-6,12-6,4-6,2-6,13-6;1:1-6,9-6,3-6,5-6,13-6,8-6;2:3-6,11-6,1-6,8-6,13-6,9-6;3:0-6,14-6,5-6,13-6,9-6,1-6;4:3-6,13-6,12-6,4-6,2-6,11-6;5:9-5;6:4-8,4-12;7:13-6,12-6,4-6,10-6,5-6,14-6;8:9-6,2-6,1-6,3-6,7-6,5-6;9:13-6,3-6,1-6,5-6,8-6,2-6"
9,proposed_c2f_adaptive_pd,2,10,0.2,14,300,0.04666666666666667,42,12,30,7680.0,12.8,2.1217963332522055e-07,4.8815736065261374e-08,0.9523809523809523,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53561.0,53561.0,0.0,0.0,0.0,0.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:14-2,0-3,5-3,10-3,2-3,13-3;1:13-2,12-3,0-3,5-3,11-3,2-3;2:14-2,0-3,13-3,5-3,10-3,11-3;3:8-7,10-14;4:10-2,10-3,2-3,8-3,0-3,5-3;5:0-14,0-8;6:10-2,10-3,8-3,0-3,2-3,5-3;7:13-2,4-3,2-3,7-3,14-3,10-3;8:11-13;9:5-2"
