trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,coordination_rounds,coordination_converged,coordination_n_tx,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,19,9,10,5760.0,9.600000000000001,1814.6790577187433,288.74292811803014,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74059.0,74059.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:6-1;1:6-0;2:6-14;3:6-14;4:6-14;5:6-14;6:13-11,6-11,7-11,13-9,13-14,7-9;7:7-14;8:13-9,13-8,13-14,7-14,6-14;9:13-14"
1,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,22,16,6,10240.0,17.066666666666666,6726.0763359374305,234.8706072132316,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106235.0,106235.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:2-0;1:3-0;2:2-0;3:3-9,3-10,0-9,2-9,2-10,3-14;4:3-10,2-10,2-13,3-13,0-10,3-9;5:2-5;6:3-0,2-0;7:3-0;8:0-13;9:2-13,2-7"
2,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,15,9,6,5760.0,9.600000000000001,13144.935950772819,994.9756626435124,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61570.0,61570.0,0.0,2.0,1.0,3.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:10-8;1:10-8;2:10-8;3:12-8;4:8-6;5:12-6,8-6,8-7,12-11,12-1,12-4;6:8-0;7:10-8;8:8-2;9:12-8"
3,proposed_c2f_adaptive_pd,8,10,0.8,14,300,0.04666666666666667,15,12,3,7680.0,12.8,492.8337084571505,65.17022169345675,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56668.0,56668.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:4-7;1:4-1;2:6-12,6-0,4-12,4-0,1-0,4-7;3:6-1;4:1-0;5:1-11;6:4-1;7:4-7;8:1-3;9:4-5"
4,proposed_c2f_adaptive_pd,7,10,0.7,18,300,0.06,17,8,9,5120.0,8.533333333333333,657.4504603880878,35.58594611800333,0.8235294117647058,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60375.0,60375.0,0.0,2.0,1.0,3.0,0.0,"8,8,8,8,8,8,8,8,8,8","0:2-8;1:2-8,7-8;2:7-8;3:2-9;4:2-11;5:2-8;6:7-8,2-8;7:2-8;8:2-1,8-1,7-1,2-6,8-6,7-6;9:2-8"
5,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,22,18,4,11520.0,19.200000000000003,755.7351953133613,215.92621134716688,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86579.0,86579.0,0.0,2.0,1.0,3.0,0.0,"3,3,3,3,3,3,3,3,3,3","0:7-6,7-11,13-7,7-13,7-1,7-3;1:4-3;2:4-13;3:7-11;4:7-6,7-11,7-1,7-14,7-2,7-5;5:7-13;6:7-2,4-2,7-3;7:4-3;8:4-1;9:4-9"
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,21,12,9,7680.0,12.8,2325.4740357257397,440.3260397103934,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84156.0,84156.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:3-14;1:3-0;2:3-14;3:14-6;4:4-9,4-11,4-1,3-9,3-11,4-3;5:3-4;6:4-3,3-14,4-14;7:3-14;8:4-3,3-4,4-14,3-14;9:4-14,3-14"
7,proposed_c2f_adaptive_pd,7,10,0.7,24,300,0.08,20,13,7,8320.0,13.866666666666667,1305.1249886387384,39.9349163404333,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86045.0,86045.0,0.0,2.0,1.0,3.0,0.0,"7,7,7,7,7,7,7,7,7,7","0:4-7;1:4-11,3-4,4-3,4-1,4-5,4-9;2:2-7,3-7;3:4-7;4:3-7;5:3-7;6:3-4,4-11;7:2-8,2-6,3-8,2-0;8:2-8;9:4-7"
8,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,13,9,4,5760.0,9.600000000000001,6757.799280553751,324.9284241735181,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80403.0,80403.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:3-11,3-4;1:1-14;2:1-2;3:14-0;4:3-14;5:3-12,1-4;6:14-0;7:1-14;8:1-9,3-2;9:3-14"
9,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,13,8,5,5120.0,8.533333333333333,1113.5047965672823,11.034102918362837,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50630.0,50630.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:1-14;1:1-3;2:14-0;3:9-14,1-9;4:1-0;5:9-14;6:14-2;7:9-14,1-14;8:14-0;9:14-5,14-0"
10,proposed_c2f_adaptive_pd,8,10,0.8,11,300,0.03666666666666667,19,15,4,9600.0,16.0,4475.314798129557,55.82957191783701,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75182.0,75182.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:6-2;1:0-7;2:5-4,5-3,5-7,5-14,5-8,5-12;3:5-4,5-3,5-8,5-2;4:0-13;5:0-1;6:5-7;7:6-2,0-9;8:0-1;9:5-2"
11,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,17,13,4,8320.0,13.866666666666667,650.4563209968995,184.54084725682227,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90456.0,90456.0,0.0,2.0,1.0,3.0,0.0,"0,0,0,0,0,0,0,0,0,0","0:0-11,0-3,0-6;1:0-3;2:4-1;3:0-3;4:4-8;5:8-0;6:4-0;7:8-2;8:4-14,4-12,4-10,8-14,0-14,4-0;9:4-0"
12,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,30,23,7,14720.0,24.533333333333335,9689.806578112426,101.30628266539583,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112983.0,112983.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:2-8;1:3-2,5-2;2:3-7,2-7,5-7,3-11,3-12,3-4;3:3-2;4:5-2;5:2-14,2-1,2-6,2-12,2-10,5-2;6:2-0;7:5-10,5-11,3-5,5-3,5-2;8:5-2;9:5-1,5-10,5-11,5-0,5-12,3-5"
13,proposed_c2f_adaptive_pd,9,10,0.9,19,300,0.06333333333333334,17,13,4,8320.0,13.866666666666667,726.2376204761351,119.31098510451815,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88018.0,88018.0,0.0,2.0,1.0,3.0,0.0,"6,6,6,6,6,6,6,6,6,6","0:1-5,1-7,1-14,1-13,1-0,6-7;1:1-6;2:1-6;3:1-6;4:6-9;5:1-6;6:1-7;7:3-8,3-12;8:1-5;9:6-9,6-8"
14,proposed_c2f_adaptive_pd,7,10,0.7,13,300,0.043333333333333335,11,8,3,5120.0,8.533333333333333,25845.762018242145,14.409131517083381,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49335.0,49335.0,0.0,2.0,1.0,3.0,0.0,"14,14,14,14,14,14,14,14,14,14","0:0-2;1:5-14;2:0-12;3:4-1;4:0-11,0-8;5:0-4;6:4-2;7:4-5;8:4-14;9:5-14"
15,proposed_c2f_adaptive_pd,9,10,0.9,15,300,0.05,21,17,4,10880.0,18.133333333333333,165.75373949277605,79.01042813416944,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89879.0,89879.0,0.0,2.0,1.0,3.0,0.0,"11,11,11,11,11,11,11,11,11,11","0:1-11,1-0;1:1-11;2:11-2,1-2,4-2;3:4-11,1-11;4:1-0;5:1-0;6:1-5;7:11-2,11-7,11-0,1-2,1-7,11-12;8:1-2;9:1-10,1-0,1-2"
16,proposed_c2f_adaptive_pd,9,10,0.9,16,300,0.05333333333333334,14,10,4,6400.0,10.666666666666668,641.8764579724937,424.34424750791766,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91521.0,91521.0,0.0,3.0,1.0,2.0,0.0,"10,10,10,10,10,10,10,10,10,10","0:2-10;1:2-10;2:2-8;3:6-10;4:2-3;5:2-7;6:2-3;7:6-10;8:2-4;9:2-0,2-9,6-9,6-0,6-2"
17,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,15,11,4,7040.0,11.733333333333334,846.8188749506892,187.89738715580805,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65492.0,65492.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:6-0,4-0,6-10,4-1,8-0,6-14;1:8-3;2:4-2;3:4-2;4:4-3;5:6-2;6:4-12;7:6-2;8:4-1;9:4-5"
18,proposed_c2f_adaptive_pd,9,10,0.9,15,270,0.05555555555555555,23,17,6,10880.0,18.133333333333333,1808.5391963749867,321.81781611900976,0.9565217391304348,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97580.0,97580.0,0.0,2.0,1.0,3.0,0.0,"2,2,2,2,2,2,2,2,2,2","0:0-8,2-8,2-9,0-9,4-8;1:0-2;2:0-2;3:0-2;4:0-8,0-1,0-6,0-9,4-9;5:4-2;6:0-2;7:0-2;8:0-8,0-9,2-8,4-8,0-1,4-9;9:0-14"
19,proposed_c2f_adaptive_pd,9,10,0.9,18,300,0.06,25,17,8,10880.0,18.133333333333333,485.1917626895106,36.477131224605,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100026.0,100026.0,0.0,2.0,1.0,3.0,0.0,"1,1,1,1,1,1,1,1,1,1","0:0-6,1-6,0-10,1-10,0-1,1-0;1:0-1;2:0-3;3:11-8;4:11-8,1-8,11-1,11-3,0-1;5:0-1;6:0-1;7:11-1;8:1-6,0-6,11-6,1-10,0-9,0-3;9:11-1,1-7"
