arm,label,P_D,P_FA,bits,obs,worst_pd,paired_delta_P_D,paired_ci95_halfwidth,n_paired_trials
k0,kappa=0 (no cancellation),0.0505,0.04948021462105969,4995.2,31.67,0.025,-0.6325,0.026614945550069533,200
k10,kappa=10,0.049,0.050084175084175085,5356.8,38.985,0.04,-0.634,0.027100207716758508,200
k20,kappa=20,0.089,0.049478114478114475,10230.4,46.225,0.065,-0.594,0.02692870378308592,200
k30,kappa=30,0.338,0.047831223628691986,16707.2,50.34,0.295,-0.345,0.02564764332331922,200
A_off,kappa=40 (release default),0.683,0.04907642772411456,11164.8,33.37,0.65,nan,nan,0
k50,kappa=50,0.838,0.04954128440366973,6268.8,20.875,0.8,0.155,0.021378366936328923,200
k0_coord_cap3,"kappa=0 + coordination, max_tx=3",0.053,0.04944834503510532,3107.2,26.33,0.015,-0.63,0.026435274135006903,200
J_coord_cap3,"kappa=40 + coordination, max_tx=3",0.8555,0.05034775233248516,9673.6,22.51,0.805,0.1725,0.027082304296904846,200
k50_coord_cap3,"kappa=50 + coordination, max_tx=3",0.8785,0.0504844467108618,7868.8,18.39,0.825,0.1955,0.02637303781550564,200
k60_coord_cap3,"kappa=60 + coordination, max_tx=3",0.8845,0.049489795918367344,7680.0,17.885,0.855,0.20149999999999998,0.027977758251581192,200
