trial,kappa_db,analytic_db,production_db,delta_db
0,0.0,-51.1178,-51.1178,-0.0
0,10.0,-41.1184,-41.1182,-0.0002
0,20.0,-31.1244,-31.1227,-0.0017
0,30.0,-21.1998,-21.181,-0.0188
0,40.0,-11.875,-11.6969,-0.1781
0,50.0,-5.8718,-5.109,-0.7628
0,60.0,-4.1835,-3.0136,-1.1699
0,80.0,-3.9651,-2.7168,-1.2483
1,0.0,-49.3412,-49.3412,-0.0
1,10.0,-39.3414,-39.3414,-0.0001
1,20.0,-29.3441,-29.3434,-0.0007
1,30.0,-19.4,-19.3797,-0.0202
1,40.0,-9.9506,-9.803,-0.1476
1,50.0,-3.1166,-2.4626,-0.654
1,60.0,-0.5638,0.5205,-1.0843
1,80.0,-0.0662,1.1781,-1.2442
2,0.0,-50.3243,-50.3243,-0.0
2,10.0,-40.3252,-40.3249,-0.0002
2,20.0,-30.334,-30.3313,-0.0028
2,30.0,-20.4284,-20.4051,-0.0232
2,40.0,-11.2481,-11.0145,-0.2337
2,50.0,-5.5879,-4.749,-0.839
2,60.0,-4.1271,-2.9267,-1.2004
2,80.0,-3.9543,-2.7053,-1.249
3,0.0,-49.7267,-49.7267,-0.0
3,10.0,-39.7279,-39.7275,-0.0003
3,20.0,-29.7393,-29.7361,-0.0032
3,30.0,-19.8402,-19.818,-0.0222
3,40.0,-10.6838,-10.4638,-0.22
3,50.0,-4.7225,-3.9467,-0.7758
3,60.0,-3.0353,-1.8626,-1.1727
3,80.0,-2.7989,-1.5501,-1.2488
4,0.0,-51.2284,-51.2284,-0.0
4,10.0,-41.2288,-41.2287,-0.0001
4,20.0,-31.2337,-31.2316,-0.0021
4,30.0,-21.3222,-21.2975,-0.0246
4,40.0,-12.2013,-12.0154,-0.1859
4,50.0,-6.1617,-5.4095,-0.7522
4,60.0,-4.1519,-3.0235,-1.1284
4,80.0,-3.7889,-2.5402,-1.2487
5,0.0,-49.0938,-49.0937,-0.0001
5,10.0,-39.096,-39.0954,-0.0006
5,20.0,-29.1117,-29.1092,-0.0025
5,30.0,-19.2278,-19.2022,-0.0255
5,40.0,-10.1029,-9.9492,-0.1537
5,50.0,-4.5194,-3.6645,-0.8549
5,60.0,-3.0493,-1.88,-1.1693
5,80.0,-2.8725,-1.624,-1.2485
