n_reference_elements,reference_snr_db,kappa_from_budget_db,kappa_effective_db,hardware_limited
16,10.0,22.04,22.04,0
16,15.0,27.04,27.04,0
16,20.0,32.04,32.04,0
16,25.0,37.04,37.04,0
16,30.0,42.04,42.04,0
32,10.0,25.05,25.05,0
32,15.0,30.05,30.05,0
32,20.0,35.05,35.05,0
32,25.0,40.05,40.05,0
32,30.0,45.05,45.05,0
64,10.0,28.06,28.06,0
64,15.0,33.06,33.06,0
64,20.0,38.06,38.06,0
64,25.0,43.06,43.06,0
64,30.0,48.06,48.06,0
128,10.0,31.07,31.07,0
128,15.0,36.07,36.07,0
128,20.0,41.07,41.07,0
128,25.0,46.07,46.07,0
128,30.0,51.07,51.07,0
256,10.0,34.08,34.08,0
256,15.0,39.08,39.08,0
256,20.0,44.08,44.08,0
256,25.0,49.08,49.08,0
256,30.0,54.08,54.08,0
512,10.0,37.09,37.09,0
512,15.0,42.09,42.09,0
512,20.0,47.09,47.09,0
512,25.0,52.09,52.09,0
512,30.0,57.09,57.09,0
1024,10.0,40.1,40.1,0
1024,15.0,45.1,45.1,0
1024,20.0,50.1,50.1,0
1024,25.0,55.1,55.1,0
1024,30.0,60.1,60.0,1
2048,10.0,43.11,43.11,0
2048,15.0,48.11,48.11,0
2048,20.0,53.11,53.11,0
2048,25.0,58.11,58.11,0
2048,30.0,63.11,60.0,1
4096,10.0,46.12,46.12,0
4096,15.0,51.12,51.12,0
4096,20.0,56.12,56.12,0
4096,25.0,61.12,60.0,1
4096,30.0,66.12,60.0,1
