trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,8,10,0.8,22,300,0.07333333333333333,19,4,15,2560.0,4.266666666666667,72.2389077514129,9.407877471460427,0.9473684210526315,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30565.0,30565.0,0.0,0.0,"6,0,7,13,9,6,11,2,8,13","0:5-6;1:13-0;2:0-7;3:0-13;4:0-9;5:4-5,4-6;6:4-11,0-11,5-11;7:0-2;8:4-10,13-10,4-8,13-8,0-8,5-8;9:13-0,0-13"
0,exact_marginal_greedy,6,10,0.6,20,300,0.06666666666666667,19,8,11,5120.0,8.533333333333335,43.72664392440924,2.4911545040010727,0.9473684210526315,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,0,7,13,9,6,11,2,8,13","0:5-6;1:0-13;2:5-7;3:5-13,0-2;4:5-9;5:4-5;6:8-11,8-9,4-11,0-11,4-9,0-9;7:5-2;8:8-10,4-10;9:8-13,0-13,4-13"
0,sense_sinr,6,10,0.6,19,300,0.06333333333333334,19,10,9,6400.0,10.66666666666667,114.0974922609087,79.48737716913911,0.8421052631578947,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,0,7,13,9,6,11,2,8,13","0:6-5;1:13-0;2:7-6;3:13-0;4:14-9;5:4-5,4-6;6:14-11,9-11,10-11;7:7-2;8:11-10,8-10,1-10,9-10,14-10,4-10;9:8-13,1-13"
1,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,49,13,36,8320.0,13.86666666666667,641.1070436750438,88.46634236822484,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47731.0,47731.0,0.0,0.0,"2,14,5,9,10,2,11,0,13,2","0:5-2,7-2,0-2,13-2,3-2,9-2;1:3-14;2:3-5,0-5,7-5,13-5,9-5;3:9-10,9-14,9-13,3-9,13-9,13-10;4:9-10,13-10,3-10,7-10,9-13,7-13;5:5-2,13-2,7-2,3-2,5-7,0-2;6:0-11,3-11,0-14,3-14,0-4,7-11;7:0-11,3-0,5-0,7-0,9-0,13-0;8:0-13;9:13-2,5-2,3-2,7-2,13-7,5-7"
1,exact_marginal_greedy,9,10,0.9,14,300,0.04666666666666667,41,24,17,15360.0,25.60000000000001,536.9814092007247,95.9338861973844,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,14,5,9,10,2,11,0,13,2","0:12-2;1:12-14,9-3;2:12-2;3:9-10,13-10,9-13,9-3,9-14,13-9;4:9-10,13-10,9-13,13-2,0-10,13-7;5:5-2,5-7,13-2,12-2,5-8,13-5;6:0-11,0-14,9-14,9-0,0-4,9-11;7:0-11,5-0,0-8,12-0,12-11,0-7;8:12-13;9:5-2,13-2,5-7,12-7,9-2,13-7"
1,sense_sinr,10,10,1.0,11,300,0.03666666666666667,49,23,26,14720.0,24.533333333333342,723.7664209304495,293.0956919577676,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,14,5,9,10,2,11,0,13,2","0:12-2,5-2,2-5,1-2,2-12,6-2;1:3-14;2:5-2,12-2,1-2,2-5,5-6;3:9-10,10-9,14-10,13-10,10-13,3-9;4:9-10,10-9,13-10,10-13,14-10,7-13;5:5-2,1-2,7-2,2-7,2-5,3-2;6:14-11,11-14,0-11,3-11,0-14,11-0;7:0-11,11-0,5-0,4-0,0-8,1-11;8:7-13;9:13-2,5-2,7-2,2-8,2-7,8-2"
2,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,31,10,21,6400.0,10.66666666666667,2520.7291388500594,151.47354273760908,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47688.0,47688.0,0.0,0.0,"8,10,10,12,6,6,0,10,2,6","0:12-8,8-12,3-8,6-8,7-8;1:12-10;2:8-10,3-10,7-10;3:8-12;4:7-6;5:7-6,7-11,7-8,7-0,8-6,6-7;6:3-0;7:12-10,3-10;8:8-0,3-0,6-0,3-2,8-2,6-2;9:12-8,12-6,7-6,6-8,8-6"
2,exact_marginal_greedy,7,10,0.7,18,300,0.06,31,21,10,13440.0,22.400000000000006,2330.5532577802833,54.82670194323218,1.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,10,10,12,6,6,0,10,2,6","0:14-8,3-8,3-12,14-5,5-8;1:5-10;2:3-10;3:5-8,14-12,6-8;4:6-7;5:6-11,6-8,6-1,6-7,6-4,14-6;6:3-0;7:5-10;8:3-0,3-13,3-2,6-0,3-6,3-11;9:6-8,6-0,6-7,6-11,6-2,6-1"
2,sense_sinr,8,10,0.8,10,300,0.03333333333333333,31,17,14,10880.0,18.133333333333336,2607.636868365553,132.013075445761,0.967741935483871,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,10,10,12,6,6,0,10,2,6","0:14-8,8-14,9-8,10-8,4-8;1:12-10;2:3-10,10-3,11-10;3:12-8;4:7-6;5:6-11,11-6,4-6,6-8,7-0,7-11;6:0-3;7:3-10,8-10;8:3-0,2-0,13-0,8-0,13-2,0-2;9:7-8,12-8,2-8,9-8,6-8"
3,proposed_c2f_adaptive_pd,4,10,0.4,10,270,0.037037037037037035,33,9,24,5760.0,9.600000000000003,53.162061406353146,4.257923247807719,0.9696969696969697,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30763.0,30763.0,0.0,0.0,"11,4,12,6,14,11,12,7,3,5","0:4-11;1:2-4;2:2-5,12-5,12-7,2-12,14-7,4-7;3:4-6,2-6;4:14-0,12-14,13-14,2-14,4-14;5:13-11;6:4-12;7:4-7,2-7,12-7,13-7,14-7;8:13-3,14-3,13-1,14-1,12-3,12-1;9:4-5,12-5,2-5,14-5,13-5"
