method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_lagrangian,0.8708,0.8640830735499495,0.8772321427965387,0.006574534623294603,0.864,0.8776000000000002,0.006800000000000084,0.909,0.89,0.926,0.04941688962063525,0.04863605419621571,0.0502095994860811,0.0007867726449326956,0.048666289351851855,0.05014509325396825,0.0007394019510581981,0.048023333333333335,0.047263974833088744,0.04879426710910379,0.0007651461380075233,1445.12,1478.5850620102992,2.408533333333334,2.4643084366838326,2.258,2.3102891593910924,14.357,4.263748468190872,1.0,1.0,1060.738,0.4435757955184455,2.2574319266678318,1.5182104959088372,1.6349739145671964,0.9994632242602649,0.9986664303062309,0.9989484991949171,0.0650727659231719,1.0,1.0,146013.1454014698,130.90702659544397,2.9746086975815955,8579.952135260217,0.0,0.0,0.9561648141002134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.129,12307.139394115904,0.783,0.8708,0.856,0.886,-0.0037,-0.0051360887322330915,-0.002263911267766909,proposed_c2f,-0.0037,-0.0051360887322330915,-0.002263911267766909,0.6025797165633304,0.3615478299379981,101038.76868458661,60623.26121075195
proposed_c2f,0.8671,0.8603052672799811,0.8736127907588427,0.006653761739430775,0.8602000000000001,0.874,0.006899999999999962,0.898,0.878,0.917,0.04957723241905548,0.04879438615043577,0.05037197338250306,0.0007887936160336437,0.04880634193121693,0.05030904960317461,0.000751353835978838,0.04808,0.04732021229443437,0.04885136152983895,0.0007655746177022901,909.44,1109.5759939724724,1.5157333333333338,1.8492933232874542,1.421,1.733712490581988,13.173,3.602092586261491,1.0,1.0,1060.738,0.4435757955184455,2.3120622619242055,1.6970057555226359,1.804749274754595,0.9995286670056189,0.998914182616486,0.9991181634623101,0.33721878707454594,1.0,1.0,140468.2356396696,125.52448542748253,2.828323160956454,8476.74414030523,1060.738,250.0,0.9569542782026532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.121,11376.38512721689,0.781,0.8671,0.855,0.883,0.0,0.0,0.0,proposed_c2f,0.0,0.0,0.0,0.9534438775510203,0.5720663265306121,154455.74819632916,92673.44891779748
proposed_c2f_adaptive,0.8672,0.8604073473567385,0.8737106338795896,0.006651643261425533,0.8603000000000001,0.8741000000000001,0.006900000000000017,0.899,0.88,0.917,0.049592741519744306,0.04880981818236777,0.050387557916061566,0.0007888698668468974,0.048815206679894176,0.05031918419312169,0.0007519887566137563,0.0481,0.04734006088026928,0.04887151243179727,0.0007657257757639965,918.4,1125.7043306303835,1.5306666666666668,1.8761738843839728,1.435,1.7589130166099742,13.177,3.601620607448819,1.0,1.0,1060.738,0.4435757955184455,2.295609445907643,1.669713616131592,1.7772560840663465,0.9995024556916078,0.9988866999451969,0.9990824669212196,0.2910886824222946,1.0,1.0,140470.04208789225,125.43340174202928,2.8290082158635266,8409.025931528968,1060.738,63.449,0.9572242555077698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16850.509,16850.509,0.0,0.0,0.0,nan,0.0,0.0,0.121,11374.711444772916,0.781,0.8672000000000001,0.855,0.884,-0.0001,-0.0004395952133186051,0.00023959521331860513,proposed_c2f,-0.0001,-0.0004395952133186051,0.00023959521331860513,0.9442508710801394,0.5665505226480836,152950.82979953423,91770.49787972053
proposed_c2f_adaptive_pd,0.8848,0.8783941310191834,0.8909103329779275,0.006258100979372072,0.8782000000000001,0.8914000000000001,0.006599999999999995,0.923,0.906,0.939,0.049742586490939045,0.0489590536177387,0.05053799255245429,0.0007894694673577923,0.0489790873015873,0.05052062533068783,0.0007707690145502648,0.04831,0.047548473232381205,0.049083094701514215,0.0007673107345665051,1248.0,1253.730433546223,2.0800000000000005,2.0895507225770387,1.95,1.9589538024159732,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,2.3764501197768846,1.6857841205675295,1.7994422638892862,0.9993712257799712,0.9983889757832352,0.9987173195347278,0.452078623218058,1.0,1.0,183438.18842878265,189.07721053539885,3.8609542951702687,12667.80030590651,1060.738,70.151,0.9531279710753775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18827.922,18827.922,0.0,0.0,0.0,nan,0.0,0.0,0.173,16968.194045150267,0.816,0.8848,0.87,0.902,-0.0177,-0.021858347386761838,-0.013541652613238165,proposed_c2f,-0.0177,-0.021858347386761838,-0.013541652613238165,0.708974358974359,0.4253846153846153,146985.7279076784,88191.43674460702
proposed_c2f_pd,0.885,0.8785987778677082,0.8911055325244115,0.006253377328351628,0.8784000000000001,0.8916000000000002,0.00660000000000005,0.924,0.907,0.94,0.049734033425992655,0.048950605012781825,0.05052933403065196,0.0007893645089350684,0.04896404794973545,0.050529360449735446,0.0007826562499999995,0.048306666666666664,0.04754516506848797,0.049079736284108576,0.0007672856078103016,1230.08,1246.9190806142956,2.050133333333334,2.078198467690493,1.922,1.9483110634598368,14.814,4.186096511070905,1.0,1.0,1060.738,0.4435757955184455,2.412707543708312,1.7311433901002968,1.844734179146162,0.9993404342986646,0.9984086472267769,0.9987316070790028,0.5449139158573441,1.0,1.0,183428.28864734783,189.5177893165711,3.8609542951702687,12721.207244150119,1060.738,250.0,0.9528104807784495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.173,16969.509281928298,0.816,0.885,0.87,0.902,-0.0179,-0.022045788767955803,-0.013754211232044195,proposed_c2f,-0.0179,-0.022045788767955803,-0.013754211232044195,0.7194654006243497,0.43167924037460964,149118.9911610203,89471.39469661214
proposed_c2f_full,0.862,0.8551008164212287,0.8686211585448683,0.0067601710618198085,0.8548975000000001,0.8691000000000001,0.007101250000000003,0.9,0.881,0.918,0.04950182093039236,0.04871970454890374,0.05029582909338982,0.0007880622722430397,0.04874173710317461,0.05027529563492063,0.0007667792658730098,0.04802666666666667,0.047267282910920784,0.04879762561257062,0.0007651713508249197,904.32,1105.261841194203,1.5072000000000003,1.8421030686570055,1.413,1.7269716268659425,13.166,3.5928323089172975,1.0,1.0,1060.738,0.4435757955184455,2.294758040519839,1.6857416128810412,1.790701794760424,0.9995046109468564,0.9988981905655593,0.9990935004437685,0.2960893354082563,1.0,1.0,141987.0693159208,109.68649694410499,2.6804696972590842,7774.690928313428,1060.738,1060.738,0.9571842451801201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.111,10003.453619148831,0.767,0.8619999999999999,0.84,0.88,0.0051,0.00165626433951453,0.00854373566048547,proposed_c2f,0.0051,0.00165626433951453,0.00854373566048547,0.9532024062278839,0.5719214437367303,157009.7634862889,94205.85809177332
proposed_c2f_full_pd,0.8784,0.8718485356962856,0.8846608436605404,0.006406153982127405,0.8716000000000002,0.8851000000000001,0.006749999999999978,0.92,0.902,0.937,0.04964021381578947,0.04885809169016037,0.05043419229682509,0.0007880503033323577,0.04886252414021164,0.05042117658730159,0.0007793262235449745,0.04829,0.047528624264148354,0.049062944181953845,0.0007671599589027453,1223.68,1236.0877224533865,2.0394666666666668,2.0601462040889778,1.912,1.9313870663334163,14.816,4.187856731073784,1.0,1.0,1060.738,0.4435757955184455,2.4037565595211823,1.7200405326189865,1.8335054406921003,0.9992850730054241,0.998320707781464,0.9986474179345313,0.5233721438511907,1.0,1.0,159073.40980543388,155.9914958454654,3.5307430574437717,10942.142141693175,1060.738,1060.738,0.953861172161295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.157,13642.629604267355,0.802,0.8784000000000001,0.862,0.892,-0.011300000000000001,-0.01458270166573605,-0.008017298334263952,proposed_c2f,-0.011300000000000001,-0.01458270166573605,-0.008017298334263952,0.7178347280334727,0.43070083682008364,129995.92197750545,77997.55318650327
all_neighbor,0.9997,0.9991182482825978,0.9998979696471224,0.00038986068226232184,0.9993,1.0,0.00035000000000001696,0.998,0.995,1.0,0.049511520122703476,0.0487408710505791,0.05029370981952902,0.0007764193844749592,0.0487285,0.05029894444444443,0.0007852222222222149,0.04949666666666667,0.04872624291213745,0.05027862796415604,0.0007761925260092936,589272.32,92965.21867568321,982.1205333333332,154.9420311261445,920.738,145.258154180755,1060.738,145.258154180755,1.0,1.0,1060.738,0.4435757955184455,1.4859137495531236,0.5955667267809325,0.6610421410656595,0.9594595758349403,0.4461678578132052,0.8858270564250778,-2.3110696984950776,1.0,1.0,8603429.65780663,25021.740592538605,1176.6967127610412,917656.8801777343,0.0,0.0,0.9802526849815925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.997,2621163.5060412292,0.999,0.9997,0.999,1.0,-0.13260000000000002,-0.1394486364339922,-0.12575136356600786,proposed_c2f,-0.13260000000000002,-0.1394486364339922,-0.12575136356600786,0.001696499166972581,0.0010178995001835485,14600.091274958631,8760.054764975179
random,0.7145,0.7055665619153009,0.7232686967317372,0.008851067408218172,0.7055974999999999,0.7231025,0.008752500000000052,0.823,0.799,0.846,0.04893883916463249,0.048166112518655164,0.04972331502397826,0.0007786012526615482,0.04814968055555555,0.0497045,0.0007774097222222227,0.04811666666666667,0.04735660139636411,0.04888830482219681,0.0007658517129163489,8039.68,2455.478751201077,13.399466666666669,4.092464585335129,12.562,3.836685548751683,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,1.6499942318035137,0.6510837495657593,0.7222451924407319,0.9627506283501398,0.724122855038467,0.8957757982181317,-1.892472514614283,1.0,1.0,25616.342843845992,18.10867441000036,0.47559180334469797,1329.7552766413432,0.0,0.0,0.9739277316002096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.004,1372.8065750477717,0.55,0.7144999999999999,0.686,0.736,0.1526,0.14241172086091985,0.16278827913908017,proposed_c2f,0.1526,0.14241172086091985,0.16278827913908017,0.0888716963859258,0.05332301783155548,3186.2391094976406,1911.743465698584
nearest,0.7052,0.6961858942643435,0.7140565070147811,0.008935306375218777,0.6951,0.7152000000000001,0.010050000000000003,0.784,0.757,0.809,0.04853854771361646,0.04776834821322592,0.04932052242327665,0.0007760871050253651,0.04771343716931217,0.04932607473544973,0.0008063187830687803,0.04766,0.04690340046682182,0.04842818411379377,0.000762391823485975,8615.68,2637.1227763606307,14.35946666666667,4.395204627267718,13.462,4.120504338063485,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,1.6995017270386445,0.6631294475743155,0.7307651659344536,0.9605781438551105,0.7398595819027498,0.8894916071744265,-1.837904830559732,1.0,1.0,1715964.753762431,22.0946856836902,0.26504380213327156,7471.99603582085,0.0,0.0,0.9728847592792236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.009,482826.5758322836,0.57,0.7051999999999999,0.692,0.72,0.16190000000000004,0.1508698729505628,0.17293012704943728,proposed_c2f,0.16190000000000004,0.1508698729505628,0.17293012704943728,0.08185076511662456,0.049110459069974736,199167.6517422224,119500.59104533344
shortest_bistatic,0.9075,0.9016637319078136,0.9130232979228066,0.005679783007496497,0.9016000000000002,0.9134000000000001,0.005899999999999961,0.926,0.91,0.942,0.0492246851909668,0.048440929946559734,0.050020454695424384,0.0007897623744323248,0.048409639550264554,0.050007574735449735,0.0007989675925925907,0.0473,0.046546146166363246,0.048065447633974294,0.0007596507338055239,4650.24,1801.7158328659932,7.750400000000001,3.0028597214433232,7.266,2.8151809888531143,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,2.4386554991465537,1.0044146129541907,1.2000578494370642,0.9905791116554484,0.9487917537297585,0.9752618758410165,0.6545922647044461,1.0,1.0,835404.3227798044,547.6881736535893,5.910354147467263,47314.304898994036,0.0,0.0,0.9468601882121243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.255,301571.14601222146,0.856,0.9075,0.895,0.923,-0.040400000000000005,-0.04745621799240616,-0.03334378200759385,proposed_c2f,-0.040400000000000005,-0.04745621799240616,-0.03334378200759385,0.19515121800165153,0.1170907308009909,179647.57147583875,107788.54288550324
