method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_lagrangian,0.688,0.6788483896789629,0.6970072216293967,0.009079415975216887,0.6784000000000001,0.6978,0.009699999999999931,0.745,0.719,0.7710249999999996,0.048458985301090565,0.04769028363202742,0.04923943673235059,0.000774576550161582,0.0476769212962963,0.04925256481481481,0.0007878217592592572,0.04769333333333333,0.046936480177128564,0.04846177021647574,0.0007626450196735884,6513.92,2783.986464334911,10.856533333333335,4.639977440558187,10.178,4.349978850523299,28.293,6.595388616298512,0.9999,1.0,1060.738,0.4435757955184455,2.072775478148858,0.838147173492597,0.9508275398311533,0.9960081204905485,0.9716113595392264,0.9906109320156513,-0.5166861551869947,1.0,1.0,5465.539042253718,14.03334955779603,0.25688553899864985,696.7008376835803,0.0,0.0,0.9605039381334162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.002,1099.2459013132284,0.509,0.688,0.66,0.708,-0.023399999999999997,-0.029332554990281395,-0.0174674450097186,proposed_c2f,-0.023399999999999997,-0.029332554990281395,-0.0174674450097186,0.10561996462959324,0.06337197877775592,839.0552911693295,503.4331747015976
proposed_c2f,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.6551974999999999,0.6742024999999999,0.009502500000000025,0.746,0.718,0.773,0.04867611569967031,0.04790440352274325,0.049459613901513794,0.000777605189385272,0.04787887731481481,0.04940062037037037,0.0007608715277777796,0.04773666666666666,0.046979483954022,0.04850543199646762,0.0007629740212228078,5532.8,2712.0429495124154,9.221333333333334,4.520071582520694,8.645,4.237567108613148,24.164,6.120874447331852,0.9999,1.0,1060.738,0.4435757955184455,2.1283211695165956,0.8956182086414979,1.0203764838645362,0.9958761716617255,0.975946423007318,0.9898826960179583,-0.38732792310788533,1.0,1.0,5437.0330900725185,11.601042163768586,0.19256074139376628,628.4114155944427,1060.738,249.274,0.9568733257141526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.004,2203.9606688832105,0.484,0.6646000000000001,0.649,0.679,0.0,0.0,0.0,proposed_c2f,0.0,0.0,0.0,0.12012001156737999,0.07207200694042798,982.6910587898566,589.6146352739139
proposed_c2f_adaptive,0.6681,0.6588074460051583,0.6772634489998166,0.009228001497329164,0.6585,0.6781,0.009800000000000031,0.752,0.724975,0.779,0.04885439008613352,0.048080699392218665,0.04963988140176498,0.0007795910047731572,0.04808201388888889,0.049620747685185186,0.0007693668981481466,0.04783333333333333,0.04707541608051812,0.04860283072763876,0.0007637073235603198,4599.04,2556.109363544526,7.665066666666668,4.260182272574211,7.186,3.993920880538321,24.354,6.7806108869334185,1.0,1.0,1060.738,0.4435757955184455,2.203369097957425,1.0110302836394438,1.1391154394684377,0.9959030402678744,0.9816795358569197,0.9903094316562382,-0.2100134016863566,1.0,1.0,5655.886516213772,12.346939092957957,0.19153647580030972,691.3891756215469,1060.738,106.869,0.9548514934087052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30185.199,30185.199,0.0,0.0,0.0,nan,0.0,0.0,0.003,2155.818750747229,0.497,0.6681,0.648,0.687,-0.0034999999999999996,-0.009594124280875041,0.0025941242808750426,proposed_c2f,-0.0034999999999999996,-0.009594124280875041,0.0025941242808750426,0.1452694475368773,0.08716166852212634,1229.7972003317589,737.8783201990551
proposed_c2f_adaptive_pd,0.7025,0.6934633170703361,0.7113811578761684,0.008958920402916126,0.693,0.712,0.009500000000000008,0.733,0.706,0.761,0.04848176074994905,0.04771179835944732,0.04926350583072801,0.0007758537356403472,0.047670851851851846,0.04931935648148148,0.0008242523148148176,0.04758,0.046824009581641936,0.048347577047800745,0.0007617837330794047,5424.64,2690.8498416671264,9.04106666666667,4.48474973611188,8.476,4.204452877604885,28.387,7.015214251895661,1.0,1.0,1060.738,0.4435757955184455,2.134136345738067,0.8904698239750934,1.0180042523558135,0.9910154762280801,0.9538113605729786,0.9767075904107341,-0.395021760409827,1.0,1.0,6244.459445777442,16.813682115017514,0.24714059499261756,889.4918229354257,1060.738,124.487,0.9559161501331693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34180.262,34180.262,0.0,0.0,0.0,nan,0.0,0.0,0.004,1079.6015700367418,0.527,0.7024999999999999,0.686,0.721,-0.037899999999999996,-0.045820417941268274,-0.029979582058731722,proposed_c2f,-0.037899999999999996,-0.045820417941268274,-0.029979582058731722,0.12950168121755545,0.07770100873053325,1151.1288206733427,690.6772924040055
proposed_c2f_pd,0.7008,0.6917492936645289,0.7096964869244,0.008973596629935576,0.6909,0.7105,0.009800000000000031,0.709,0.68,0.7370249999999996,0.04900325467860049,0.048230041366246826,0.049788215526431256,0.0007790870800922153,0.048182289351851856,0.04975973842592592,0.0007887245370370305,0.04818,0.047419455588605094,0.04895211567463437,0.0007663300430146361,6334.72,2811.16646991956,10.55786666666667,4.685277449865935,9.898,4.392447609249312,27.378,6.386792309132965,1.0,1.0,1060.738,0.4435757955184455,2.0620038470366677,0.8173692473647888,0.9355855875845803,0.9895715115285049,0.937093125108101,0.9739167066643292,-0.5811707649656095,1.0,1.0,6060.126874889421,16.268191403170185,0.2569532823128428,824.3305316328673,1060.738,250.0,0.9581455122605742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.006,1352.725365246262,0.512,0.7008,0.683,0.721,-0.0362,-0.043659350078900955,-0.028740649921099055,proposed_c2f,-0.0362,-0.043659350078900955,-0.028740649921099055,0.11062840977975348,0.06637704586785208,956.6526815533158,573.9916089319894
proposed_c2f_full,0.6621,0.6527686348450624,0.6713068683096456,0.009269116732291582,0.6527,0.672,0.009650000000000047,0.751,0.724,0.779,0.048678541136556404,0.04790751243641456,0.04946133420595607,0.0007769108847707554,0.04787988657407406,0.04946297222222222,0.0007915428240740791,0.04782666666666667,0.047068800044157234,0.04859611360140192,0.0007636567786223417,5973.76,2796.7666084963184,9.956266666666668,4.661277680827199,9.334,4.369947825775498,26.216,6.47405159077374,1.0,1.0,1060.738,0.4435757955184455,2.094982279897547,0.8682945279811619,0.9912555885435546,0.9953216496006932,0.9709411605000579,0.9883857466682819,-0.45792856915367364,1.0,1.0,5922.598266624444,10.89304146093739,0.2145005823651883,614.0047166698569,1060.738,1060.738,0.9580018749875403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.003,2111.286477795476,0.475,0.6621,0.636,0.68,0.0025,-0.0034749605985440733,0.008474960598544074,proposed_c2f,0.0025,-0.0034749605985440733,0.008474960598544074,0.11083471716305977,0.06650083029783586,991.4355894151159,594.8613536490695
proposed_c2f_full_pd,0.7058,0.6967909624545302,0.714650978009621,0.008930007777545379,0.6965,0.7155999999999999,0.009549999999999947,0.717,0.689,0.745,0.04868567948848067,0.04791568475036915,0.0494674049790618,0.0007758601143463273,0.04791814814814815,0.04944705324074073,0.0007644525462962917,0.04797,0.04721104572612728,0.048740530915283305,0.0007647425945780106,7025.28,2968.4184545983403,11.708800000000004,4.947364090997236,10.977,4.6381538353099065,30.734,6.513773407173448,1.0,1.0,1060.738,0.4435757955184455,2.0670905027722264,0.8129063778796992,0.93098531541676,0.9923144602854169,0.9465824143668984,0.981603281394839,-0.5510111244513947,1.0,1.0,5968.000100467867,15.359052602667154,0.29075031969209464,748.2543875599135,1060.738,1060.738,0.9595354846778901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.005,2400.9947433875805,0.517,0.7057999999999999,0.681,0.733,-0.0412,-0.04852750044413228,-0.03387249955586772,proposed_c2f,-0.0412,-0.04852750044413228,-0.03387249955586772,0.10046574656099116,0.06027944793659468,849.5035216344213,509.7021129806526
all_neighbor,0.9772,0.9740859745552558,0.9799475239359637,0.0029307746903539655,0.9741000000000001,0.9803,0.003099999999999936,0.937,0.922,0.952,0.0494715081191024,0.04870115699318909,0.050253400894745344,0.0007761219507781275,0.048656240740740736,0.05027966666666666,0.000811712962962962,0.04945666666666667,0.048686540776289464,0.05023833112441757,0.0007758951740640535,589272.32,92965.21867568321,982.1205333333332,154.9420311261445,920.738,145.258154180755,1060.738,145.258154180755,1.0,1.0,1060.738,0.4435757955184455,1.4859137495531236,0.5955667267809325,0.6610421410656595,0.9594595758349403,0.4461678578132052,0.8858270564250778,-2.3110696984950776,1.0,1.0,80514.0063482938,541.8721087760114,22.696296219547897,15808.987091478913,0.0,0.0,0.9802526849815925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.595,27923.56170325234,0.935,0.9771999999999998,0.966,0.987,-0.31260000000000004,-0.3218730215416828,-0.3033269784583173,proposed_c2f,-0.31260000000000004,-0.3218730215416828,-0.3033269784583173,0.001658316480909879,0.0009949898885459273,136.63293457987947,81.97976074792768
random,0.408,0.3984044368747269,0.417666221421182,0.009630892273227554,0.3985,0.41779999999999995,0.009649999999999964,0.518,0.487975,0.5490249999999997,0.04887945270110875,0.04810946443220699,0.04966112163767659,0.0007758286027347988,0.04811860648148148,0.049630576388888896,0.0007559849537037075,0.04834666666666667,0.047584863101726514,0.049120037226456505,0.0007675870623649952,15294.72,3886.523294874225,25.491200000000006,6.4775388247903765,23.898,6.0726926482409755,28.387,7.015214251895661,1.0,1.0,1060.738,0.4435757955184455,1.6330561971335242,0.6227469226865383,0.6925995627454442,0.9621316507193514,0.6339148714881758,0.8909401202957834,-1.9375054631895354,1.0,1.0,676.7688082897467,0.9937912557117825,0.01599104022784083,65.55524954834442,0.0,0.0,0.9741390193745502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,166.68764894110294,0.21,0.40800000000000003,0.385,0.441,0.25660000000000005,0.24446464377223423,0.2687353562277659,proposed_c2f,0.25660000000000005,0.24446464377223423,0.2687353562277659,0.02667587245794627,0.016005523474767757,44.24852552317053,26.54911531390231
nearest,0.4056,0.3960142780006239,0.41525822355517833,0.009621972777277221,0.3948,0.41620000000000007,0.010700000000000043,0.492,0.461,0.523,0.049006332524925894,0.048235581532759045,0.04978875499953943,0.0007765867333901916,0.0481845138888889,0.04983466203703704,0.0008250740740740718,0.04849666666666667,0.04773373201660604,0.04927116447002616,0.0007687162267100631,16273.28,4094.733354151403,27.12213333333334,6.8245555902523405,25.427,6.398020865861567,28.387,7.015214251895661,1.0,1.0,1060.738,0.4435757955184455,1.6985995757406138,0.6291329591366538,0.7005394199876266,0.9633748417980545,0.6522079834517652,0.8979206796299185,-1.785635948971977,1.0,1.0,16640.91510983154,0.6453226844004587,0.004267188576466815,241.36757092396718,0.0,0.0,0.9732433909045491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,3283.6031825616583,0.231,0.4056,0.372,0.451,0.259,0.24636741750311758,0.27163258249688244,proposed_c2f,0.259,0.24636741750311758,0.27163258249688244,0.024924293074291108,0.014954575844574661,1022.5913343733741,613.5548006240243
