trial,method,rcs_factor,rcs_m2,minimum_predicted_pd,mean_predicted_pd,worst_detection_deficit,total_detection_deficit,remote_reports,processing_load
0,rcs_robust_bundle_cg,0.5,0.025,0.06694261981980583,0.631572031121783,0.8830573801801941,3.278562192278842,2.0,11.0
0,joint_bundle_cg,0.5,0.025,0.06694261981980583,0.6211334632467593,0.8830573801801941,3.382947871029077,2.0,11.0
0,rcs_robust_bundle_cg,1.0,0.05,0.10233207904459529,0.7274213288549991,0.8476679209554047,2.4696815224574498,2.0,11.0
0,joint_bundle_cg,1.0,0.05,0.10233207904459529,0.7409793468619849,0.8476679209554047,2.3036582001174115,2.0,11.0
0,rcs_robust_bundle_cg,2.0,0.1,0.1979133828200418,0.8065975861480237,0.7520866171799582,1.7349255007931612,2.0,11.0
0,joint_bundle_cg,2.0,0.1,0.1979133828200418,0.8256582163208002,0.7520866171799582,1.5331476063526606,2.0,11.0
1,rcs_robust_bundle_cg,0.5,0.025,0.11510570543580693,0.3778132207879446,0.8348942945641931,5.793235720930185,2.0,12.0
1,joint_bundle_cg,0.5,0.025,0.11510570543580693,0.3606336689039705,0.8348942945641931,5.935942874100879,2.0,12.0
1,rcs_robust_bundle_cg,1.0,0.05,0.23299981126532918,0.534262960593458,0.7170001887346708,4.253957720810091,2.0,12.0
1,joint_bundle_cg,1.0,0.05,0.23299981126532918,0.531308669703235,0.7170001887346708,4.253957720810091,2.0,12.0
1,rcs_robust_bundle_cg,2.0,0.1,0.516488579606109,0.7580219240459407,0.4335114203938909,2.0590702309339255,2.0,12.0
1,joint_bundle_cg,2.0,0.1,0.516488579606109,0.7576939425646487,0.4335114203938909,2.0590702309339255,2.0,12.0
2,rcs_robust_bundle_cg,0.5,0.025,0.10404370239782178,0.4867650441462608,0.8459562976021782,4.665440660943081,2.0,12.0
2,joint_bundle_cg,0.5,0.025,0.10404370239782178,0.4720276340857178,0.8459562976021782,4.812814761548511,2.0,12.0
2,rcs_robust_bundle_cg,1.0,0.05,0.20309356632877426,0.6592776593416094,0.7469064336712257,3.0512883212971063,2.0,12.0
2,joint_bundle_cg,1.0,0.05,0.20309356632877426,0.6559644063421067,0.7469064336712257,3.0512883212971063,2.0,12.0
2,rcs_robust_bundle_cg,2.0,0.1,0.45104875088199625,0.8478646745839274,0.4989512491180037,1.2146443967372695,2.0,12.0
2,joint_bundle_cg,2.0,0.1,0.45104875088199625,0.8474880258981585,0.4989512491180037,1.2146443967372695,2.0,12.0
3,rcs_robust_bundle_cg,0.5,0.025,0.11682032899680002,0.3650441454930692,0.8331796710031999,5.849558545069307,2.0,11.0
3,joint_bundle_cg,0.5,0.025,0.11682032899680002,0.34521997775260677,0.8331796710031999,6.0478002224739305,2.0,11.0
3,rcs_robust_bundle_cg,1.0,0.05,0.23765206963513721,0.5870295031040895,0.7123479303648628,3.6741230270619716,2.0,11.0
3,joint_bundle_cg,1.0,0.05,0.23765206963513721,0.5872328406561673,0.7123479303648628,3.642097154987446,2.0,11.0
3,rcs_robust_bundle_cg,2.0,0.1,0.5259642576348993,0.8278924897075205,0.42403574236510067,1.3466199335492546,2.0,11.0
3,joint_bundle_cg,2.0,0.1,0.5259642576348993,0.8331381603131817,0.42403574236510067,1.2836060847785231,2.0,11.0
4,rcs_robust_bundle_cg,0.5,0.025,0.29087490085542855,0.708492631293189,0.6591250991445714,2.4566453692246153,2.0,11.0
4,joint_bundle_cg,0.5,0.025,0.29087490085542855,0.6437138964409967,0.6591250991445714,3.0765539236708856,2.0,12.0
4,rcs_robust_bundle_cg,1.0,0.05,0.6120110257781234,0.8786374133857997,0.33798897422187657,0.9427836386649981,2.0,11.0
4,joint_bundle_cg,1.0,0.05,0.6178264559789236,0.8611693892349674,0.33217354402107635,1.0421585463250282,2.0,12.0
4,rcs_robust_bundle_cg,2.0,0.1,0.8968822078340651,0.9740463274572176,0.05311779216593482,0.08965058810133197,2.0,11.0
4,joint_bundle_cg,2.0,0.1,0.9106012467211224,0.9741312496596952,0.03939875327887754,0.06693721090648941,2.0,12.0
5,rcs_robust_bundle_cg,0.5,0.025,0.09874222101319517,0.4834581547125628,0.8512577789868048,4.75258239365047,2.0,11.0
5,joint_bundle_cg,0.5,0.025,0.09874222101319517,0.4834581547125628,0.8512577789868048,4.75258239365047,2.0,11.0
5,rcs_robust_bundle_cg,1.0,0.05,0.18806595346649543,0.6286694253028398,0.7619340465335045,3.340513405926371,2.0,11.0
5,joint_bundle_cg,1.0,0.05,0.18806595346649543,0.6286694253028398,0.7619340465335045,3.340513405926371,2.0,11.0
5,rcs_robust_bundle_cg,2.0,0.1,0.419162218913635,0.7828509995823163,0.5308377810863649,1.8930015236776265,2.0,11.0
5,joint_bundle_cg,2.0,0.1,0.419162218913635,0.7828509995823163,0.5308377810863649,1.8930015236776265,2.0,11.0
6,rcs_robust_bundle_cg,0.5,0.025,0.1224499766817611,0.28313154281559166,0.8275500233182389,6.670896079817961,2.0,12.0
6,joint_bundle_cg,0.5,0.025,0.1224499766817611,0.2689836193065454,0.8275500233182389,6.810163806934545,2.0,12.0
6,rcs_robust_bundle_cg,1.0,0.05,0.25317502848216966,0.4768711658112591,0.6968249715178303,4.775726022122187,2.0,12.0
6,joint_bundle_cg,1.0,0.05,0.25317502848216966,0.4743171956714673,0.6968249715178303,4.775726022122187,2.0,12.0
6,rcs_robust_bundle_cg,2.0,0.1,0.5531733703821426,0.7478487408418142,0.3968266296178573,2.0925441598489134,2.0,12.0
6,joint_bundle_cg,2.0,0.1,0.5531733703821426,0.7475703277498102,0.3968266296178573,2.0925441598489134,2.0,12.0
7,rcs_robust_bundle_cg,0.5,0.025,0.0966929658616347,0.5529398263128451,0.8533070341383653,4.005812863945482,2.0,11.0
7,joint_bundle_cg,0.5,0.025,0.0966929658616347,0.5289382158747042,0.8533070341383653,4.254919774869911,2.0,12.0
7,rcs_robust_bundle_cg,1.0,0.05,0.18243742997457998,0.7080572517483062,0.7675625700254199,2.594895045668736,2.0,11.0
7,joint_bundle_cg,1.0,0.05,0.18243742997457998,0.7107862697109617,0.7675625700254199,2.548208272123069,2.0,12.0
7,rcs_robust_bundle_cg,2.0,0.1,0.40595581714709383,0.8565530649953489,0.5440441828529061,1.1755822243992657,2.0,11.0
7,joint_bundle_cg,2.0,0.1,0.40595581714709383,0.8702102863533557,0.5440441828529061,0.9997028324687074,2.0,12.0
8,rcs_robust_bundle_cg,0.5,0.025,0.15985891290282897,0.42715102640845093,0.790141087097171,5.22848973591549,2.0,11.0
8,joint_bundle_cg,0.5,0.025,0.15985891290282897,0.42715102640845093,0.790141087097171,5.22848973591549,2.0,11.0
8,rcs_robust_bundle_cg,1.0,0.05,0.3502953911890029,0.6631900315912828,0.5997046088109971,2.928528361241931,2.0,11.0
8,joint_bundle_cg,1.0,0.05,0.3502953911890029,0.6631900315912828,0.5997046088109971,2.928528361241931,2.0,11.0
8,rcs_robust_bundle_cg,2.0,0.1,0.6908846325533363,0.876259250607578,0.25911536744666364,0.8950576852398516,2.0,11.0
8,joint_bundle_cg,2.0,0.1,0.6908846325533363,0.876259250607578,0.25911536744666364,0.8950576852398516,2.0,11.0
9,rcs_robust_bundle_cg,0.5,0.025,0.05894671078703059,0.39625298566278955,0.8910532892129693,5.563490742032513,2.0,11.0
9,joint_bundle_cg,0.5,0.025,0.058945869132488914,0.36180367593176377,0.8910541308675111,5.90798383934277,2.0,11.0
9,rcs_robust_bundle_cg,1.0,0.05,0.08248960742168761,0.5224843636673615,0.8675103925783123,4.403575026197956,2.0,11.0
9,joint_bundle_cg,1.0,0.05,0.08248807138763363,0.547385147979247,0.8675119286123664,4.084133031648928,2.0,11.0
9,rcs_robust_bundle_cg,2.0,0.1,0.14390096935390398,0.6823022288221448,0.806099030646096,2.8241348919223275,2.0,11.0
9,joint_bundle_cg,2.0,0.1,0.14389763327718555,0.7180296163424986,0.8061023667228144,2.435812228189628,2.0,11.0
10,rcs_robust_bundle_cg,0.5,0.025,0.06490475314692493,0.4646813241316591,0.8850952468530751,4.928633276733072,2.0,12.0
10,joint_bundle_cg,0.5,0.025,0.06490475314692493,0.43287175977753456,0.8850952468530751,5.223585794871977,2.0,12.0
10,rcs_robust_bundle_cg,1.0,0.05,0.0971336028105933,0.5852978285331164,0.8528663971894066,3.8205803142460226,2.0,12.0
10,joint_bundle_cg,1.0,0.05,0.0971336028105933,0.5934005739647348,0.8528663971894066,3.690998042007217,2.0,12.0
10,rcs_robust_bundle_cg,2.0,0.1,0.1836332237337695,0.7437088605582947,0.7663667762662305,2.260960826229021,2.0,12.0
10,joint_bundle_cg,2.0,0.1,0.1836332237337695,0.7773944063619627,0.7663667762662305,1.8955397037793607,2.0,12.0
11,rcs_robust_bundle_cg,0.5,0.025,0.11114223308975174,0.5697879541234879,0.8388577669102482,3.899420585973859,2.0,12.0
11,joint_bundle_cg,0.5,0.025,0.11114223308975174,0.5600603141370788,0.8388577669102482,3.9417918831990777,2.0,12.0
11,rcs_robust_bundle_cg,1.0,0.05,0.22211706389989122,0.726532145126698,0.7278829361001087,2.3788020371629557,2.0,12.0
11,joint_bundle_cg,1.0,0.05,0.22211706389989122,0.7253009087411304,0.7278829361001087,2.3788020371629557,2.0,12.0
11,rcs_robust_bundle_cg,2.0,0.1,0.49440490314319224,0.8594167335522439,0.4555950968568077,1.1766721996038463,2.0,12.0
11,joint_bundle_cg,2.0,0.1,0.49440490314319224,0.8592688532768646,0.4555950968568077,1.1766721996038463,2.0,12.0
12,rcs_robust_bundle_cg,0.5,0.025,0.08738175280655111,0.5821079262731523,0.8626182471934488,3.7468669332964355,2.0,12.0
12,joint_bundle_cg,0.5,0.025,0.08738175280655111,0.5497649583139925,0.8626182471934488,4.004243048674142,2.0,12.0
12,rcs_robust_bundle_cg,1.0,0.05,0.1569173063328028,0.702956358263737,0.7930826936671972,2.6810491152323905,2.0,12.0
12,joint_bundle_cg,1.0,0.05,0.1569173063328028,0.6993890712883541,0.7930826936671972,2.666691676070733,2.0,12.0
12,rcs_robust_bundle_cg,2.0,0.1,0.34347548581562104,0.830891914790918,0.6065245141843789,1.4360235259578076,2.0,12.0
12,joint_bundle_cg,2.0,0.1,0.34347548581562104,0.8321992565918472,0.6065245141843789,1.417489906583255,2.0,12.0
13,rcs_robust_bundle_cg,0.5,0.025,0.23133969205153948,0.6560260567900037,0.7186603079484605,3.0754655422652704,2.0,11.0
13,joint_bundle_cg,0.5,0.025,0.23133969205153948,0.6560260567900037,0.7186603079484605,3.0754655422652704,2.0,11.0
13,rcs_robust_bundle_cg,1.0,0.05,0.5122912084482412,0.8284840407147511,0.4377087915517588,1.436151322684051,2.0,11.0
13,joint_bundle_cg,1.0,0.05,0.5122912084482412,0.8284840407147511,0.4377087915517588,1.436151322684051,2.0,11.0
13,rcs_robust_bundle_cg,2.0,0.1,0.8662677794413851,0.9572437689118694,0.08373222055861484,0.2052198958606215,2.0,11.0
13,joint_bundle_cg,2.0,0.1,0.8662677794413851,0.9572437689118694,0.08373222055861484,0.2052198958606215,2.0,11.0
14,rcs_robust_bundle_cg,0.5,0.025,0.04856614352035962,0.6546597864532625,0.9014338564796404,3.0591728692639437,2.0,11.0
14,joint_bundle_cg,0.5,0.025,0.04856614352035962,0.6546597864532625,0.9014338564796404,3.0591728692639437,2.0,11.0
14,rcs_robust_bundle_cg,1.0,0.05,0.057694764345971206,0.7520018861056297,0.8923052356540287,2.2081341622659747,2.0,11.0
14,joint_bundle_cg,1.0,0.05,0.057694764345971206,0.7520018861056297,0.8923052356540287,2.2081341622659747,2.0,11.0
14,rcs_robust_bundle_cg,2.0,0.1,0.07909902556040578,0.8146209429559358,0.8709009744395941,1.6825553420802017,2.0,11.0
14,joint_bundle_cg,2.0,0.1,0.07909902556040578,0.8146209429559358,0.8709009744395941,1.6825553420802017,2.0,11.0
15,rcs_robust_bundle_cg,0.5,0.025,0.07531014307206062,0.562142143354639,0.8746898569279393,3.9796297718762927,2.0,11.0
15,joint_bundle_cg,0.5,0.025,0.07531014307206062,0.5613349756594591,0.8746898569279393,3.9796297718762927,2.0,11.0
15,rcs_robust_bundle_cg,1.0,0.05,0.12427522709392975,0.6799277193916221,0.8257247729060702,2.9094631291427895,2.0,11.0
15,joint_bundle_cg,1.0,0.05,0.12427522709392975,0.6798416463285267,0.8257247729060702,2.9094631291427895,2.0,11.0
15,rcs_robust_bundle_cg,2.0,0.1,0.257882362205462,0.8132974500863801,0.6921176377945379,1.6118565370338311,2.0,11.0
15,joint_bundle_cg,2.0,0.1,0.257882362205462,0.8132859655441713,0.6921176377945379,1.6118565370338311,2.0,11.0
16,rcs_robust_bundle_cg,0.5,0.025,0.15951014225639856,0.5629074724777914,0.7904898577436014,3.961405830316581,2.0,11.0
16,joint_bundle_cg,0.5,0.025,0.15951014225639856,0.5548930504868375,0.7904898577436014,4.039263611050945,2.0,11.0
16,rcs_robust_bundle_cg,1.0,0.05,0.35005103559115225,0.7723222498253357,0.5999489644088477,1.9184960962240896,2.0,11.0
16,joint_bundle_cg,1.0,0.05,0.35005103559115225,0.7710335789162952,0.5999489644088477,1.9184960962240896,2.0,11.0
16,rcs_robust_bundle_cg,2.0,0.1,0.7097214374179369,0.9273694360467168,0.24027856258206304,0.4510070020920163,2.0,11.0
16,joint_bundle_cg,2.0,0.1,0.7097214374179369,0.9272299481678024,0.24027856258206304,0.4510070020920163,2.0,11.0
17,rcs_robust_bundle_cg,0.5,0.025,0.43063984590546406,0.7924199664856738,0.5193601540945358,1.7419895141486839,2.0,12.0
17,joint_bundle_cg,0.5,0.025,0.43063984590546406,0.7651375697018734,0.5193601540945358,1.9445029241787781,2.0,12.0
17,rcs_robust_bundle_cg,1.0,0.05,0.7688060531699263,0.9382847967496557,0.18119394683007362,0.3878525634970904,2.0,12.0
17,joint_bundle_cg,1.0,0.05,0.7688060531699263,0.9335361927292208,0.18119394683007362,0.3878525635074187,2.0,12.0
17,rcs_robust_bundle_cg,2.0,0.1,0.9578211340892182,0.9924116095566623,0.0,0.0,2.0,12.0
17,joint_bundle_cg,2.0,0.1,0.9578211340892182,0.9918794926268927,0.0,0.0,2.0,12.0
18,rcs_robust_bundle_cg,0.5,0.025,0.11882600647672405,0.3516470575811714,0.8311739935232759,5.983529424188284,2.0,12.0
18,joint_bundle_cg,0.5,0.025,0.11882600647672405,0.371376629070109,0.8311739935232759,5.78623370929891,2.0,12.0
18,rcs_robust_bundle_cg,1.0,0.05,0.24520513042313044,0.5362631543924872,0.7047948695768695,4.225459258650029,2.0,12.0
18,joint_bundle_cg,1.0,0.05,0.24520513042313044,0.5645328600590176,0.7047948695768695,3.930226539664668,2.0,12.0
18,rcs_robust_bundle_cg,2.0,0.1,0.5230778116136745,0.780044188460286,0.42692218838632545,1.7979147411579262,2.0,12.0
18,joint_bundle_cg,2.0,0.1,0.5230778116136745,0.790829785040273,0.42692218838632545,1.7185942850011626,2.0,12.0
19,rcs_robust_bundle_cg,0.5,0.025,0.18305863465033465,0.5398826621204045,0.7669413653496653,4.134873116007551,2.0,12.0
19,joint_bundle_cg,0.5,0.025,0.18305863465033465,0.5225152739292187,0.7669413653496653,4.317854901687795,2.0,12.0
19,rcs_robust_bundle_cg,1.0,0.05,0.4061377050562627,0.7533729079935629,0.5438622949437373,2.0878096936057,2.0,12.0
19,joint_bundle_cg,1.0,0.05,0.4061377050562627,0.7513245096953247,0.5438622949437373,2.075211997242046,2.0,12.0
19,rcs_robust_bundle_cg,2.0,0.1,0.770686050238355,0.9245569446231258,0.17931394976164494,0.4623530360233513,2.0,12.0
