experiment,trial,greedy_obj,oracle_obj,gap,greedy_links,oracle_links
same_objective_gap,0,-1.0864861248772035,-1.0864861248772035,0.0,6,6
same_objective_gap,1,2.6544163133995675,2.6544163133995675,0.0,3,3
same_objective_gap,2,-4.46319825431181,-4.46319825431181,0.0,6,6
same_objective_gap,3,-4.592070034818065,-4.592070034818065,0.0,2,2
same_objective_gap,4,-2.0372089129445006,-2.0372089129445006,0.0,3,3
same_objective_gap,5,-3.760579505846039,-3.760579505846039,0.0,6,6
same_objective_gap,6,-0.7380492844220871,-0.7380492844220871,0.0,4,4
same_objective_gap,7,-2.529505721825256,-2.529505721825256,0.0,3,3
same_objective_gap,8,0.19834343389337275,0.19834343389337275,0.0,6,6
same_objective_gap,9,-0.46292394383067026,-0.46292394383067026,0.0,4,4
same_objective_gap,10,-3.4645665014080227,-3.4645665014080227,0.0,3,3
same_objective_gap,11,1.1703832675351444,1.1703832675351444,0.0,3,3
same_objective_gap,12,-2.283628208852255,-2.283628208852255,0.0,6,6
same_objective_gap,13,1.8047393392819526,1.8047393392819526,0.0,5,5
same_objective_gap,14,-3.5332554326980903,-3.5332554326980903,0.0,3,3
same_objective_gap,15,-2.831047470383415,-2.831047470383415,0.0,4,4
same_objective_gap,16,-0.9713595225787595,-0.9713595225787595,0.0,3,3
same_objective_gap,17,-1.3375616362329612,-1.3375616362329612,0.0,6,6
same_objective_gap,18,2.1354901258081727,2.1354901258081727,0.0,5,5
same_objective_gap,19,2.653542006305284,2.653542006305529,9.221378596831247e-14,3,3
same_objective_gap,20,-1.9617325413277207,-1.9617325413277207,0.0,3,3
same_objective_gap,21,-3.231884121568468,-3.231884121568468,0.0,6,6
same_objective_gap,22,-2.9812301651358335,-2.9812301651358335,0.0,3,3
same_objective_gap,23,-2.0418348435335996,-2.0418348435335996,0.0,6,6
same_objective_gap,24,-3.518932488104142,-3.518932488104142,0.0,6,6
same_objective_gap,25,1.4255109463543956,1.4255109463543956,0.0,4,4
same_objective_gap,26,-3.0103456459935463,-3.0103456459935463,0.0,3,3
same_objective_gap,27,2.242322597888756,2.242322597888756,0.0,5,5
same_objective_gap,28,2.624384993221595,2.624384993221595,0.0,4,4
same_objective_gap,29,-0.2922062619786715,-0.2922062619786715,0.0,4,4
same_objective_gap,30,-2.744672357984037,-2.744672357984037,0.0,6,6
same_objective_gap,31,-1.3208766294840752,-1.3208766294840752,0.0,3,3
same_objective_gap,32,-1.4208338209726812,-1.4208338209726812,0.0,3,3
same_objective_gap,33,-3.753520197800758,-3.753520197800758,0.0,6,6
same_objective_gap,34,-1.8858860587574628,-1.8858860587574628,0.0,6,6
same_objective_gap,35,-1.5386035653152088,-1.5386035653152088,0.0,5,5
same_objective_gap,36,-1.0351941187533187,-1.0351941187533187,0.0,4,4
same_objective_gap,37,-2.1953491183411002,-2.1953491183411002,0.0,3,3
same_objective_gap,38,-1.2177797536282104,-1.2177797536282104,0.0,5,5
same_objective_gap,39,-1.1326131992925017,-1.1326131992925017,0.0,4,4
same_objective_gap,40,-4.1418452750350605,-4.1418452750350605,0.0,3,3
same_objective_gap,41,-0.8161838779431138,-0.8161838779431138,0.0,3,3
same_objective_gap,42,-0.7906718877688681,-0.7906718877688681,0.0,5,5
same_objective_gap,43,-2.2430738363654954,-2.2430738363654954,0.0,3,3
same_objective_gap,44,-2.7424509529055956,-2.7424509529055956,0.0,3,3
same_objective_gap,45,-1.0748245433391235,-1.0748245433391235,0.0,5,5
same_objective_gap,46,-0.9640818395133987,-0.9640818395133987,0.0,4,4
same_objective_gap,47,2.6544163133995675,2.6544163133995675,0.0,3,3
same_objective_gap,48,-0.610247395316833,-0.610247395316833,0.0,5,5
same_objective_gap,49,2.2655066266704034,2.2655066266704034,0.0,3,3
