preset,net_gain_db,report_budget,fusion_rule,mc,seed,P_D,P_D_weak,actual_reports,selected_observations,all_targets_satisfied_prob,actual_worst_target_P_D
small-uav-compact-800m,0.0,0,pd_lookahead,20,2026,0.45,0.45,0.0,10.0,0.0,0.3
small-uav-compact-800m,0.0,0,nearest,20,2026,0.435,0.45,0.0,10.0,0.0,0.3
small-uav-compact-800m,0.0,1,pd_lookahead,20,2026,0.475,0.35,1.0,11.0,0.0,0.35
small-uav-compact-800m,0.0,1,nearest,20,2026,0.44,0.4,1.0,11.0,0.0,0.25
small-uav-compact-800m,0.0,2,pd_lookahead,20,2026,0.5,0.35,2.0,12.0,0.0,0.35
small-uav-compact-800m,0.0,2,nearest,20,2026,0.47,0.3,2.0,12.0,0.0,0.3
small-uav-compact-800m,0.0,4,pd_lookahead,20,2026,0.515,0.35,3.95,13.95,0.0,0.4
small-uav-compact-800m,0.0,4,nearest,20,2026,0.505,0.4,3.95,13.95,0.0,0.4
small-uav-compact-800m,0.0,8,pd_lookahead,20,2026,0.49,0.4,6.8,16.8,0.0,0.35
small-uav-compact-800m,0.0,8,nearest,20,2026,0.525,0.4,6.75,16.75,0.0,0.4
