trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,189953.7580188922,1030.6607685212714,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3351.0,3351.0,0.0,0.0,"2,13,7,14,10,6,11,5,12,0",0:0-2;1:0-13;2:0-7;3:0-14;4:1-10;5:2-6;6:14-11;7:6-5;8:1-12;9:13-0
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,0,10,0.0,0.0,29296.274287339555,2448.3098013425865,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3811.0,3811.0,0.0,0.0,"5,1,8,3,10,2,11,0,13,7",0:12-5;1:0-1;2:1-8;3:9-3;4:3-10;5:5-2;6:14-11;7:11-0;8:3-13;9:2-7
2,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,11256.66776384739,513.9704098794631,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,5472.0,5472.0,0.0,0.0,"8,14,3,4,6,7,2,10,11,12",0:0-8;1:8-14;2:10-3;3:0-4;4:0-6;5:4-7;6:0-2;7:8-10;8:8-11;9:8-12
3,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,1630330.9763321194,5641.92828641989,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2393.0,2393.0,0.0,0.0,"12,11,0,2,10,8,9,7,13,4",0:11-12;1:0-11;2:6-0;3:6-2;4:2-10;5:3-8;6:1-9;7:4-7;8:8-13;9:5-4
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,4212.2047856122645,3125.7235842699592,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,5884.0,5884.0,0.0,0.0,"5,7,4,9,3,2,13,1,6,11",0:0-5;1:2-7;2:2-4;3:2-9;4:0-3;5:1-2;6:0-13;7:2-1;8:1-6;9:0-11
5,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,3849.826355358913,788.725815847417,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2755.0,2755.0,0.0,0.0,"14,2,9,11,6,7,1,10,0,4",0:7-14;1:4-2;2:4-9;3:1-11;4:1-6;5:9-7;6:6-1;7:4-10;8:4-0;9:10-4
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,180725.29842684662,4546.721266090148,1.0,9,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3579.0,3579.0,0.0,0.0,"7,1,14,6,11,8,5,3,4,9",0:0-7;1:0-1;2:3-14;3:0-6;4:1-11;5:3-8;6:3-5;7:4-3;8:5-4;9:4-9
7,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,10,0,10,0.0,0.0,50279.25373985439,947.9682573985442,1.0,1,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2729.0,2729.0,0.0,0.0,"9,14,0,12,3,11,4,6,8,2",0:4-9;1:4-14;2:1-0;3:2-12;4:4-3;5:2-11;6:12-4;7:8-6;8:2-8;9:4-2
8,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,10,0,10,0.0,0.0,14363.340262120251,5280.360422847751,1.0,0,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2897.0,2897.0,0.0,0.0,"2,3,9,0,11,4,14,8,1,5",0:11-2;1:0-3;2:2-9;3:1-0;4:3-11;5:3-4;6:0-14;7:3-8;8:9-1;9:6-5
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,0,10,0.0,0.0,2794521.756638945,3655.6364900120907,0.9,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3074.0,3074.0,0.0,0.0,"7,14,13,1,0,3,2,6,5,8",0:0-7;1:6-14;2:0-13;3:2-1;4:2-0;5:7-3;6:0-2;7:1-6;8:0-5;9:2-8
10,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,85724.03947889544,1826.1628887738707,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2447.0,2447.0,0.0,0.0,"6,12,14,3,13,5,8,9,0,7",0:13-6;1:0-12;2:4-14;3:4-3;4:1-13;5:3-5;6:7-8;7:10-9;8:1-0;9:3-7
