trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,34249.40037456572,958.8588747878189,1.0,6,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3068.0,3068.0,0.0,0.0,"2,0,7,1,12,10,11,6,8,13",0:0-2;1:13-0;2:0-7;3:0-1;4:1-12;5:4-10;6:14-11;7:7-6;8:9-8;9:0-13
1,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,10,0,10,0.0,0.0,638346.7893710997,41918.91891092639,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2951.0,2951.0,0.0,0.0,"5,4,1,9,10,2,11,0,13,7",0:12-5;1:0-4;2:0-1;3:3-9;4:3-10;5:5-2;6:14-11;7:11-0;8:3-13;9:2-7
2,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,65622.86585492114,3329.358531161693,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2840.0,2840.0,0.0,0.0,"4,3,10,12,6,11,0,14,8,9",0:8-4;1:10-3;2:3-10;3:1-12;4:2-6;5:6-11;6:2-0;7:10-14;8:4-8;9:8-9
3,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,1650350.6883763194,7115.007004007996,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3037.0,3037.0,0.0,0.0,"4,11,0,6,12,3,9,7,13,5",0:0-4;1:0-11;2:6-0;3:2-6;4:2-12;5:1-3;6:1-9;7:4-7;8:8-13;9:6-5
4,proposed_c2f_adaptive_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,542912.2200331809,12852.383333561673,1.0,8,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2419.0,2419.0,0.0,0.0,"8,2,7,9,4,6,12,13,1,10",0:12-8;1:7-2;2:1-7;3:3-9;4:3-4;5:1-6;6:5-12;7:1-13;8:6-1;9:8-10
5,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,12082.444394820506,997.538674177266,1.0,4,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3498.0,3498.0,0.0,0.0,"7,8,13,11,6,9,1,14,4,10",0:0-7;1:4-8;2:1-13;3:1-11;4:1-6;5:13-9;6:6-1;7:4-14;8:5-4;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,1183358.8107137394,12784.842392655333,1.0,9,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3525.0,3525.0,0.0,0.0,"2,1,4,6,11,5,3,7,8,9",0:0-2;1:0-1;2:0-4;3:0-6;4:1-11;5:3-5;6:4-3;7:4-7;8:4-8;9:4-9
7,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,11,1,10,640.0,1.0666666666666667,53850.198382064744,4038.789457293433,1.0,1,1,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,3607.0,3607.0,0.0,0.0,"3,11,0,14,12,2,13,6,8,4","0:4-3;1:3-11;2:1-0;3:2-14;4:3-12;5:3-2;6:4-13,4-11;7:0-6;8:2-8;9:3-4"
8,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,10,0,10,0.0,0.0,36500.84349433847,7512.156753559756,1.0,0,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,7520.0,7520.0,0.0,0.0,"11,1,2,0,3,4,14,13,9,5",0:2-11;1:0-1;2:1-2;3:14-0;4:2-3;5:3-4;6:0-14;7:3-13;8:2-9;9:1-5
9,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,10,0,10,0.0,0.0,3163609.617636188,10375.935851217788,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2392.0,2392.0,0.0,0.0,"14,6,7,9,5,11,10,13,0,8",0:7-14;1:0-6;2:2-7;3:1-9;4:0-5;5:3-11;6:2-10;7:6-13;8:5-0;9:2-8
10,proposed_c2f_adaptive_pd,10,10,1.0,17,300,0.056666666666666664,11,1,10,640.0,1.0666666666666667,36356.298729241855,5008.233621842961,1.0,2,1,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,4357.0,4357.0,0.0,0.0,"6,7,14,4,1,5,8,12,0,3","0:13-6;1:0-7;2:4-14,14-7;3:3-4;4:0-1;5:0-5;6:5-8;7:2-12;8:1-0;9:5-3"
11,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,175998.00214239932,3510.579354967823,1.0,7,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2643.0,2643.0,0.0,0.0,"6,11,4,3,1,2,10,8,14,7",0:3-6;1:6-11;2:1-4;3:0-3;4:2-1;5:1-2;6:4-10;7:1-8;8:4-14;9:4-7
12,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,306475.69657068554,2769.509600046911,1.0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,6570.0,6570.0,0.0,0.0,"8,4,7,10,3,2,0,11,1,5",0:0-8;1:0-4;2:4-7;3:0-10;4:1-3;5:0-2;6:1-0;7:5-11;8:0-1;9:10-5
13,proposed_c2f_adaptive_pd,10,10,1.0,25,300,0.08333333333333333,11,1,10,640.0,1.0666666666666667,17092.98260372923,1920.5476727242822,1.0,0,1,0.5,0.0,1.0,1.0,0.5,0.0,1.0,1.0,2487.0,2487.0,0.0,0.0,"1,4,9,12,6,0,7,3,5,10","0:2-1,13-2;1:3-4;2:0-9;3:0-12;4:0-6;5:1-0;6:0-7;7:4-3;8:7-5;9:8-10"
14,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,303025.5476816259,8555.555272109665,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,3502.0,3502.0,0.0,0.0,"4,2,12,13,8,0,9,5,7,10",0:12-4;1:0-2;2:0-12;3:1-13;4:0-8;5:4-0;6:3-9;7:4-5;8:0-7;9:5-10
